AAA028P02.genome.CDS.1169,group04087
AAA028P02.genome.CDS.699,group01033
AAA028P02.genome.CDS.698,group11837
AAA028P02.genome.CDS.1042,group11816
AAA028P02.genome.CDS.1756,group01281
AAA028P02.genome.CDS.1757,group00615
AAA028P02.genome.CDS.1754,group00698
AAA028P02.genome.CDS.1755,group00723
AAA028P02.genome.CDS.1752,group00525
AAA028P02.genome.CDS.1369,group05195
AAA028P02.genome.CDS.1619,group00403
AAA028P02.genome.CDS.1618,group00443
AAA028P02.genome.CDS.1617,group00272
AAA028P02.genome.CDS.1616,group00380
AAA028P02.genome.CDS.1615,group00408
AAA028P02.genome.CDS.1283,group00375
AAA028P02.genome.CDS.1613,group00507
AAA028P02.genome.CDS.1612,group00506
AAA028P02.genome.CDS.1611,group00269
AAA028P02.genome.CDS.1610,group02274
AAA028P02.genome.CDS.1110,group01155
AAA028P02.genome.CDS.1058,group00223
AAA028P02.genome.CDS.1509,group00841
AAA028P02.genome.CDS.1113,group00613
AAA028P02.genome.CDS.1114,group00895
AAA028P02.genome.CDS.1115,group00090
AAA028P02.genome.CDS.1116,group02502
AAA028P02.genome.CDS.1117,group00590
AAA028P02.genome.CDS.1503,group00308
AAA028P02.genome.CDS.1502,group00025
AAA028P02.genome.CDS.1053,group00146
AAA028P02.genome.CDS.1500,group02703
AAA028P02.genome.CDS.1055,group00197
AAA028P02.genome.CDS.1506,group00391
AAA028P02.genome.CDS.1057,group00241
AAA028P02.genome.CDS.1504,group00574
AAA028P02.genome.CDS.1885,group00942
AAA028P02.genome.CDS.1792,group00057
AAA028P02.genome.CDS.1880,group01147
AAA028P02.genome.CDS.1128,group00490
AAA028P02.genome.CDS.1449,group00274
AAA028P02.genome.CDS.1659,group00131
AAA028P02.genome.CDS.1791,group00060
AAA028P02.genome.CDS.1943,group01507
AAA028P02.genome.CDS.1869,group00518
AAA028P02.genome.CDS.1121,group02118
AAA028P02.genome.CDS.1888,group11863
AAA028P02.genome.CDS.1652,group00239
AAA028P02.genome.CDS.1889,group11862
AAA028P02.genome.CDS.1798,group05198
AAA028P02.genome.CDS.1753,group00255
AAA028P02.genome.CDS.1046,group00067
AAA028P02.genome.CDS.1650,group00089
AAA028P02.genome.CDS.1750,group00370
AAA028P02.genome.CDS.1125,group00489
AAA028P02.genome.CDS.1751,group00189
AAA028P02.genome.CDS.1124,group00733
AAA028P02.genome.CDS.1922,group01197
AAA028P02.genome.CDS.1127,group01240
AAA028P02.genome.CDS.1808,group02740
