AAA028A23.genome.CDS.1185,group00380
AAA028A23.genome.CDS.948,group00966
AAA028A23.genome.CDS.1219,group12454
AAA028A23.genome.CDS.1211,group02771
AAA028A23.genome.CDS.1210,group00562
AAA028A23.genome.CDS.1213,group00127
AAA028A23.genome.CDS.1212,group12982
AAA028A23.genome.CDS.1215,group00642
AAA028A23.genome.CDS.1214,group00879
AAA028A23.genome.CDS.1217,group00626
AAA028A23.genome.CDS.1216,group00205
AAA028A23.genome.CDS.1174,group08680
AAA028A23.genome.CDS.1175,group00694
AAA028A23.genome.CDS.1176,group00604
AAA028A23.genome.CDS.1177,group00603
AAA028A23.genome.CDS.1079,group00752
AAA028A23.genome.CDS.1171,group00044
AAA028A23.genome.CDS.1172,group06455
AAA028A23.genome.CDS.1173,group00013
AAA028A23.genome.CDS.1075,group02597
AAA028A23.genome.CDS.1074,group00671
AAA028A23.genome.CDS.1077,group00691
AAA028A23.genome.CDS.1076,group00310
AAA028A23.genome.CDS.1178,group01106
AAA028A23.genome.CDS.1070,group00576
AAA028A23.genome.CDS.1073,group00892
AAA028A23.genome.CDS.1072,group00728
AAA028A23.genome.CDS.1608,group02178
AAA028A23.genome.CDS.1609,group12642
AAA028A23.genome.CDS.1606,group01071
AAA028A23.genome.CDS.1607,group00042
AAA028A23.genome.CDS.1604,group07399
AAA028A23.genome.CDS.1605,group04914
AAA028A23.genome.CDS.1602,group11823
AAA028A23.genome.CDS.1603,group02008
AAA028A23.genome.CDS.1600,group10212
AAA028A23.genome.CDS.1601,group00650
AAA028A23.genome.CDS.1258,group09128
AAA028A23.genome.CDS.1438,group00110
AAA028A23.genome.CDS.1372,group00321
AAA028A23.genome.CDS.1373,group00206
AAA028A23.genome.CDS.1370,group00183
AAA028A23.genome.CDS.1371,group01239
AAA028A23.genome.CDS.1376,group00927
AAA028A23.genome.CDS.1377,group00410
AAA028A23.genome.CDS.1374,group00217
AAA028A23.genome.CDS.1375,group01017
AAA028A23.genome.CDS.1378,group00333
AAA028A23.genome.CDS.1379,group00050
AAA028A23.genome.CDS.40,group00876
AAA028A23.genome.CDS.796,group01030
AAA028A23.genome.CDS.899,group00377
AAA028A23.genome.CDS.898,group06333
AAA028A23.genome.CDS.895,group00332
AAA028A23.genome.CDS.894,group00331
AAA028A23.genome.CDS.897,group08262
AAA028A23.genome.CDS.896,group00361
AAA028A23.genome.CDS.891,group00813
AAA028A23.genome.CDS.890,group00832
AAA028A23.genome.CDS.893,group00441
AAA028A23.genome.CDS.892,group00880
AAA028A23.genome.CDS.1101,group00260
AAA028A23.genome.CDS.1100,group01673
AAA028A23.genome.CDS.1103,group00044
AAA028A23.genome.CDS.1102,group00767
AAA028A23.genome.CDS.1104,group00374
AAA028A23.genome.CDS.1107,group00925
AAA028A23.genome.CDS.1106,group00128
AAA028A23.genome.CDS.1109,group00279
AAA028A23.genome.CDS.1108,group00954
AAA028A23.genome.CDS.1198,group00093
AAA028A23.genome.CDS.1199,group00092
AAA028A23.genome.CDS.1192,group00993
AAA028A23.genome.CDS.1193,group00119
AAA028A23.genome.CDS.1190,group05403
AAA028A23.genome.CDS.1191,group00780
AAA028A23.genome.CDS.1196,group00046
AAA028A23.genome.CDS.1197,group00055
AAA028A23.genome.CDS.1194,group00686
AAA028A23.genome.CDS.1195,group04115
AAA028A23.genome.CDS.1426,group00196
AAA028A23.genome.CDS.1427,group00101
AAA028A23.genome.CDS.978,group01420
AAA028A23.genome.CDS.1425,group00218
AAA028A23.genome.CDS.1422,group00197
AAA028A23.genome.CDS.1423,group01390
AAA028A23.genome.CDS.1420,group00670
AAA028A23.genome.CDS.1421,group00664
AAA028A23.genome.CDS.972,group01820
AAA028A23.genome.CDS.973,group00434
AAA028A23.genome.CDS.970,group00900
AAA028A23.genome.CDS.971,group01198
AAA028A23.genome.CDS.976,group11238
AAA028A23.genome.CDS.977,group02197
AAA028A23.genome.CDS.974,group00788
AAA028A23.genome.CDS.975,group12410
AAA028A23.genome.CDS.375,group00084
