Rhodoluna.genome.CDS.1931,group01871
Rhodoluna.genome.CDS.1930,group00253
Rhodoluna.genome.CDS.1933,group02287
Rhodoluna.genome.CDS.1932,group00108
Rhodoluna.genome.CDS.1935,group03523
Rhodoluna.genome.CDS.1934,group00167
Rhodoluna.genome.CDS.1937,group11910
Rhodoluna.genome.CDS.1936,group00399
Rhodoluna.genome.CDS.1939,group00165
Rhodoluna.genome.CDS.1938,group03506
Rhodoluna.genome.CDS.1687,group00339
Rhodoluna.genome.CDS.1686,group00069
Rhodoluna.genome.CDS.1685,group00846
Rhodoluna.genome.CDS.1684,group00775
Rhodoluna.genome.CDS.1683,group00174
Rhodoluna.genome.CDS.1682,group00960
Rhodoluna.genome.CDS.1681,group04088
Rhodoluna.genome.CDS.1680,group00367
Rhodoluna.genome.CDS.2440,group09158
Rhodoluna.genome.CDS.1689,group01754
Rhodoluna.genome.CDS.1688,group02689
Rhodoluna.genome.CDS.2721,group11395
Rhodoluna.genome.CDS.2720,group00937
Rhodoluna.genome.CDS.2051,group00068
Rhodoluna.genome.CDS.2722,group00987
Rhodoluna.genome.CDS.2725,group04087
Rhodoluna.genome.CDS.818,group02387
Rhodoluna.genome.CDS.2056,group01482
Rhodoluna.genome.CDS.2727,group00216
Rhodoluna.genome.CDS.2726,group01763
Rhodoluna.genome.CDS.1759,group00310
Rhodoluna.genome.CDS.1758,group00692
Rhodoluna.genome.CDS.1751,group00009
Rhodoluna.genome.CDS.1750,group10212
Rhodoluna.genome.CDS.1753,group06686
Rhodoluna.genome.CDS.1755,group01014
Rhodoluna.genome.CDS.1754,group00577
Rhodoluna.genome.CDS.1757,group03287
Rhodoluna.genome.CDS.1756,group00752
Rhodoluna.genome.CDS.1434,group02530
Rhodoluna.genome.CDS.1435,group08330
Rhodoluna.genome.CDS.1437,group08165
Rhodoluna.genome.CDS.1430,group05673
Rhodoluna.genome.CDS.1431,group02428
Rhodoluna.genome.CDS.1432,group02246
Rhodoluna.genome.CDS.1433,group02435
Rhodoluna.genome.CDS.1438,group00531
Rhodoluna.genome.CDS.1439,group02948
Rhodoluna.genome.CDS.2619,group04085
Rhodoluna.genome.CDS.2618,group01428
Rhodoluna.genome.CDS.2651,group00504
Rhodoluna.genome.CDS.2302,group07708
Rhodoluna.genome.CDS.2653,group00687
Rhodoluna.genome.CDS.2652,group08678
Rhodoluna.genome.CDS.2655,group01799
Rhodoluna.genome.CDS.2654,group04204
Rhodoluna.genome.CDS.2657,group13639
Rhodoluna.genome.CDS.2304,group00909
Rhodoluna.genome.CDS.2659,group00837
Rhodoluna.genome.CDS.2658,group06645
Rhodoluna.genome.CDS.2309,group00855
Rhodoluna.genome.CDS.1499,group05634
Rhodoluna.genome.CDS.2017,group12616
Rhodoluna.genome.CDS.2016,group03288
Rhodoluna.genome.CDS.2015,group00961
Rhodoluna.genome.CDS.2014,group00707
Rhodoluna.genome.CDS.2013,group01922
Rhodoluna.genome.CDS.2012,group00877
Rhodoluna.genome.CDS.2011,group00024
Rhodoluna.genome.CDS.2010,group00242
Rhodoluna.genome.CDS.2019,group02943
Rhodoluna.genome.CDS.2018,group00328
Rhodoluna.genome.CDS.2493,group00010
Rhodoluna.genome.CDS.2492,group00542
Rhodoluna.genome.CDS.2491,group00540
Rhodoluna.genome.CDS.2490,group00662
Rhodoluna.genome.CDS.2497,group02590
Rhodoluna.genome.CDS.2496,group10919
Rhodoluna.genome.CDS.2495,group03106
Rhodoluna.genome.CDS.2494,group00049
Rhodoluna.genome.CDS.2499,group00524
Rhodoluna.genome.CDS.2498,group00112
Rhodoluna.genome.CDS.1212,group00992
Rhodoluna.genome.CDS.2479,group07954
Rhodoluna.genome.CDS.2478,group03526
Rhodoluna.genome.CDS.2434,group10429
Rhodoluna.genome.CDS.2471,group02239
Rhodoluna.genome.CDS.2470,group01470
Rhodoluna.genome.CDS.2473,group03529
Rhodoluna.genome.CDS.2472,group00581
Rhodoluna.genome.CDS.2475,group00032
Rhodoluna.genome.CDS.2437,group01598
Rhodoluna.genome.CDS.2477,group03103
Rhodoluna.genome.CDS.2476,group03525
Rhodoluna.genome.CDS.2279,group11552
Rhodoluna.genome.CDS.2278,group00814
Rhodoluna.genome.CDS.2273,group01484
Rhodoluna.genome.CDS.2431,group00708
Rhodoluna.genome.CDS.2271,group04093
Rhodoluna.genome.CDS.2270,group03594
Rhodoluna.genome.CDS.2277,group11558
Rhodoluna.genome.CDS.2276,group07535
Rhodoluna.genome.CDS.2275,group03437
Rhodoluna.genome.CDS.2274,group03728
Rhodoluna.genome.CDS.2121,group00141
Rhodoluna.genome.CDS.2120,group00737
Rhodoluna.genome.CDS.1922,group04107
Rhodoluna.genome.CDS.1923,group01310
Rhodoluna.genome.CDS.1920,group10600
Rhodoluna.genome.CDS.1921,group00614
Rhodoluna.genome.CDS.1926,group00142
Rhodoluna.genome.CDS.1927,group00731
Rhodoluna.genome.CDS.1924,group00201
Rhodoluna.genome.CDS.1925,group01973
Rhodoluna.genome.CDS.1928,group05199
Rhodoluna.genome.CDS.1929,group02695
Rhodoluna.genome.CDS.1389,group02818
Rhodoluna.genome.CDS.2317,group02601
Rhodoluna.genome.CDS.1383,group08637
Rhodoluna.genome.CDS.1698,group03325
Rhodoluna.genome.CDS.1699,group00678
Rhodoluna.genome.CDS.1691,group05190
Rhodoluna.genome.CDS.1692,group00417
Rhodoluna.genome.CDS.1693,group00528
Rhodoluna.genome.CDS.1694,group00418
Rhodoluna.genome.CDS.1695,group00776
Rhodoluna.genome.CDS.1696,group05655
Rhodoluna.genome.CDS.1697,group08765
Rhodoluna.genome.CDS.1748,group00182
Rhodoluna.genome.CDS.1749,group08480
Rhodoluna.genome.CDS.249,group07734
Rhodoluna.genome.CDS.1742,group00744
Rhodoluna.genome.CDS.1743,group00817
Rhodoluna.genome.CDS.1740,group11259
Rhodoluna.genome.CDS.1741,group00702
Rhodoluna.genome.CDS.1746,group00467
Rhodoluna.genome.CDS.1747,group03597
Rhodoluna.genome.CDS.1744,group00042
Rhodoluna.genome.CDS.1745,group01073
Rhodoluna.genome.CDS.669,group02309
Rhodoluna.genome.CDS.1352,group06640
Rhodoluna.genome.CDS.2314,group03919
Rhodoluna.genome.CDS.2643,group00354
Rhodoluna.genome.CDS.2640,group00667
Rhodoluna.genome.CDS.2641,group08192
Rhodoluna.genome.CDS.2310,group04155
Rhodoluna.genome.CDS.2311,group11238
Rhodoluna.genome.CDS.2312,group04190
Rhodoluna.genome.CDS.2313,group04871
Rhodoluna.genome.CDS.2648,group05185
Rhodoluna.genome.CDS.2649,group00384
Rhodoluna.genome.CDS.2318,group06418
Rhodoluna.genome.CDS.2319,group04587
Rhodoluna.genome.CDS.1599,group01089
Rhodoluna.genome.CDS.1598,group08257
Rhodoluna.genome.CDS.1593,group01490
Rhodoluna.genome.CDS.1592,group00926
Rhodoluna.genome.CDS.1591,group00096
Rhodoluna.genome.CDS.1590,group01501
Rhodoluna.genome.CDS.1597,group13210
Rhodoluna.genome.CDS.1596,group00539
Rhodoluna.genome.CDS.1595,group00539
Rhodoluna.genome.CDS.1594,group00650
Rhodoluna.genome.CDS.2008,group00689
Rhodoluna.genome.CDS.2009,group03128
Rhodoluna.genome.CDS.2000,group00236
Rhodoluna.genome.CDS.2001,group01167
Rhodoluna.genome.CDS.2002,group01389
Rhodoluna.genome.CDS.2003,group00959
Rhodoluna.genome.CDS.2004,group00722
Rhodoluna.genome.CDS.2005,group00647
Rhodoluna.genome.CDS.2006,group01829
Rhodoluna.genome.CDS.2007,group00671
Rhodoluna.genome.CDS.2484,group02027
Rhodoluna.genome.CDS.2485,group00723
Rhodoluna.genome.CDS.2486,group12997
Rhodoluna.genome.CDS.2487,group03663
Rhodoluna.genome.CDS.2480,group00180
Rhodoluna.genome.CDS.2481,group07755
