Attributes {
	id:kb|g.234910
	source:KBase
	gene_subsystem_hash:HASH(0x27ef8458)
	source_id:kb|g.234910
	geneAliasHash:HASH(0x28cfc7d0)
	scientific_name:GFM TBhypometabat3815
	domain:Bacteria
	genetic_code:11
	dna_size:2533789
	num_contigs:444
	taxonomy:
	gc_content:
	complete:
	contigset_ref:2603/49/2
}
features (id	type	function	genomeID	delimiter	comment	start	stop	direction	contig	roleList) {
kb|g.234910.CDS.1	CDS		kb|g.234910	;	No annotated function	2	824	+	TBhypo.metabat.3815_10017985	
kb|g.234910.CDS.2	CDS		kb|g.234910	;	No annotated function	1382	896	-	TBhypo.metabat.3815_10017985	
kb|g.234910.CDS.3	CDS		kb|g.234910	;	No annotated function	2466	1467	-	TBhypo.metabat.3815_10017985	
kb|g.234910.CDS.4	CDS		kb|g.234910	;	No annotated function	3361	2473	-	TBhypo.metabat.3815_10017985	
kb|g.234910.CDS.5	CDS		kb|g.234910	;	No annotated function	4279	3391	-	TBhypo.metabat.3815_10017985	
kb|g.234910.CDS.6	CDS		kb|g.234910	;	No annotated function	4536	4818	+	TBhypo.metabat.3815_10017985	
kb|g.234910.CDS.7	CDS		kb|g.234910	;	No annotated function	137	404	+	TBhypo.metabat.3815_10038612	
kb|g.234910.CDS.8	CDS		kb|g.234910	;	No annotated function	403	1474	+	TBhypo.metabat.3815_10038612	
kb|g.234910.CDS.9	CDS	Probable poly(beta-D-mannuronate) O-acetylase (EC 2.3.1.-)	kb|g.234910	none		1651	3091	+	TBhypo.metabat.3815_10038612	Probable poly(beta-D-mannuronate) O-acetylase (EC 2.3.1.-)
kb|g.234910.CDS.10	CDS		kb|g.234910	;	No annotated function	198	942	+	TBhypo.metabat.3815_10038338	
kb|g.234910.CDS.11	CDS		kb|g.234910	;	No annotated function	1065	1887	+	TBhypo.metabat.3815_10038338	
kb|g.234910.CDS.12	CDS		kb|g.234910	;	No annotated function	2078	2405	+	TBhypo.metabat.3815_10038338	
kb|g.234910.CDS.13	CDS		kb|g.234910	;	No annotated function	2414	2783	+	TBhypo.metabat.3815_10038338	
kb|g.234910.CDS.14	CDS	DNA polymerase III alpha subunit (EC 2.7.7.7)	kb|g.234910	none		11	1550	+	TBhypo.metabat.3815_10035577	DNA polymerase III alpha subunit (EC 2.7.7.7)
kb|g.234910.CDS.15	CDS		kb|g.234910	;	No annotated function	1637	2525	+	TBhypo.metabat.3815_10035577	
kb|g.234910.CDS.16	CDS		kb|g.234910	;	No annotated function	3361	2548	-	TBhypo.metabat.3815_10035577	
kb|g.234910.CDS.17	CDS	Gluconolactonase (EC 3.1.1.17)	kb|g.234910	none		1052	143	-	TBhypo.metabat.3815_10033730	Gluconolactonase (EC 3.1.1.17)
kb|g.234910.CDS.18	CDS		kb|g.234910	;	No annotated function	1510	1048	-	TBhypo.metabat.3815_10033730	
kb|g.234910.CDS.19	CDS	Sulfate permease	kb|g.234910	none		3073	1699	-	TBhypo.metabat.3815_10033730	Sulfate permease
kb|g.234910.CDS.20	CDS		kb|g.234910	;	No annotated function	3451	3337	-	TBhypo.metabat.3815_10033730	
kb|g.234910.CDS.21	CDS		kb|g.234910	;	No annotated function	16	553	+	TBhypo.metabat.3815_10032825	
kb|g.234910.CDS.22	CDS	Tellurite resistance protein	kb|g.234910	none		549	1764	+	TBhypo.metabat.3815_10032825	Tellurite resistance protein
kb|g.234910.CDS.23	CDS	putative sugar transporter	kb|g.234910	none		3296	1772	-	TBhypo.metabat.3815_10032825	putative sugar transporter
kb|g.234910.CDS.24	CDS		kb|g.234910	;	No annotated function	3503	3347	-	TBhypo.metabat.3815_10032825	
