Attributes {
	id:kb|g.236091
	source:KBase
	gene_subsystem_hash:HASH(0x136f0478)
	source_id:kb|g.236091
	geneAliasHash:HASH(0x2e13fb98)
	scientific_name:GFM MEintmetabat283
	domain:Bacteria
	genetic_code:11
	dna_size:734912
	num_contigs:58
	taxonomy:
	gc_content:
	complete:
	contigset_ref:2603/88/3
}
features (id	type	function	genomeID	delimiter	comment	start	stop	direction	contig	roleList) {
kb|g.236091.CDS.1	CDS		kb|g.236091	;	No annotated function	214	73	-	MEint.metabat.283_457001286	
kb|g.236091.CDS.2	CDS		kb|g.236091	;	No annotated function	282	687	+	MEint.metabat.283_457001286	
kb|g.236091.CDS.3	CDS	Transcription elongation factor GreA	kb|g.236091	none		700	1183	+	MEint.metabat.283_457001286	Transcription elongation factor GreA
kb|g.236091.CDS.4	CDS		kb|g.236091	;	No annotated function	1978	1186	-	MEint.metabat.283_457001286	
kb|g.236091.CDS.5	CDS	Methionine ABC transporter ATP-binding protein	kb|g.236091	none		2967	1977	-	MEint.metabat.283_457001286	Methionine ABC transporter ATP-binding protein
kb|g.236091.CDS.6	CDS		kb|g.236091	;	No annotated function	3138	4377	+	MEint.metabat.283_457001286	
kb|g.236091.CDS.7	CDS		kb|g.236091	;	No annotated function	5174	4406	-	MEint.metabat.283_457001286	
kb|g.236091.CDS.8	CDS	Exopolyphosphatase (EC 3.6.1.11)	kb|g.236091	none		6365	5450	-	MEint.metabat.283_457001286	Exopolyphosphatase (EC 3.6.1.11)
kb|g.236091.CDS.9	CDS		kb|g.236091	;	No annotated function	6667	6364	-	MEint.metabat.283_457001286	
kb|g.236091.CDS.10	CDS		kb|g.236091	;	No annotated function	160	1231	+	MEint.metabat.283_336000546	
kb|g.236091.CDS.11	CDS	ATP-dependent Clp protease adaptor protein ClpS	kb|g.236091	none		1238	1535	+	MEint.metabat.283_336000546	ATP-dependent Clp protease adaptor protein ClpS
kb|g.236091.CDS.12	CDS		kb|g.236091	;	No annotated function	1521	2094	+	MEint.metabat.283_336000546	
kb|g.236091.CDS.13	CDS	Proteorhodopsin	kb|g.236091	none		2915	2144	-	MEint.metabat.283_336000546	Proteorhodopsin
kb|g.236091.CDS.14	CDS	Glutamate racemase (EC 5.1.1.3)	kb|g.236091	none		3126	3975	+	MEint.metabat.283_336000546	Glutamate racemase (EC 5.1.1.3)
kb|g.236091.CDS.15	CDS	Ribonuclease PH (EC 2.7.7.56)	kb|g.236091	none		4209	4740	+	MEint.metabat.283_336000546	Ribonuclease PH (EC 2.7.7.56)
kb|g.236091.CDS.16	CDS		kb|g.236091	;	No annotated function	4888	4714	-	MEint.metabat.283_336000546	
kb|g.236091.CDS.17	CDS		kb|g.236091	;	No annotated function	979	526	-	MEint.metabat.283_67002296	
kb|g.236091.CDS.18	CDS	Enolase (EC 4.2.1.11)	kb|g.236091	none		2262	987	-	MEint.metabat.283_67002296	Enolase (EC 4.2.1.11)
kb|g.236091.CDS.19	CDS	Nucleoside triphosphate pyrophosphohydrolase MazG (EC 3.6.1.8)	kb|g.236091	none		2950	2305	-	MEint.metabat.283_67002296	Nucleoside triphosphate pyrophosphohydrolase MazG (EC 3.6.1.8)
kb|g.236091.CDS.20	CDS		kb|g.236091	;	No annotated function	3558	2958	-	MEint.metabat.283_67002296	
kb|g.236091.CDS.21	CDS	Transcription-repair coupling factor	kb|g.236091	none		7070	3572	-	MEint.metabat.283_67002296	Transcription-repair coupling factor
kb|g.236091.CDS.22	CDS	Phosphoenolpyruvate carboxylase (EC 4.1.1.31)	kb|g.236091	none		7207	9874	+	MEint.metabat.283_67002296	Phosphoenolpyruvate carboxylase (EC 4.1.1.31)
kb|g.236091.CDS.23	CDS	Peptidyl-tRNA hydrolase (EC 3.1.1.29)	kb|g.236091	none		10437	9873	-	MEint.metabat.283_67002296	Peptidyl-tRNA hydrolase (EC 3.1.1.29)
kb|g.236091.CDS.24	CDS	LSU ribosomal protein L25p	kb|g.236091	none		10948	10453	-	MEint.metabat.283_67002296	LSU ribosomal protein L25p
kb|g.236091.CDS.25	CDS	D-alanyl-D-alanine carboxypeptidase (EC 3.4.16.4)	kb|g.236091	none		111	1125	+	MEint.metabat.283_2259000542	D-alanyl-D-alanine carboxypeptidase (EC 3.4.16.4)
kb|g.236091.CDS.26	CDS		kb|g.236091	;	No annotated function	1161	2013	+	MEint.metabat.283_2259000542	
kb|g.236091.CDS.27	CDS	ABC transporter, ATP-binding protein	kb|g.236091	none		2045	2954	+	MEint.metabat.283_2259000542	ABC transporter, ATP-binding protein
kb|g.236091.CDS.28	CDS		kb|g.236091	;	No annotated function	2950	3742	+	MEint.metabat.283_2259000542	
kb|g.236091.CDS.29	CDS		kb|g.236091	;	No annotated function	3741	4935	+	MEint.metabat.283_2259000542	
kb|g.236091.CDS.30	CDS	tRNA(Ile)-lysidine synthetase (EC 6.3.4.19)	kb|g.236091	none		4945	5905	+	MEint.metabat.283_2259000542	tRNA(Ile)-lysidine synthetase (EC 6.3.4.19)
kb|g.236091.CDS.31	CDS	Hypoxanthine-guanine phosphoribosyltransferase (EC 2.4.2.8)	kb|g.236091	none		5914	6466	+	MEint.metabat.283_2259000542	Hypoxanthine-guanine phosphoribosyltransferase (EC 2.4.2.8)
kb|g.236091.CDS.32	CDS	Cell division protein FtsH (EC 3.4.24.-)	kb|g.236091	none		6499	8557	+	MEint.metabat.283_2259000542	Cell division protein FtsH (EC 3.4.24.-)
kb|g.236091.CDS.33	CDS	GTP cyclohydrolase I (EC 3.5.4.16) type 1	kb|g.236091	none		8549	9170	+	MEint.metabat.283_2259000542	GTP cyclohydrolase I (EC 3.5.4.16) type 1
kb|g.236091.CDS.34	CDS	Dihydropteroate synthase (EC 2.5.1.15)	kb|g.236091	none		9172	9970	+	MEint.metabat.283_2259000542	Dihydropteroate synthase (EC 2.5.1.15)
