AAA023J06.genome.CDS.1337,group12865
AAA023J06.genome.CDS.1336,group07168
AAA023J06.genome.CDS.1335,group00390
AAA023J06.genome.CDS.1334,group00589
AAA023J06.genome.CDS.1333,group00651
AAA023J06.genome.CDS.1332,group00055
AAA023J06.genome.CDS.1331,group00165
AAA023J06.genome.CDS.1330,group08345
AAA023J06.genome.CDS.1339,group00325
AAA023J06.genome.CDS.1338,group00495
AAA023J06.genome.CDS.870,group01387
AAA023J06.genome.CDS.978,group00901
AAA023J06.genome.CDS.174,group11655
AAA023J06.genome.CDS.177,group00679
AAA023J06.genome.CDS.1209,group07205
AAA023J06.genome.CDS.1208,group00897
AAA023J06.genome.CDS.1203,group01195
AAA023J06.genome.CDS.1202,group00399
AAA023J06.genome.CDS.1201,group00946
AAA023J06.genome.CDS.1200,group13696
AAA023J06.genome.CDS.1207,group00108
AAA023J06.genome.CDS.1206,group12616
AAA023J06.genome.CDS.1205,group00167
AAA023J06.genome.CDS.1204,group12328
AAA023J06.genome.CDS.705,group01181
AAA023J06.genome.CDS.1347,group00686
AAA023J06.genome.CDS.739,group10815
AAA023J06.genome.CDS.738,group10816
AAA023J06.genome.CDS.733,group13688
AAA023J06.genome.CDS.732,group00557
AAA023J06.genome.CDS.731,group01138
AAA023J06.genome.CDS.730,group04989
AAA023J06.genome.CDS.737,group00789
AAA023J06.genome.CDS.736,group01338
AAA023J06.genome.CDS.735,group13794
AAA023J06.genome.CDS.734,group10817
AAA023J06.genome.CDS.520,group00588
AAA023J06.genome.CDS.1389,group10778
AAA023J06.genome.CDS.777,group00076
AAA023J06.genome.CDS.776,group03121
AAA023J06.genome.CDS.775,group00284
AAA023J06.genome.CDS.1056,group00939
AAA023J06.genome.CDS.1057,group03450
AAA023J06.genome.CDS.1054,group00764
AAA023J06.genome.CDS.774,group00174
AAA023J06.genome.CDS.1053,group00717
AAA023J06.genome.CDS.1050,group05399
AAA023J06.genome.CDS.1118,group02032
AAA023J06.genome.CDS.1117,group00827
AAA023J06.genome.CDS.1116,group00912
AAA023J06.genome.CDS.1115,group01626
AAA023J06.genome.CDS.1113,group07478
AAA023J06.genome.CDS.1058,group02501
AAA023J06.genome.CDS.1059,group04306
AAA023J06.genome.CDS.816,group08977
AAA023J06.genome.CDS.817,group07755
AAA023J06.genome.CDS.814,group04578
AAA023J06.genome.CDS.815,group09129
AAA023J06.genome.CDS.812,group01765
AAA023J06.genome.CDS.813,group00182
AAA023J06.genome.CDS.810,group00111
AAA023J06.genome.CDS.811,group07755
AAA023J06.genome.CDS.770,group00287
AAA023J06.genome.CDS.818,group00011
AAA023J06.genome.CDS.1066,group13759
AAA023J06.genome.CDS.1500,group00452
AAA023J06.genome.CDS.1501,group02373
AAA023J06.genome.CDS.1502,group00837
AAA023J06.genome.CDS.958,group00368
AAA023J06.genome.CDS.957,group01895
AAA023J06.genome.CDS.956,group00231
AAA023J06.genome.CDS.955,group00366
AAA023J06.genome.CDS.954,group00106
AAA023J06.genome.CDS.953,group12709
AAA023J06.genome.CDS.952,group00664
AAA023J06.genome.CDS.951,group01561
AAA023J06.genome.CDS.950,group00782
AAA023J06.genome.CDS.1002,group02024
AAA023J06.genome.CDS.207,group01106
AAA023J06.genome.CDS.1159,group00364
AAA023J06.genome.CDS.1373,group00027
AAA023J06.genome.CDS.1372,group00590
AAA023J06.genome.CDS.1371,group00051
AAA023J06.genome.CDS.1370,group10855
AAA023J06.genome.CDS.1377,group10700
AAA023J06.genome.CDS.1376,group02328
AAA023J06.genome.CDS.1375,group00716
AAA023J06.genome.CDS.1374,group00830
AAA023J06.genome.CDS.1470,group00652
AAA023J06.genome.CDS.1471,group00247
AAA023J06.genome.CDS.1472,group00467
AAA023J06.genome.CDS.1378,group00576
AAA023J06.genome.CDS.1474,group01382
AAA023J06.genome.CDS.1475,group00347
AAA023J06.genome.CDS.1476,group00346
AAA023J06.genome.CDS.1030,group01292
AAA023J06.genome.CDS.792,group09900
AAA023J06.genome.CDS.1031,group02171
AAA023J06.genome.CDS.1342,group00289
AAA023J06.genome.CDS.794,group00463
AAA023J06.genome.CDS.881,group02868
AAA023J06.genome.CDS.880,group01708
AAA023J06.genome.CDS.883,group02082
AAA023J06.genome.CDS.882,group00005
AAA023J06.genome.CDS.885,group01764
AAA023J06.genome.CDS.797,group00003
AAA023J06.genome.CDS.887,group02100
AAA023J06.genome.CDS.888,group01969
AAA023J06.genome.CDS.796,group02370
AAA023J06.genome.CDS.1098,group00197
AAA023J06.genome.CDS.1099,group00669
AAA023J06.genome.CDS.1038,group00481
AAA023J06.genome.CDS.1039,group00547
AAA023J06.genome.CDS.1498,group00282
AAA023J06.genome.CDS.1485,group00646
AAA023J06.genome.CDS.1484,group04233
AAA023J06.genome.CDS.1487,group01082
AAA023J06.genome.CDS.1486,group04318
AAA023J06.genome.CDS.773,group00566
AAA023J06.genome.CDS.1480,group05119
AAA023J06.genome.CDS.1483,group12332
AAA023J06.genome.CDS.1482,group06533
AAA023J06.genome.CDS.1489,group00071
AAA023J06.genome.CDS.1488,group00096
AAA023J06.genome.CDS.779,group00947
AAA023J06.genome.CDS.778,group00805
AAA023J06.genome.CDS.1092,group01073
AAA023J06.genome.CDS.1093,group03503
AAA023J06.genome.CDS.1090,group01601
AAA023J06.genome.CDS.1158,group12410
AAA023J06.genome.CDS.1096,group03705
AAA023J06.genome.CDS.1097,group12085
AAA023J06.genome.CDS.1094,group00673
AAA023J06.genome.CDS.1095,group01991
AAA023J06.genome.CDS.1153,group01198
AAA023J06.genome.CDS.1152,group00695
AAA023J06.genome.CDS.1151,group00552
AAA023J06.genome.CDS.1150,group00241
AAA023J06.genome.CDS.1157,group00594
