AB141P03.genome.CDS.737,group00250
AB141P03.genome.CDS.1266,group07897
AB141P03.genome.CDS.1267,group00494
AB141P03.genome.CDS.1264,group12410
AB141P03.genome.CDS.1265,group00003
AB141P03.genome.CDS.1262,group00027
AB141P03.genome.CDS.1263,group01019
AB141P03.genome.CDS.1260,group04031
AB141P03.genome.CDS.1261,group00547
AB141P03.genome.CDS.1381,group04839
AB141P03.genome.CDS.1380,group08095
AB141P03.genome.CDS.1268,group11426
AB141P03.genome.CDS.1269,group00716
AB141P03.genome.CDS.1312,group00351
AB141P03.genome.CDS.1313,group00946
AB141P03.genome.CDS.1310,group05411
AB141P03.genome.CDS.1316,group11994
AB141P03.genome.CDS.1317,group00043
AB141P03.genome.CDS.1314,group00557
AB141P03.genome.CDS.1315,group01712
AB141P03.genome.CDS.1318,group05412
AB141P03.genome.CDS.1319,group08279
AB141P03.genome.CDS.1222,group00282
AB141P03.genome.CDS.1223,group00236
AB141P03.genome.CDS.1161,group00454
AB141P03.genome.CDS.1160,group00471
AB141P03.genome.CDS.1163,group12313
AB141P03.genome.CDS.1162,group00571
AB141P03.genome.CDS.1165,group10917
AB141P03.genome.CDS.1164,group00487
AB141P03.genome.CDS.1167,group00175
AB141P03.genome.CDS.1166,group00591
AB141P03.genome.CDS.1169,group00295
AB141P03.genome.CDS.1168,group08749
AB141P03.genome.CDS.1225,group00625
AB141P03.genome.CDS.987,group00280
AB141P03.genome.CDS.980,group04321
AB141P03.genome.CDS.1229,group00562
AB141P03.genome.CDS.969,group00663
AB141P03.genome.CDS.968,group00111
AB141P03.genome.CDS.967,group00524
AB141P03.genome.CDS.966,group02465
AB141P03.genome.CDS.965,group01485
AB141P03.genome.CDS.964,group00185
AB141P03.genome.CDS.963,group08410
AB141P03.genome.CDS.962,group11998
AB141P03.genome.CDS.961,group09627
AB141P03.genome.CDS.960,group01992
AB141P03.genome.CDS.1048,group11197
AB141P03.genome.CDS.1049,group00356
AB141P03.genome.CDS.1042,group00051
AB141P03.genome.CDS.913,group00764
AB141P03.genome.CDS.1040,group02625
AB141P03.genome.CDS.911,group00722
AB141P03.genome.CDS.1046,group05119
AB141P03.genome.CDS.1047,group00656
AB141P03.genome.CDS.914,group00292
AB141P03.genome.CDS.1045,group00061
AB141P03.genome.CDS.682,group08086
AB141P03.genome.CDS.768,group00201
AB141P03.genome.CDS.681,group00670
AB141P03.genome.CDS.686,group11984
AB141P03.genome.CDS.687,group08765
AB141P03.genome.CDS.684,group00451
AB141P03.genome.CDS.685,group11982
AB141P03.genome.CDS.761,group00310
AB141P03.genome.CDS.760,group00691
AB141P03.genome.CDS.688,group01172
AB141P03.genome.CDS.762,group02597
AB141P03.genome.CDS.765,group08132
AB141P03.genome.CDS.764,group00892
AB141P03.genome.CDS.767,group02082
AB141P03.genome.CDS.766,group00478
AB141P03.genome.CDS.689,group01039
AB141P03.genome.CDS.817,group04318
AB141P03.genome.CDS.816,group04032
AB141P03.genome.CDS.815,group00474
AB141P03.genome.CDS.814,group08192
AB141P03.genome.CDS.813,group10778
AB141P03.genome.CDS.812,group01127
AB141P03.genome.CDS.811,group08416
AB141P03.genome.CDS.810,group01025
AB141P03.genome.CDS.1022,group00799
AB141P03.genome.CDS.819,group01714
AB141P03.genome.CDS.818,group02165
AB141P03.genome.CDS.862,group00564
AB141P03.genome.CDS.863,group00565
AB141P03.genome.CDS.860,group00445
AB141P03.genome.CDS.861,group05403
