Attributes {
	id:kb|g.236162
	source:KBase
	gene_subsystem_hash:HASH(0x4ee48300)
	source_id:kb|g.236162
	geneAliasHash:HASH(0x48a83da0)
	scientific_name:SAG AAA027M14
	domain:Bacteria
	genetic_code:11
	dna_size:822317
	num_contigs:22
	taxonomy:
	gc_content:
	complete:
	contigset_ref:2603/156/2
}
features (id	type	function	genomeID	delimiter	comment	start	stop	direction	contig	roleList) {
kb|g.236162.CDS.1	CDS		kb|g.236162	;	No annotated function	66	996	+	A27M14DRAFT_NODE-unique_1_len_150543.1	
kb|g.236162.CDS.2	CDS	Proline dehydrogenase (EC 1.5.99.8) (Proline oxidase) / Delta-1-pyrroline-5-carboxylate dehydrogenase (EC 1.5.1.12)	kb|g.236162	none		995	4346	+	A27M14DRAFT_NODE-unique_1_len_150543.1	Proline dehydrogenase (EC 1.5.99.8) (Proline oxidase);Delta-1-pyrroline-5-carboxylate dehydrogenase (EC 1.5.1.12)
kb|g.236162.CDS.3	CDS		kb|g.236162	;	No annotated function	4433	6275	+	A27M14DRAFT_NODE-unique_1_len_150543.1	
kb|g.236162.CDS.4	CDS	UDP-N-acetylglucosamine pyrophosphorylase related protein	kb|g.236162	none		6970	6274	-	A27M14DRAFT_NODE-unique_1_len_150543.1	UDP-N-acetylglucosamine pyrophosphorylase related protein
kb|g.236162.CDS.5	CDS		kb|g.236162	;	No annotated function	7032	8658	+	A27M14DRAFT_NODE-unique_1_len_150543.1	
kb|g.236162.CDS.6	CDS	CDP-diacylglycerol--glycerol-3-phosphate 3-phosphatidyltransferase (EC 2.7.8.5)	kb|g.236162	none		8660	9434	+	A27M14DRAFT_NODE-unique_1_len_150543.1	CDP-diacylglycerol--glycerol-3-phosphate 3-phosphatidyltransferase (EC 2.7.8.5)
kb|g.236162.CDS.7	CDS		kb|g.236162	;	No annotated function	9437	10208	+	A27M14DRAFT_NODE-unique_1_len_150543.1	
kb|g.236162.CDS.8	CDS		kb|g.236162	;	No annotated function	10200	10953	+	A27M14DRAFT_NODE-unique_1_len_150543.1	
kb|g.236162.CDS.9	CDS	3-oxoacyl-[acyl-carrier protein] reductase (EC 1.1.1.100)	kb|g.236162	none		11111	11870	+	A27M14DRAFT_NODE-unique_1_len_150543.1	3-oxoacyl-[acyl-carrier protein] reductase (EC 1.1.1.100)
kb|g.236162.CDS.10	CDS		kb|g.236162	;	No annotated function	12140	11894	-	A27M14DRAFT_NODE-unique_1_len_150543.1	
kb|g.236162.CDS.11	CDS	Sulfate adenylyltransferase subunit 2 (EC 2.7.7.4)	kb|g.236162	none		12291	13197	+	A27M14DRAFT_NODE-unique_1_len_150543.1	Sulfate adenylyltransferase subunit 2 (EC 2.7.7.4)
kb|g.236162.CDS.12	CDS		kb|g.236162	;	No annotated function	13196	15032	+	A27M14DRAFT_NODE-unique_1_len_150543.1	
kb|g.236162.CDS.13	CDS	Sulfate transporter, CysZ-type	kb|g.236162	none		15028	15784	+	A27M14DRAFT_NODE-unique_1_len_150543.1	Sulfate transporter, CysZ-type
kb|g.236162.CDS.14	CDS		kb|g.236162	;	No annotated function	15783	16869	+	A27M14DRAFT_NODE-unique_1_len_150543.1	
kb|g.236162.CDS.15	CDS	Ferredoxin / Ferredoxin--NADP(+) reductase, actinobacterial (eukaryote-like) type (EC 1.18.1.2)	kb|g.236162	none		16884	18159	+	A27M14DRAFT_NODE-unique_1_len_150543.1	Ferredoxin;Ferredoxin--NADP(+) reductase, actinobacterial (eukaryote-like) type (EC 1.18.1.2)
kb|g.236162.CDS.16	CDS	Inosine-5'-monophosphate dehydrogenase (EC 1.1.1.205)	kb|g.236162	none		18162	19599	+	A27M14DRAFT_NODE-unique_1_len_150543.1	Inosine-5'-monophosphate dehydrogenase (EC 1.1.1.205)
kb|g.236162.CDS.17	CDS		kb|g.236162	;	No annotated function	19879	20503	+	A27M14DRAFT_NODE-unique_1_len_150543.1	
kb|g.236162.CDS.18	CDS	Cell division protein FtsH (EC 3.4.24.-)	kb|g.236162	none		20499	22773	+	A27M14DRAFT_NODE-unique_1_len_150543.1	Cell division protein FtsH (EC 3.4.24.-)
kb|g.236162.CDS.19	CDS		kb|g.236162	;	No annotated function	23043	22755	-	A27M14DRAFT_NODE-unique_1_len_150543.1	
kb|g.236162.CDS.20	CDS		kb|g.236162	;	No annotated function	23078	23963	+	A27M14DRAFT_NODE-unique_1_len_150543.1	
kb|g.236162.CDS.21	CDS	Polyphosphate glucokinase (EC 2.7.1.63)	kb|g.236162	none		23955	24702	+	A27M14DRAFT_NODE-unique_1_len_150543.1	Polyphosphate glucokinase (EC 2.7.1.63)
kb|g.236162.CDS.22	CDS	Glutamate-1-semialdehyde aminotransferase (EC 5.4.3.8)	kb|g.236162	none		26108	24701	-	A27M14DRAFT_NODE-unique_1_len_150543.1	Glutamate-1-semialdehyde aminotransferase (EC 5.4.3.8)
kb|g.236162.CDS.23	CDS		kb|g.236162	;	No annotated function	26852	26246	-	A27M14DRAFT_NODE-unique_1_len_150543.1	
kb|g.236162.CDS.24	CDS		kb|g.236162	;	No annotated function	26907	27480	+	A27M14DRAFT_NODE-unique_1_len_150543.1	
kb|g.236162.CDS.25	CDS	Tryptophan 2,3-dioxygenase (EC 1.13.11.11)	kb|g.236162	none		28270	27475	-	A27M14DRAFT_NODE-unique_1_len_150543.1	Tryptophan 2,3-dioxygenase (EC 1.13.11.11)
kb|g.236162.CDS.26	CDS	Kynureninase (EC 3.7.1.3)	kb|g.236162	none		29541	28266	-	A27M14DRAFT_NODE-unique_1_len_150543.1	Kynureninase (EC 3.7.1.3)
kb|g.236162.CDS.27	CDS		kb|g.236162	;	No annotated function	29566	31339	+	A27M14DRAFT_NODE-unique_1_len_150543.1	
kb|g.236162.CDS.28	CDS		kb|g.236162	;	No annotated function	31352	32309	+	A27M14DRAFT_NODE-unique_1_len_150543.1	
kb|g.236162.CDS.29	CDS	NADP-dependent malic enzyme (EC 1.1.1.40)	kb|g.236162	none		34234	32857	-	A27M14DRAFT_NODE-unique_1_len_150543.1	NADP-dependent malic enzyme (EC 1.1.1.40)
kb|g.236162.CDS.30	CDS	Uracil phosphoribosyltransferase (EC 2.4.2.9)	kb|g.236162	none		34873	34234	-	A27M14DRAFT_NODE-unique_1_len_150543.1	Uracil phosphoribosyltransferase (EC 2.4.2.9)
kb|g.236162.CDS.31	CDS		kb|g.236162	;	No annotated function	34920	35394	+	A27M14DRAFT_NODE-unique_1_len_150543.1	
kb|g.236162.CDS.32	CDS	tRNA-specific adenosine-34 deaminase (EC 3.5.4.-)	kb|g.236162	none		35423	35852	+	A27M14DRAFT_NODE-unique_1_len_150543.1	tRNA-specific adenosine-34 deaminase (EC 3.5.4.-)
kb|g.236162.CDS.33	CDS		kb|g.236162	;	No annotated function	38179	35839	-	A27M14DRAFT_NODE-unique_1_len_150543.1	
kb|g.236162.CDS.34	CDS	Aldehyde dehydrogenase (EC 1.2.1.3)	kb|g.236162	none		38224	39643	+	A27M14DRAFT_NODE-unique_1_len_150543.1	Aldehyde dehydrogenase (EC 1.2.1.3)
kb|g.236162.CDS.35	CDS	Cytosine/purine/uracil/thiamine/allantoin permease family protein	kb|g.236162	none		39683	41075	+	A27M14DRAFT_NODE-unique_1_len_150543.1	Cytosine/purine/uracil/thiamine/allantoin permease family protein
kb|g.236162.CDS.36	CDS	DNA polymerase III subunits gamma and tau (EC 2.7.7.7)	kb|g.236162	none		41415	43215	+	A27M14DRAFT_NODE-unique_1_len_150543.1	DNA polymerase III subunits gamma and tau (EC 2.7.7.7)
kb|g.236162.CDS.37	CDS	Recombination protein RecR	kb|g.236162	none		43223	43817	+	A27M14DRAFT_NODE-unique_1_len_150543.1	Recombination protein RecR
kb|g.236162.CDS.38	CDS	Aspartokinase (EC 2.7.2.4)	kb|g.236162	none		43907	45179	+	A27M14DRAFT_NODE-unique_1_len_150543.1	Aspartokinase (EC 2.7.2.4)
kb|g.236162.CDS.39	CDS	Aspartate-semialdehyde dehydrogenase (EC 1.2.1.11)	kb|g.236162	none		45175	46057	+	A27M14DRAFT_NODE-unique_1_len_150543.1	Aspartate-semialdehyde dehydrogenase (EC 1.2.1.11)
kb|g.236162.CDS.40	CDS	Aspartate-semialdehyde dehydrogenase (EC 1.2.1.11)	kb|g.236162	none		46046	46256	+	A27M14DRAFT_NODE-unique_1_len_150543.1	Aspartate-semialdehyde dehydrogenase (EC 1.2.1.11)
kb|g.236162.CDS.41	CDS	GDP-L-fucose synthetase (EC 1.1.1.271)	kb|g.236162	none		46288	47221	+	A27M14DRAFT_NODE-unique_1_len_150543.1	GDP-L-fucose synthetase (EC 1.1.1.271)
kb|g.236162.CDS.42	CDS	GDP-mannose 4,6-dehydratase (EC 4.2.1.47)	kb|g.236162	none		47217	48201	+	A27M14DRAFT_NODE-unique_1_len_150543.1	GDP-mannose 4,6-dehydratase (EC 4.2.1.47)
kb|g.236162.CDS.43	CDS	putative secreted protein	kb|g.236162	none		49030	48214	-	A27M14DRAFT_NODE-unique_1_len_150543.1	putative secreted protein
kb|g.236162.CDS.44	CDS	Transamidase GatB domain protein	kb|g.236162	none		49051	49504	+	A27M14DRAFT_NODE-unique_1_len_150543.1	Transamidase GatB domain protein
kb|g.236162.CDS.45	CDS	FIG011121: hypothetical protein	kb|g.236162	none		49526	49679	+	A27M14DRAFT_NODE-unique_1_len_150543.1	FIG011121: hypothetical protein
kb|g.236162.CDS.46	CDS		kb|g.236162	;	No annotated function	49678	50146	+	A27M14DRAFT_NODE-unique_1_len_150543.1	
kb|g.236162.CDS.47	CDS	cAMP-binding proteins - catabolite gene activator and regulatory subunit of cAMP-dependent protein kinases	kb|g.236162	none		50882	50198	-	A27M14DRAFT_NODE-unique_1_len_150543.1	cAMP-binding proteins - catabolite gene activator and regulatory subunit of cAMP-dependent protein kinases
kb|g.236162.CDS.48	CDS	Endonuclease III (EC 4.2.99.18)	kb|g.236162	none		50984	51599	+	A27M14DRAFT_NODE-unique_1_len_150543.1	Endonuclease III (EC 4.2.99.18)
kb|g.236162.CDS.49	CDS		kb|g.236162	;	No annotated function	51679	52120	+	A27M14DRAFT_NODE-unique_1_len_150543.1	
kb|g.236162.CDS.50	CDS		kb|g.236162	;	No annotated function	52116	52587	+	A27M14DRAFT_NODE-unique_1_len_150543.1	
kb|g.236162.CDS.51	CDS	Acetyl-coenzyme A synthetase (EC 6.2.1.1)	kb|g.236162	none		54555	52569	-	A27M14DRAFT_NODE-unique_1_len_150543.1	Acetyl-coenzyme A synthetase (EC 6.2.1.1)
kb|g.236162.CDS.52	CDS	Fructose-bisphosphate aldolase class II (EC 4.1.2.13)	kb|g.236162	none		54927	55962	+	A27M14DRAFT_NODE-unique_1_len_150543.1	Fructose-bisphosphate aldolase class II (EC 4.1.2.13)
kb|g.236162.CDS.53	CDS	Adenylosuccinate synthetase (EC 6.3.4.4)	kb|g.236162	none		55994	57278	+	A27M14DRAFT_NODE-unique_1_len_150543.1	Adenylosuccinate synthetase (EC 6.3.4.4)
kb|g.236162.CDS.54	CDS	Phosphoribosylamine--glycine ligase (EC 6.3.4.13)	kb|g.236162	none		57281	58526	+	A27M14DRAFT_NODE-unique_1_len_150543.1	Phosphoribosylamine--glycine ligase (EC 6.3.4.13)
kb|g.236162.CDS.55	CDS	Adenylosuccinate lyase (EC 4.3.2.2)	kb|g.236162	none		58526	59948	+	A27M14DRAFT_NODE-unique_1_len_150543.1	Adenylosuccinate lyase (EC 4.3.2.2)
kb|g.236162.CDS.56	CDS	Phosphoribosylaminoimidazole-succinocarboxamide synthase (EC 6.3.2.6)	kb|g.236162	none		59944	60826	+	A27M14DRAFT_NODE-unique_1_len_150543.1	Phosphoribosylaminoimidazole-succinocarboxamide synthase (EC 6.3.2.6)
kb|g.236162.CDS.57	CDS	Phosphoribosylformylglycinamidine synthase, PurS subunit (EC 6.3.5.3)	kb|g.236162	none		60847	61093	+	A27M14DRAFT_NODE-unique_1_len_150543.1	Phosphoribosylformylglycinamidine synthase, PurS subunit (EC 6.3.5.3)
kb|g.236162.CDS.58	CDS	Phosphoribosylformylglycinamidine synthase, glutamine amidotransferase subunit (EC 6.3.5.3)	kb|g.236162	none		61097	61778	+	A27M14DRAFT_NODE-unique_1_len_150543.1	Phosphoribosylformylglycinamidine synthase, glutamine amidotransferase subunit (EC 6.3.5.3)
kb|g.236162.CDS.59	CDS	Phosphoribosylformylglycinamidine synthase, synthetase subunit (EC 6.3.5.3)	kb|g.236162	none		61777	64009	+	A27M14DRAFT_NODE-unique_1_len_150543.1	Phosphoribosylformylglycinamidine synthase, synthetase subunit (EC 6.3.5.3)
kb|g.236162.CDS.60	CDS		kb|g.236162	;	No annotated function	64012	64309	+	A27M14DRAFT_NODE-unique_1_len_150543.1	
kb|g.236162.CDS.61	CDS	Amidophosphoribosyltransferase (EC 2.4.2.14)	kb|g.236162	none		64305	65778	+	A27M14DRAFT_NODE-unique_1_len_150543.1	Amidophosphoribosyltransferase (EC 2.4.2.14)
kb|g.236162.CDS.62	CDS	Phosphoribosylformylglycinamidine cyclo-ligase (EC 6.3.3.1)	kb|g.236162	none		65777	66836	+	A27M14DRAFT_NODE-unique_1_len_150543.1	Phosphoribosylformylglycinamidine cyclo-ligase (EC 6.3.3.1)
kb|g.236162.CDS.63	CDS		kb|g.236162	;	No annotated function	66842	68213	+	A27M14DRAFT_NODE-unique_1_len_150543.1	
kb|g.236162.CDS.64	CDS		kb|g.236162	;	No annotated function	68255	68432	+	A27M14DRAFT_NODE-unique_1_len_150543.1	
kb|g.236162.CDS.65	CDS		kb|g.236162	;	No annotated function	68445	69261	+	A27M14DRAFT_NODE-unique_1_len_150543.1	
kb|g.236162.CDS.66	CDS		kb|g.236162	;	No annotated function	69367	69565	+	A27M14DRAFT_NODE-unique_1_len_150543.1	
kb|g.236162.CDS.67	CDS	Undecaprenyl-phosphate N-acetylglucosaminyl 1-phosphate transferase (EC 2.7.8.-)	kb|g.236162	none		69579	70620	+	A27M14DRAFT_NODE-unique_1_len_150543.1	Undecaprenyl-phosphate N-acetylglucosaminyl 1-phosphate transferase (EC 2.7.8.-)
kb|g.236162.CDS.68	CDS		kb|g.236162	;	No annotated function	70650	70821	+	A27M14DRAFT_NODE-unique_1_len_150543.1	
kb|g.236162.CDS.69	CDS		kb|g.236162	;	No annotated function	72032	71324	-	A27M14DRAFT_NODE-unique_1_len_150543.1	
kb|g.236162.CDS.70	CDS	capsular polysaccharide biosynthesis protein	kb|g.236162	none		73186	72058	-	A27M14DRAFT_NODE-unique_1_len_150543.1	capsular polysaccharide biosynthesis protein
kb|g.236162.CDS.71	CDS	TsaC protein (YrdC domain) required for threonylcarbamoyladenosine t(6)A37 modification in tRNA	kb|g.236162	none		73226	74192	+	A27M14DRAFT_NODE-unique_1_len_150543.1	TsaC protein (YrdC domain) required for threonylcarbamoyladenosine t(6)A37 modification in tRNA
kb|g.236162.CDS.72	CDS	Permease of the drug/metabolite transporter (DMT) superfamily	kb|g.236162	none		74317	75220	+	A27M14DRAFT_NODE-unique_1_len_150543.1	Permease of the drug/metabolite transporter (DMT) superfamily
kb|g.236162.CDS.73	CDS		kb|g.236162	;	No annotated function	76163	75275	-	A27M14DRAFT_NODE-unique_1_len_150543.1	
kb|g.236162.CDS.74	CDS	N-Acetyl-D-glucosamine ABC transport system, permease protein 1	kb|g.236162	none		77071	76159	-	A27M14DRAFT_NODE-unique_1_len_150543.1	N-Acetyl-D-glucosamine ABC transport system, permease protein 1
kb|g.236162.CDS.75	CDS		kb|g.236162	;	No annotated function	78439	77122	-	A27M14DRAFT_NODE-unique_1_len_150543.1	
kb|g.236162.CDS.76	CDS	ATPase component NikO of energizing module of nickel ECF transporter	kb|g.236162	none		79355	78593	-	A27M14DRAFT_NODE-unique_1_len_150543.1	ATPase component NikO of energizing module of nickel ECF transporter
kb|g.236162.CDS.77	CDS	Transmembrane component NikQ of energizing module of nickel ECF transporter	kb|g.236162	none		80078	79358	-	A27M14DRAFT_NODE-unique_1_len_150543.1	Transmembrane component NikQ of energizing module of nickel ECF transporter
kb|g.236162.CDS.78	CDS		kb|g.236162	;	No annotated function	80476	80170	-	A27M14DRAFT_NODE-unique_1_len_150543.1	
kb|g.236162.CDS.79	CDS	Substrate-specific component NikM of nickel ECF transporter	kb|g.236162	none		81165	80487	-	A27M14DRAFT_NODE-unique_1_len_150543.1	Substrate-specific component NikM of nickel ECF transporter
kb|g.236162.CDS.80	CDS		kb|g.236162	;	No annotated function	81326	82292	+	A27M14DRAFT_NODE-unique_1_len_150543.1	
kb|g.236162.CDS.81	CDS	SpoU rRNA methylase family protein	kb|g.236162	none		82938	82287	-	A27M14DRAFT_NODE-unique_1_len_150543.1	SpoU rRNA methylase family protein
kb|g.236162.CDS.82	CDS		kb|g.236162	;	No annotated function	82998	83349	+	A27M14DRAFT_NODE-unique_1_len_150543.1	
