Attributes {
	id:kb|g.236126
	source:KBase
	gene_subsystem_hash:HASH(0x27330b28)
	source_id:kb|g.236126
	geneAliasHash:HASH(0x2d64b790)
	scientific_name:GFM MEintmetabat10152
	domain:Bacteria
	genetic_code:11
	dna_size:2093800
	num_contigs:166
	taxonomy:
	gc_content:
	complete:
	contigset_ref:2603/130/2
}
features (id	type	function	genomeID	delimiter	comment	start	stop	direction	contig	roleList) {
kb|g.236126.CDS.1	CDS		kb|g.236126	;	No annotated function	3514	2239	-	MEint.metabat.10152_20001093	
kb|g.236126.CDS.2	CDS	Glycogen phosphorylase (EC 2.4.1.1)	kb|g.236126	none		3738	6243	+	MEint.metabat.10152_20001093	Glycogen phosphorylase (EC 2.4.1.1)
kb|g.236126.CDS.3	CDS	Xylulose-5-phosphate phosphoketolase (EC 4.1.2.9) @ Fructose-6-phosphate phosphoketolase (EC 4.1.2.22)	kb|g.236126	none		6273	8754	+	MEint.metabat.10152_20001093	Xylulose-5-phosphate phosphoketolase (EC 4.1.2.9);Fructose-6-phosphate phosphoketolase (EC 4.1.2.22)
kb|g.236126.CDS.4	CDS	Hydrolase, alpha/beta fold family functionally coupled to Phosphoribulokinase	kb|g.236126	none		8846	9887	+	MEint.metabat.10152_20001093	Hydrolase, alpha/beta fold family functionally coupled to Phosphoribulokinase
kb|g.236126.CDS.5	CDS		kb|g.236126	;	No annotated function	9966	11451	+	MEint.metabat.10152_20001093	
kb|g.236126.CDS.6	CDS		kb|g.236126	;	No annotated function	12041	11489	-	MEint.metabat.10152_20001093	
kb|g.236126.CDS.7	CDS		kb|g.236126	;	No annotated function	12575	12452	-	MEint.metabat.10152_20001093	
kb|g.236126.CDS.8	CDS		kb|g.236126	;	No annotated function	10	133	+	MEint.metabat.10152_12000177	
kb|g.236126.CDS.9	CDS		kb|g.236126	;	No annotated function	148	499	+	MEint.metabat.10152_12000177	
kb|g.236126.CDS.10	CDS	Sporulation regulatory protein WhiD	kb|g.236126	none		915	621	-	MEint.metabat.10152_12000177	Sporulation regulatory protein WhiD
kb|g.236126.CDS.11	CDS	FIG00996157: hypothetical protein	kb|g.236126	none		1225	2041	+	MEint.metabat.10152_12000177	FIG00996157: hypothetical protein
kb|g.236126.CDS.12	CDS	RNA polymerase sigma-70 factor	kb|g.236126	none		2132	2711	+	MEint.metabat.10152_12000177	RNA polymerase sigma-70 factor
kb|g.236126.CDS.13	CDS		kb|g.236126	;	No annotated function	2703	3930	+	MEint.metabat.10152_12000177	
kb|g.236126.CDS.14	CDS	FIG00820793: hypothetical protein	kb|g.236126	none		4362	3954	-	MEint.metabat.10152_12000177	FIG00820793: hypothetical protein
kb|g.236126.CDS.15	CDS	Inosine-5'-monophosphate dehydrogenase (EC 1.1.1.205)	kb|g.236126	none		4465	6073	+	MEint.metabat.10152_12000177	Inosine-5'-monophosphate dehydrogenase (EC 1.1.1.205)
kb|g.236126.CDS.16	CDS	Inosine-5'-monophosphate dehydrogenase (EC 1.1.1.205)	kb|g.236126	none		6116	7253	+	MEint.metabat.10152_12000177	Inosine-5'-monophosphate dehydrogenase (EC 1.1.1.205)
kb|g.236126.CDS.17	CDS	GMP synthase [glutamine-hydrolyzing] (EC 6.3.5.2)	kb|g.236126	none		7304	8861	+	MEint.metabat.10152_12000177	GMP synthase [glutamine-hydrolyzing] (EC 6.3.5.2)
kb|g.236126.CDS.18	CDS	FIG00821108: hypothetical protein	kb|g.236126	none		8980	9658	+	MEint.metabat.10152_12000177	FIG00821108: hypothetical protein
kb|g.236126.CDS.19	CDS	DNA polymerase-like protein PA0670	kb|g.236126	none		9654	11235	+	MEint.metabat.10152_12000177	DNA polymerase-like protein PA0670
kb|g.236126.CDS.20	CDS		kb|g.236126	;	No annotated function	11649	11235	-	MEint.metabat.10152_12000177	
kb|g.236126.CDS.21	CDS	PROBABLE CONSERVED LIPOPROTEIN LPQD	kb|g.236126	none		12461	11645	-	MEint.metabat.10152_12000177	PROBABLE CONSERVED LIPOPROTEIN LPQD
kb|g.236126.CDS.22	CDS	FIG00997910: hypothetical protein	kb|g.236126	none		13195	12484	-	MEint.metabat.10152_12000177	FIG00997910: hypothetical protein
kb|g.236126.CDS.23	CDS	DNA polymerase III alpha subunit (EC 2.7.7.7)	kb|g.236126	none		13261	16576	+	MEint.metabat.10152_12000177	DNA polymerase III alpha subunit (EC 2.7.7.7)
kb|g.236126.CDS.24	CDS	3-oxosteroid 1-dehydrogenase (EC 1.3.99.4)	kb|g.236126	none		19	202	+	MEint.metabat.10152_2312000203	3-oxosteroid 1-dehydrogenase (EC 1.3.99.4)
kb|g.236126.CDS.25	CDS	Enoyl-CoA hydratase	kb|g.236126	none		203	1076	+	MEint.metabat.10152_2312000203	Enoyl-CoA hydratase
kb|g.236126.CDS.26	CDS		kb|g.236126	;	No annotated function	1260	1125	-	MEint.metabat.10152_2312000203	
kb|g.236126.CDS.27	CDS	Lipid carrier protein IgrF	kb|g.236126	none		2479	1312	-	MEint.metabat.10152_2312000203	Lipid carrier protein IgrF
kb|g.236126.CDS.28	CDS	Enoyl coenzyme A hydratase IgrE	kb|g.236126	none		2874	2478	-	MEint.metabat.10152_2312000203	Enoyl coenzyme A hydratase IgrE
kb|g.236126.CDS.29	CDS	Conserved protein IgrD	kb|g.236126	none		3830	2870	-	MEint.metabat.10152_2312000203	Conserved protein IgrD
kb|g.236126.CDS.30	CDS	Probable acyl-CoA dehydrogenase FadE29 (EC 1.3.99.-); Acyl-CoA dehydrogenase IgrC	kb|g.236126	;		5077	3925	-	MEint.metabat.10152_2312000203	Probable acyl-CoA dehydrogenase FadE29 (EC 1.3.99.-);Acyl-CoA dehydrogenase IgrC
kb|g.236126.CDS.31	CDS	Probable acyl-CoA dehydrogenase FadE28 (EC 1.3.99.-); Acyl-CoA dehydrogenase IgrB	kb|g.236126	;		6087	5079	-	MEint.metabat.10152_2312000203	Probable acyl-CoA dehydrogenase FadE28 (EC 1.3.99.-);Acyl-CoA dehydrogenase IgrB
kb|g.236126.CDS.32	CDS	Putative cytochrome P450 125 (EC 1.14.-.-); Putative cytochrome P450 IgrA	kb|g.236126	;		7355	6110	-	MEint.metabat.10152_2312000203	Putative cytochrome P450 125 (EC 1.14.-.-);Putative cytochrome P450 IgrA
kb|g.236126.CDS.33	CDS	Probable acetyl-CoA acetyltransferase FadA5 (EC 2.3.1.9)	kb|g.236126	none		7477	8641	+	MEint.metabat.10152_2312000203	Probable acetyl-CoA acetyltransferase FadA5 (EC 2.3.1.9)
kb|g.236126.CDS.34	CDS	Putative uncharacterized protein BCG_3611	kb|g.236126	none		8759	9479	+	MEint.metabat.10152_2312000203	Putative uncharacterized protein BCG_3611
kb|g.236126.CDS.35	CDS	Putative uncharacterized protein (Hypothetical short-chain type dehydrogenase/reductase)	kb|g.236126	none		10488	9570	-	MEint.metabat.10152_2312000203	Putative uncharacterized protein (Hypothetical short-chain type dehydrogenase/reductase)
kb|g.236126.CDS.36	CDS	Probable short-chain type dehydrogenase/reductase (EC 1.-.-.-)	kb|g.236126	none		11270	10538	-	MEint.metabat.10152_2312000203	Probable short-chain type dehydrogenase/reductase (EC 1.-.-.-)
kb|g.236126.CDS.37	CDS		kb|g.236126	;	No annotated function	244	19	-	MEint.metabat.10152_65000242	
kb|g.236126.CDS.38	CDS		kb|g.236126	;	No annotated function	1490	317	-	MEint.metabat.10152_65000242	
kb|g.236126.CDS.39	CDS		kb|g.236126	;	No annotated function	1947	1548	-	MEint.metabat.10152_65000242	
kb|g.236126.CDS.40	CDS	glycosyltransferase	kb|g.236126	none		3244	1966	-	MEint.metabat.10152_65000242	glycosyltransferase
kb|g.236126.CDS.41	CDS		kb|g.236126	;	No annotated function	4039	3370	-	MEint.metabat.10152_65000242	
kb|g.236126.CDS.42	CDS		kb|g.236126	;	No annotated function	4437	4146	-	MEint.metabat.10152_65000242	
kb|g.236126.CDS.43	CDS	FIG00820636: hypothetical protein	kb|g.236126	none		844	28	-	MEint.metabat.10152_1462000169	FIG00820636: hypothetical protein
kb|g.236126.CDS.44	CDS	Carbonic anhydrase (EC 4.2.1.1)	kb|g.236126	none		1563	930	-	MEint.metabat.10152_1462000169	Carbonic anhydrase (EC 4.2.1.1)
kb|g.236126.CDS.45	CDS	A/G-specific adenine glycosylase (EC 3.2.2.-)	kb|g.236126	none		1562	2492	+	MEint.metabat.10152_1462000169	A/G-specific adenine glycosylase (EC 3.2.2.-)
kb|g.236126.CDS.46	CDS	Hydrolase, alpha/beta fold family	kb|g.236126	none		3325	2542	-	MEint.metabat.10152_1462000169	Hydrolase, alpha/beta fold family
kb|g.236126.CDS.47	CDS		kb|g.236126	;	No annotated function	60	429	+	MEint.metabat.10152_2330000268	
kb|g.236126.CDS.48	CDS	Epoxide hydrolase (EC 3.3.2.9)	kb|g.236126	none		425	1385	+	MEint.metabat.10152_2330000268	Epoxide hydrolase (EC 3.3.2.9)
kb|g.236126.CDS.49	CDS	putative serine protease	kb|g.236126	none		2561	1373	-	MEint.metabat.10152_2330000268	putative serine protease
kb|g.236126.CDS.50	CDS	Hypothetical nudix hydrolase YeaB	kb|g.236126	none		3265	2557	-	MEint.metabat.10152_2330000268	Hypothetical nudix hydrolase YeaB
kb|g.236126.CDS.51	CDS	Possible membrane-anchored thioredoxin-like protein	kb|g.236126	none		3981	3345	-	MEint.metabat.10152_2330000268	Possible membrane-anchored thioredoxin-like protein
kb|g.236126.CDS.52	CDS	Kup system potassium uptake protein	kb|g.236126	none		4119	6102	+	MEint.metabat.10152_2330000268	Kup system potassium uptake protein
kb|g.236126.CDS.53	CDS	Endonuclease III (EC 4.2.99.18)	kb|g.236126	none		6959	6155	-	MEint.metabat.10152_2330000268	Endonuclease III (EC 4.2.99.18)
