Attributes {
	id:kb|g.236103
	source:KBase
	gene_subsystem_hash:HASH(0x2e02a388)
	source_id:kb|g.236103
	geneAliasHash:HASH(0x223bf800)
	scientific_name:GFM MEintmetabat1953
	domain:Bacteria
	genetic_code:11
	dna_size:2350523
	num_contigs:135
	taxonomy:
	gc_content:
	complete:
	contigset_ref:2603/103/2
}
features (id	type	function	genomeID	delimiter	comment	start	stop	direction	contig	roleList) {
kb|g.236103.CDS.1	CDS	Ketol-acid reductoisomerase (EC 1.1.1.86)	kb|g.236103	none		1394	350	-	MEint.metabat.1953_11001138	Ketol-acid reductoisomerase (EC 1.1.1.86)
kb|g.236103.CDS.2	CDS	Acetolactate synthase small subunit (EC 2.2.1.6)	kb|g.236103	none		1969	1423	-	MEint.metabat.1953_11001138	Acetolactate synthase small subunit (EC 2.2.1.6)
kb|g.236103.CDS.3	CDS	Acetolactate synthase large subunit (EC 2.2.1.6)	kb|g.236103	none		3723	1968	-	MEint.metabat.1953_11001138	Acetolactate synthase large subunit (EC 2.2.1.6)
kb|g.236103.CDS.4	CDS		kb|g.236103	;	No annotated function	3849	3966	+	MEint.metabat.1953_11001138	
kb|g.236103.CDS.5	CDS		kb|g.236103	;	No annotated function	4054	4576	+	MEint.metabat.1953_11001138	
kb|g.236103.CDS.6	CDS		kb|g.236103	;	No annotated function	4784	4553	-	MEint.metabat.1953_11001138	
kb|g.236103.CDS.7	CDS		kb|g.236103	;	No annotated function	4764	4887	+	MEint.metabat.1953_11001138	
kb|g.236103.CDS.8	CDS		kb|g.236103	;	No annotated function	4852	5575	+	MEint.metabat.1953_11001138	
kb|g.236103.CDS.9	CDS	Dihydroxy-acid dehydratase (EC 4.2.1.9)	kb|g.236103	none		7240	5560	-	MEint.metabat.1953_11001138	Dihydroxy-acid dehydratase (EC 4.2.1.9)
kb|g.236103.CDS.10	CDS		kb|g.236103	;	No annotated function	7488	7302	-	MEint.metabat.1953_11001138	
kb|g.236103.CDS.11	CDS		kb|g.236103	;	No annotated function	8802	7563	-	MEint.metabat.1953_11001138	
kb|g.236103.CDS.12	CDS		kb|g.236103	;	No annotated function	9385	8890	-	MEint.metabat.1953_11001138	
