BIN_15.genome.CDS.1749,group11490
BIN_15.genome.CDS.1748,group02074
BIN_15.genome.CDS.1741,group00810
BIN_15.genome.CDS.1740,group00117
BIN_15.genome.CDS.1743,group00421
BIN_15.genome.CDS.1742,group06933
BIN_15.genome.CDS.1745,group00210
BIN_15.genome.CDS.1744,group00034
BIN_15.genome.CDS.1747,group11909
BIN_15.genome.CDS.2443,group00351
BIN_15.genome.CDS.3139,group02768
BIN_15.genome.CDS.2337,group00139
BIN_15.genome.CDS.2440,group11202
BIN_15.genome.CDS.2447,group00777
BIN_15.genome.CDS.2446,group01571
BIN_15.genome.CDS.2083,group01157
BIN_15.genome.CDS.2081,group01423
BIN_15.genome.CDS.2087,group05370
BIN_15.genome.CDS.2086,group00955
BIN_15.genome.CDS.2085,group00955
BIN_15.genome.CDS.2084,group02237
BIN_15.genome.CDS.2089,group05371
BIN_15.genome.CDS.2088,group01055
BIN_15.genome.CDS.2641,group00364
BIN_15.genome.CDS.2640,group04815
BIN_15.genome.CDS.2643,group00080
BIN_15.genome.CDS.2642,group01903
BIN_15.genome.CDS.2645,group00220
BIN_15.genome.CDS.2644,group03354
BIN_15.genome.CDS.2647,group09620
BIN_15.genome.CDS.2646,group00220
BIN_15.genome.CDS.2649,group00041
BIN_15.genome.CDS.2648,group00041
BIN_15.genome.CDS.2449,group00632
BIN_15.genome.CDS.2448,group01044
BIN_15.genome.CDS.3134,group08067
BIN_15.genome.CDS.2469,group02179
BIN_15.genome.CDS.2468,group06808
BIN_15.genome.CDS.2570,group07735
BIN_15.genome.CDS.2461,group10917
BIN_15.genome.CDS.2460,group00102
BIN_15.genome.CDS.2463,group01906
BIN_15.genome.CDS.2462,group00500
BIN_15.genome.CDS.2465,group01844
BIN_15.genome.CDS.2464,group01653
BIN_15.genome.CDS.2467,group11207
BIN_15.genome.CDS.2268,group06372
BIN_15.genome.CDS.2267,group11547
BIN_15.genome.CDS.2266,group01185
BIN_15.genome.CDS.2265,group03051
BIN_15.genome.CDS.2263,group01970
BIN_15.genome.CDS.2262,group00832
BIN_15.genome.CDS.2261,group05375
BIN_15.genome.CDS.2260,group11546
BIN_15.genome.CDS.2515,group00355
BIN_15.genome.CDS.2514,group01106
BIN_15.genome.CDS.3028,group01087
BIN_15.genome.CDS.3029,group01648
BIN_15.genome.CDS.2511,group09113
BIN_15.genome.CDS.2510,group01964
BIN_15.genome.CDS.2513,group01669
BIN_15.genome.CDS.2512,group02181
BIN_15.genome.CDS.3020,group00526
BIN_15.genome.CDS.3021,group02371
BIN_15.genome.CDS.3026,group00000
BIN_15.genome.CDS.834,group11249
BIN_15.genome.CDS.3025,group00000
BIN_15.genome.CDS.3118,group01776
BIN_15.genome.CDS.3119,group00693
BIN_15.genome.CDS.3116,group00283
BIN_15.genome.CDS.3117,group00283
BIN_15.genome.CDS.3114,group00645
BIN_15.genome.CDS.3115,group01883
BIN_15.genome.CDS.3112,group01770
BIN_15.genome.CDS.3113,group02585
BIN_15.genome.CDS.3110,group00383
BIN_15.genome.CDS.3111,group00383
BIN_15.genome.CDS.3336,group07447
BIN_15.genome.CDS.3337,group11400
BIN_15.genome.CDS.3334,group00080
BIN_15.genome.CDS.3335,group01329
BIN_15.genome.CDS.3332,group00498
BIN_15.genome.CDS.3333,group00291
BIN_15.genome.CDS.3330,group00379
BIN_15.genome.CDS.3331,group00379
BIN_15.genome.CDS.3339,group11403
BIN_15.genome.CDS.81,group01688
BIN_15.genome.CDS.306,group04364
BIN_15.genome.CDS.305,group11498
BIN_15.genome.CDS.1596,group11430
BIN_15.genome.CDS.2889,group01597
BIN_15.genome.CDS.2888,group11297
BIN_15.genome.CDS.2883,group00317
BIN_15.genome.CDS.2882,group11296
BIN_15.genome.CDS.2881,group00058
BIN_15.genome.CDS.2880,group00137
BIN_15.genome.CDS.2886,group12399
BIN_15.genome.CDS.2885,group08619
BIN_15.genome.CDS.2884,group10320
BIN_15.genome.CDS.962,group07553
BIN_15.genome.CDS.784,group00242
BIN_15.genome.CDS.3004,group00287
BIN_15.genome.CDS.3557,group11461
BIN_15.genome.CDS.3007,group00680
BIN_15.genome.CDS.3000,group01309
BIN_15.genome.CDS.3553,group02061
BIN_15.genome.CDS.3550,group06476
BIN_15.genome.CDS.3418,group00542
BIN_15.genome.CDS.2865,group02992
BIN_15.genome.CDS.2864,group01502
BIN_15.genome.CDS.2867,group08214
BIN_15.genome.CDS.2866,group02151
BIN_15.genome.CDS.2861,group01365
BIN_15.genome.CDS.2860,group11292
BIN_15.genome.CDS.2863,group11294
BIN_15.genome.CDS.1354,group01890
BIN_15.genome.CDS.1600,group11438
BIN_15.genome.CDS.2868,group10285
BIN_15.genome.CDS.1350,group02514
BIN_15.genome.CDS.1994,group01050
BIN_15.genome.CDS.1995,group04179
BIN_15.genome.CDS.1996,group07476
BIN_15.genome.CDS.1997,group05369
BIN_15.genome.CDS.1990,group03572
BIN_15.genome.CDS.1991,group09243
BIN_15.genome.CDS.1992,group04032
BIN_15.genome.CDS.1998,group01297
BIN_15.genome.CDS.1999,group00275
BIN_15.genome.CDS.2445,group01383
BIN_15.genome.CDS.1512,group11404
BIN_15.genome.CDS.2809,group00030
BIN_15.genome.CDS.1171,group00967
BIN_15.genome.CDS.1179,group11709
BIN_15.genome.CDS.1774,group00247
BIN_15.genome.CDS.1775,group05365
BIN_15.genome.CDS.1776,group08804
BIN_15.genome.CDS.1777,group07708
BIN_15.genome.CDS.1770,group13099
BIN_15.genome.CDS.1771,group11187
BIN_15.genome.CDS.1772,group11186
BIN_15.genome.CDS.1773,group11199
BIN_15.genome.CDS.1778,group00233
BIN_15.genome.CDS.1779,group01832
BIN_15.genome.CDS.2188,group01302
BIN_15.genome.CDS.2189,group01364
BIN_15.genome.CDS.2182,group01259
BIN_15.genome.CDS.2183,group01334
BIN_15.genome.CDS.2180,group01613
BIN_15.genome.CDS.2186,group11525
BIN_15.genome.CDS.2187,group12169
BIN_15.genome.CDS.2184,group01224
BIN_15.genome.CDS.2185,group00377
BIN_15.genome.CDS.2078,group02363
BIN_15.genome.CDS.2079,group01182
BIN_15.genome.CDS.2076,group00754
BIN_15.genome.CDS.2077,group00044
BIN_15.genome.CDS.2074,group08480
BIN_15.genome.CDS.2075,group01835
BIN_15.genome.CDS.2072,group11506
BIN_15.genome.CDS.2073,group14047
BIN_15.genome.CDS.2070,group12709
BIN_15.genome.CDS.2071,group08439
BIN_15.genome.CDS.2678,group04029
BIN_15.genome.CDS.2679,group01765
BIN_15.genome.CDS.2674,group03644
BIN_15.genome.CDS.2675,group04306
BIN_15.genome.CDS.2676,group01775
BIN_15.genome.CDS.2677,group11900
BIN_15.genome.CDS.2670,group01414
BIN_15.genome.CDS.2671,group11262
BIN_15.genome.CDS.2672,group01273
BIN_15.genome.CDS.2673,group07321
BIN_15.genome.CDS.3581,group01479
BIN_15.genome.CDS.3580,group01381
BIN_15.genome.CDS.3583,group04447
BIN_15.genome.CDS.3582,group11465
BIN_15.genome.CDS.3584,group11464
BIN_15.genome.CDS.2696,group00222
BIN_15.genome.CDS.2697,group01969
BIN_15.genome.CDS.2694,group08410
BIN_15.genome.CDS.2695,group00353
BIN_15.genome.CDS.2692,group03833
BIN_15.genome.CDS.2693,group00267
BIN_15.genome.CDS.2691,group01411
BIN_15.genome.CDS.2698,group00123
BIN_15.genome.CDS.2699,group00345
BIN_15.genome.CDS.2218,group01416
BIN_15.genome.CDS.2219,group00212
BIN_15.genome.CDS.2212,group00053
BIN_15.genome.CDS.2213,group11532
BIN_15.genome.CDS.2210,group07824
BIN_15.genome.CDS.2211,group01815
BIN_15.genome.CDS.2216,group01911
BIN_15.genome.CDS.2214,group02049
BIN_15.genome.CDS.2215,group11531
BIN_15.genome.CDS.3039,group01491
