AAA044D11.genome.CDS.2166,group11291
AAA044D11.genome.CDS.2167,group07897
AAA044D11.genome.CDS.2164,group04321
AAA044D11.genome.CDS.2165,group08410
AAA044D11.genome.CDS.2162,group03881
AAA044D11.genome.CDS.2163,group01063
AAA044D11.genome.CDS.2172,group03587
AAA044D11.genome.CDS.2161,group00000
AAA044D11.genome.CDS.2247,group00399
AAA044D11.genome.CDS.2246,group02632
AAA044D11.genome.CDS.2245,group09627
AAA044D11.genome.CDS.2244,group00165
AAA044D11.genome.CDS.402,group00990
AAA044D11.genome.CDS.2242,group00071
AAA044D11.genome.CDS.2241,group00853
AAA044D11.genome.CDS.2240,group03685
AAA044D11.genome.CDS.1897,group00310
AAA044D11.genome.CDS.1896,group00435
AAA044D11.genome.CDS.1895,group11259
AAA044D11.genome.CDS.1894,group04130
AAA044D11.genome.CDS.2085,group04455
AAA044D11.genome.CDS.1892,group00026
AAA044D11.genome.CDS.1891,group00202
AAA044D11.genome.CDS.2086,group00223
AAA044D11.genome.CDS.2089,group00693
AAA044D11.genome.CDS.2088,group00554
AAA044D11.genome.CDS.1846,group00733
AAA044D11.genome.CDS.1899,group00460
AAA044D11.genome.CDS.1898,group05912
AAA044D11.genome.CDS.1878,group12977
AAA044D11.genome.CDS.1247,group01006
AAA044D11.genome.CDS.1244,group00740
AAA044D11.genome.CDS.1245,group05937
AAA044D11.genome.CDS.1242,group00834
AAA044D11.genome.CDS.1243,group14024
AAA044D11.genome.CDS.1569,group00078
AAA044D11.genome.CDS.1241,group07007
AAA044D11.genome.CDS.1567,group00164
AAA044D11.genome.CDS.1566,group00075
AAA044D11.genome.CDS.1565,group05949
AAA044D11.genome.CDS.1483,group00173
AAA044D11.genome.CDS.1563,group00547
AAA044D11.genome.CDS.1562,group04869
AAA044D11.genome.CDS.1248,group09251
AAA044D11.genome.CDS.1249,group01059
AAA044D11.genome.CDS.2260,group05759
AAA044D11.genome.CDS.1800,group00503
AAA044D11.genome.CDS.1801,group00095
AAA044D11.genome.CDS.2018,group05536
AAA044D11.genome.CDS.1803,group00081
AAA044D11.genome.CDS.1804,group00191
AAA044D11.genome.CDS.1805,group00142
AAA044D11.genome.CDS.1806,group12547
AAA044D11.genome.CDS.1807,group12328
AAA044D11.genome.CDS.1808,group00253
