Attributes {
	id:kb|g.234916
	source:KBase
	gene_subsystem_hash:HASH(0x247ddc80)
	source_id:kb|g.234916
	geneAliasHash:HASH(0x49e92770)
	scientific_name:GFM TBhypometabat9906
	domain:Bacteria
	genetic_code:11
	dna_size:796017
	num_contigs:188
	taxonomy:
	gc_content:
	complete:
	contigset_ref:2603/55/2
}
features (id	type	function	genomeID	delimiter	comment	start	stop	direction	contig	roleList) {
kb|g.234916.CDS.1	CDS		kb|g.234916	;	No annotated function	1119	318	-	TBhypo.metabat.9906_10019086	
kb|g.234916.CDS.2	CDS	Aspartokinase (EC 2.7.2.4)	kb|g.234916	none		1237	2461	+	TBhypo.metabat.9906_10019086	Aspartokinase (EC 2.7.2.4)
kb|g.234916.CDS.3	CDS	Aspartate-semialdehyde dehydrogenase (EC 1.2.1.11)	kb|g.234916	none		2515	3496	+	TBhypo.metabat.9906_10019086	Aspartate-semialdehyde dehydrogenase (EC 1.2.1.11)
kb|g.234916.CDS.4	CDS	Phosphate transport system regulatory protein PhoU	kb|g.234916	none		4160	3491	-	TBhypo.metabat.9906_10019086	Phosphate transport system regulatory protein PhoU
kb|g.234916.CDS.5	CDS	DNA recombination protein RmuC	kb|g.234916	none		4229	5543	+	TBhypo.metabat.9906_10019086	DNA recombination protein RmuC
kb|g.234916.CDS.6	CDS		kb|g.234916	;	No annotated function	620	743	+	TBhypo.metabat.9906_10015053	
kb|g.234916.CDS.7	CDS	Pyruvate dehydrogenase E1 component beta subunit (EC 1.2.4.1)	kb|g.234916	none		2060	1073	-	TBhypo.metabat.9906_10015053	Pyruvate dehydrogenase E1 component beta subunit (EC 1.2.4.1)
kb|g.234916.CDS.8	CDS	Pyruvate dehydrogenase E1 component alpha subunit (EC 1.2.4.1)	kb|g.234916	none		3139	2059	-	TBhypo.metabat.9906_10015053	Pyruvate dehydrogenase E1 component alpha subunit (EC 1.2.4.1)
kb|g.234916.CDS.9	CDS		kb|g.234916	;	No annotated function	3182	4406	+	TBhypo.metabat.9906_10015053	
kb|g.234916.CDS.10	CDS	Ribosomal RNA large subunit methyltransferase N (EC 2.1.1.-)	kb|g.234916	none		5442	4401	-	TBhypo.metabat.9906_10015053	Ribosomal RNA large subunit methyltransferase N (EC 2.1.1.-)
kb|g.234916.CDS.11	CDS		kb|g.234916	;	No annotated function	5583	5814	+	TBhypo.metabat.9906_10015053	
kb|g.234916.CDS.12	CDS	3-oxoacyl-[acyl-carrier protein] reductase (EC 1.1.1.100)	kb|g.234916	none		5925	6702	+	TBhypo.metabat.9906_10015053	3-oxoacyl-[acyl-carrier protein] reductase (EC 1.1.1.100)
