bin_7_acI-B2.genome.CDS.1369,group00700
bin_7_acI-B2.genome.CDS.1367,group00100
bin_7_acI-B2.genome.CDS.1366,group00100
bin_7_acI-B2.genome.CDS.1568,group05362
bin_7_acI-B2.genome.CDS.3679,group00606
bin_7_acI-B2.genome.CDS.3678,group00183
bin_7_acI-B2.genome.CDS.3677,group00880
bin_7_acI-B2.genome.CDS.3676,group00133
bin_7_acI-B2.genome.CDS.3675,group10353
bin_7_acI-B2.genome.CDS.3674,group00480
bin_7_acI-B2.genome.CDS.3673,group00138
bin_7_acI-B2.genome.CDS.3672,group10443
bin_7_acI-B2.genome.CDS.3671,group00484
bin_7_acI-B2.genome.CDS.3670,group00548
bin_7_acI-B2.genome.CDS.3479,group01375
bin_7_acI-B2.genome.CDS.3478,group00025
bin_7_acI-B2.genome.CDS.3471,group00276
bin_7_acI-B2.genome.CDS.3472,group00677
bin_7_acI-B2.genome.CDS.3475,group00274
bin_7_acI-B2.genome.CDS.3476,group07954
bin_7_acI-B2.genome.CDS.4058,group12774
bin_7_acI-B2.genome.CDS.4059,group03695
bin_7_acI-B2.genome.CDS.4056,group02243
bin_7_acI-B2.genome.CDS.4057,group02087
bin_7_acI-B2.genome.CDS.4054,group00531
bin_7_acI-B2.genome.CDS.4055,group07221
bin_7_acI-B2.genome.CDS.4052,group00180
bin_7_acI-B2.genome.CDS.4053,group00179
bin_7_acI-B2.genome.CDS.4050,group00914
bin_7_acI-B2.genome.CDS.4051,group00238
bin_7_acI-B2.genome.CDS.2988,group03197
bin_7_acI-B2.genome.CDS.2982,group10940
bin_7_acI-B2.genome.CDS.2983,group01392
bin_7_acI-B2.genome.CDS.2980,group03695
bin_7_acI-B2.genome.CDS.2981,group03968
bin_7_acI-B2.genome.CDS.2986,group01589
bin_7_acI-B2.genome.CDS.2984,group02890
bin_7_acI-B2.genome.CDS.2985,group08132
bin_7_acI-B2.genome.CDS.2791,group00502
bin_7_acI-B2.genome.CDS.2182,group07168
bin_7_acI-B2.genome.CDS.2183,group00391
bin_7_acI-B2.genome.CDS.2180,group00684
bin_7_acI-B2.genome.CDS.2181,group12865
bin_7_acI-B2.genome.CDS.2186,group00255
bin_7_acI-B2.genome.CDS.2187,group00094
bin_7_acI-B2.genome.CDS.2184,group00589
bin_7_acI-B2.genome.CDS.2185,group00651
bin_7_acI-B2.genome.CDS.2188,group00503
bin_7_acI-B2.genome.CDS.3909,group00785
bin_7_acI-B2.genome.CDS.3908,group00176
bin_7_acI-B2.genome.CDS.3901,group02330
bin_7_acI-B2.genome.CDS.3900,group00697
bin_7_acI-B2.genome.CDS.3903,group04914
bin_7_acI-B2.genome.CDS.3902,group00843
bin_7_acI-B2.genome.CDS.3905,group00269
bin_7_acI-B2.genome.CDS.3904,group01625
bin_7_acI-B2.genome.CDS.3907,group04204
bin_7_acI-B2.genome.CDS.3906,group05403
bin_7_acI-B2.genome.CDS.3875,group08129
bin_7_acI-B2.genome.CDS.3874,group01312
bin_7_acI-B2.genome.CDS.3877,group00926
bin_7_acI-B2.genome.CDS.3876,group12709
bin_7_acI-B2.genome.CDS.3871,group00847
bin_7_acI-B2.genome.CDS.3870,group01586
bin_7_acI-B2.genome.CDS.3873,group02427
bin_7_acI-B2.genome.CDS.3872,group01366
bin_7_acI-B2.genome.CDS.3879,group00327
bin_7_acI-B2.genome.CDS.3878,group01647
bin_7_acI-B2.genome.CDS.2831,group05289
bin_7_acI-B2.genome.CDS.2058,group00754
bin_7_acI-B2.genome.CDS.2059,group06264
bin_7_acI-B2.genome.CDS.2054,group00434
bin_7_acI-B2.genome.CDS.2055,group08492
bin_7_acI-B2.genome.CDS.2056,group13923
bin_7_acI-B2.genome.CDS.2057,group00315
bin_7_acI-B2.genome.CDS.2050,group08192
bin_7_acI-B2.genome.CDS.2051,group06648
bin_7_acI-B2.genome.CDS.2052,group01340
bin_7_acI-B2.genome.CDS.2053,group01198
bin_7_acI-B2.genome.CDS.2331,group03682
bin_7_acI-B2.genome.CDS.2330,group00784
bin_7_acI-B2.genome.CDS.2333,group04013
bin_7_acI-B2.genome.CDS.2332,group05221
bin_7_acI-B2.genome.CDS.2335,group00953
bin_7_acI-B2.genome.CDS.2334,group03482
bin_7_acI-B2.genome.CDS.2337,group00615
bin_7_acI-B2.genome.CDS.2336,group07030
bin_7_acI-B2.genome.CDS.2339,group00471
bin_7_acI-B2.genome.CDS.2338,group09239
bin_7_acI-B2.genome.CDS.504,group00933
bin_7_acI-B2.genome.CDS.3273,group13513
bin_7_acI-B2.genome.CDS.3272,group00935
bin_7_acI-B2.genome.CDS.3271,group14004
bin_7_acI-B2.genome.CDS.3270,group01386
bin_7_acI-B2.genome.CDS.3277,group08235
bin_7_acI-B2.genome.CDS.3276,group13999
bin_7_acI-B2.genome.CDS.3275,group11848
bin_7_acI-B2.genome.CDS.3274,group04454
bin_7_acI-B2.genome.CDS.3279,group01121
bin_7_acI-B2.genome.CDS.3278,group05517
bin_7_acI-B2.genome.CDS.3116,group09064
bin_7_acI-B2.genome.CDS.3117,group13980
bin_7_acI-B2.genome.CDS.3114,group00171
bin_7_acI-B2.genome.CDS.3115,group01137
bin_7_acI-B2.genome.CDS.2429,group12495
bin_7_acI-B2.genome.CDS.3113,group13975
bin_7_acI-B2.genome.CDS.3110,group01548
bin_7_acI-B2.genome.CDS.3111,group01757
bin_7_acI-B2.genome.CDS.2425,group09754
bin_7_acI-B2.genome.CDS.2424,group00160
bin_7_acI-B2.genome.CDS.2427,group02536
bin_7_acI-B2.genome.CDS.2426,group01396
bin_7_acI-B2.genome.CDS.2421,group00354
bin_7_acI-B2.genome.CDS.2420,group00249
bin_7_acI-B2.genome.CDS.3118,group13979
bin_7_acI-B2.genome.CDS.3119,group00024
bin_7_acI-B2.genome.CDS.2519,group01083
bin_7_acI-B2.genome.CDS.2518,group00650
bin_7_acI-B2.genome.CDS.3060,group00075
bin_7_acI-B2.genome.CDS.3061,group00164
bin_7_acI-B2.genome.CDS.3066,group00124
bin_7_acI-B2.genome.CDS.3067,group10554
bin_7_acI-B2.genome.CDS.3064,group00168
bin_7_acI-B2.genome.CDS.3065,group00292
bin_7_acI-B2.genome.CDS.2511,group02691
bin_7_acI-B2.genome.CDS.2510,group04136
bin_7_acI-B2.genome.CDS.3068,group00372
bin_7_acI-B2.genome.CDS.3069,group08676
bin_7_acI-B2.genome.CDS.2515,group00474
bin_7_acI-B2.genome.CDS.2514,group00173
bin_7_acI-B2.genome.CDS.2517,group04032
bin_7_acI-B2.genome.CDS.2516,group09996
bin_7_acI-B2.genome.CDS.2605,group03686
bin_7_acI-B2.genome.CDS.2604,group08442
bin_7_acI-B2.genome.CDS.2607,group04515
bin_7_acI-B2.genome.CDS.2606,group03687
bin_7_acI-B2.genome.CDS.2601,group02647
bin_7_acI-B2.genome.CDS.2600,group13927
bin_7_acI-B2.genome.CDS.2603,group03684
bin_7_acI-B2.genome.CDS.2602,group03195
bin_7_acI-B2.genome.CDS.2609,group13926
bin_7_acI-B2.genome.CDS.2608,group07488
bin_7_acI-B2.genome.CDS.1420,group03712
bin_7_acI-B2.genome.CDS.1421,group00504
bin_7_acI-B2.genome.CDS.3648,group00141
bin_7_acI-B2.genome.CDS.3649,group12401
bin_7_acI-B2.genome.CDS.3642,group02960
bin_7_acI-B2.genome.CDS.3643,group00632
bin_7_acI-B2.genome.CDS.3640,group00387
bin_7_acI-B2.genome.CDS.3641,group01817
bin_7_acI-B2.genome.CDS.3646,group00016
bin_7_acI-B2.genome.CDS.3647,group00737
bin_7_acI-B2.genome.CDS.3644,group09140
bin_7_acI-B2.genome.CDS.3645,group00004
bin_7_acI-B2.genome.CDS.3484,group01589
bin_7_acI-B2.genome.CDS.3485,group08132
bin_7_acI-B2.genome.CDS.3486,group02890
bin_7_acI-B2.genome.CDS.3487,group01392
bin_7_acI-B2.genome.CDS.3480,group08342
bin_7_acI-B2.genome.CDS.3482,group03197
bin_7_acI-B2.genome.CDS.2802,group13619
bin_7_acI-B2.genome.CDS.3488,group10940
bin_7_acI-B2.genome.CDS.3489,group03968
bin_7_acI-B2.genome.CDS.2800,group00018
bin_7_acI-B2.genome.CDS.3400,group00704
bin_7_acI-B2.genome.CDS.3402,group00735
bin_7_acI-B2.genome.CDS.3403,group00343
bin_7_acI-B2.genome.CDS.4049,group01022
bin_7_acI-B2.genome.CDS.4048,group04575
bin_7_acI-B2.genome.CDS.4041,group00046
bin_7_acI-B2.genome.CDS.4040,group01305
bin_7_acI-B2.genome.CDS.4043,group00090
bin_7_acI-B2.genome.CDS.4042,group00053
bin_7_acI-B2.genome.CDS.4045,group00676
bin_7_acI-B2.genome.CDS.4044,group00913
bin_7_acI-B2.genome.CDS.4047,group13881
bin_7_acI-B2.genome.CDS.4046,group05153
bin_7_acI-B2.genome.CDS.2995,group05340
bin_7_acI-B2.genome.CDS.2994,group12238
bin_7_acI-B2.genome.CDS.2997,group00626
bin_7_acI-B2.genome.CDS.2996,group02669
bin_7_acI-B2.genome.CDS.2991,group01375
