Attributes {
	id:kb|g.236100
	source:KBase
	gene_subsystem_hash:HASH(0x3916a9d8)
	source_id:kb|g.236100
	geneAliasHash:HASH(0x394e2ba8)
	scientific_name:GFM MEintmetabat1719
	domain:Bacteria
	genetic_code:11
	dna_size:1793836
	num_contigs:94
	taxonomy:
	gc_content:
	complete:
	contigset_ref:2603/100/2
}
features (id	type	function	genomeID	delimiter	comment	start	stop	direction	contig	roleList) {
kb|g.236100.CDS.1	CDS		kb|g.236100	;	No annotated function	1358	314	-	MEint.metabat.1719_438000526	
kb|g.236100.CDS.2	CDS		kb|g.236100	;	No annotated function	1475	2327	+	MEint.metabat.1719_438000526	
kb|g.236100.CDS.3	CDS	tRNA-specific 2-thiouridylase MnmA	kb|g.236100	none		3371	2315	-	MEint.metabat.1719_438000526	tRNA-specific 2-thiouridylase MnmA
kb|g.236100.CDS.4	CDS	Cysteine desulfurase (EC 2.8.1.7)	kb|g.236100	none		4528	3367	-	MEint.metabat.1719_438000526	Cysteine desulfurase (EC 2.8.1.7)
kb|g.236100.CDS.5	CDS		kb|g.236100	;	No annotated function	4584	5364	+	MEint.metabat.1719_438000526	
kb|g.236100.CDS.6	CDS	Galactose-1-phosphate uridylyltransferase (EC 2.7.7.10)	kb|g.236100	none		5422	6409	+	MEint.metabat.1719_438000526	Galactose-1-phosphate uridylyltransferase (EC 2.7.7.10)
kb|g.236100.CDS.7	CDS		kb|g.236100	;	No annotated function	6412	6853	+	MEint.metabat.1719_438000526	
kb|g.236100.CDS.8	CDS		kb|g.236100	;	No annotated function	7464	6852	-	MEint.metabat.1719_438000526	
kb|g.236100.CDS.9	CDS		kb|g.236100	;	No annotated function	7797	7494	-	MEint.metabat.1719_438000526	
kb|g.236100.CDS.10	CDS		kb|g.236100	;	No annotated function	8498	7793	-	MEint.metabat.1719_438000526	
kb|g.236100.CDS.11	CDS	Enoyl-CoA hydratase (EC 4.2.1.17)	kb|g.236100	none		9281	8501	-	MEint.metabat.1719_438000526	Enoyl-CoA hydratase (EC 4.2.1.17)
kb|g.236100.CDS.12	CDS	putative periplasmic protein kinase ArgK and related GTPases of G3E family	kb|g.236100	none		10245	9282	-	MEint.metabat.1719_438000526	putative periplasmic protein kinase ArgK and related GTPases of G3E family
kb|g.236100.CDS.13	CDS		kb|g.236100	;	No annotated function	10479	10245	-	MEint.metabat.1719_438000526	
kb|g.236100.CDS.14	CDS		kb|g.236100	;	No annotated function	10532	10646	+	MEint.metabat.1719_438000526	
kb|g.236100.CDS.15	CDS	UDP-N-acetylglucosamine 1-carboxyvinyltransferase (EC 2.5.1.7)	kb|g.236100	none		11933	10619	-	MEint.metabat.1719_438000526	UDP-N-acetylglucosamine 1-carboxyvinyltransferase (EC 2.5.1.7)
kb|g.236100.CDS.16	CDS		kb|g.236100	;	No annotated function	12066	13215	+	MEint.metabat.1719_438000526	
kb|g.236100.CDS.17	CDS		kb|g.236100	;	No annotated function	13783	13210	-	MEint.metabat.1719_438000526	
kb|g.236100.CDS.18	CDS		kb|g.236100	;	No annotated function	14478	13779	-	MEint.metabat.1719_438000526	
kb|g.236100.CDS.19	CDS		kb|g.236100	;	No annotated function	15832	14488	-	MEint.metabat.1719_438000526	
kb|g.236100.CDS.20	CDS	Catalyzes the cleavage of p-aminobenzoyl-glutamate to p-aminobenzoate and glutamate, subunit A	kb|g.236100	none		1367	164	-	MEint.metabat.1719_1965002195	Catalyzes the cleavage of p-aminobenzoyl-glutamate to p-aminobenzoate and glutamate, subunit A
kb|g.236100.CDS.21	CDS	Alcohol dehydrogenase (EC 1.1.1.1)	kb|g.236100	none		2359	1363	-	MEint.metabat.1719_1965002195	Alcohol dehydrogenase (EC 1.1.1.1)
kb|g.236100.CDS.22	CDS		kb|g.236100	;	No annotated function	2976	2376	-	MEint.metabat.1719_1965002195	
kb|g.236100.CDS.23	CDS	FIG005666: putative helicase	kb|g.236100	none		3536	2972	-	MEint.metabat.1719_1965002195	FIG005666: putative helicase
kb|g.236100.CDS.24	CDS		kb|g.236100	;	No annotated function	49	235	+	MEint.metabat.1719_2338001060	
kb|g.236100.CDS.25	CDS		kb|g.236100	;	No annotated function	237	1461	+	MEint.metabat.1719_2338001060	
kb|g.236100.CDS.26	CDS		kb|g.236100	;	No annotated function	1491	1959	+	MEint.metabat.1719_2338001060	
kb|g.236100.CDS.27	CDS		kb|g.236100	;	No annotated function	1949	2816	+	MEint.metabat.1719_2338001060	
kb|g.236100.CDS.28	CDS	PROBABLE MEMBRANE PROTEIN	kb|g.236100	none		3269	2765	-	MEint.metabat.1719_2338001060	PROBABLE MEMBRANE PROTEIN
kb|g.236100.CDS.29	CDS	Mg/Co/Ni transporter MgtE / CBS domain	kb|g.236100	none		4492	3265	-	MEint.metabat.1719_2338001060	Mg/Co/Ni transporter MgtE;CBS domain
kb|g.236100.CDS.30	CDS	Formyltetrahydrofolate deformylase (EC 3.5.1.10)	kb|g.236100	none		4688	5546	+	MEint.metabat.1719_2338001060	Formyltetrahydrofolate deformylase (EC 3.5.1.10)
kb|g.236100.CDS.31	CDS		kb|g.236100	;	No annotated function	6157	5551	-	MEint.metabat.1719_2338001060	
kb|g.236100.CDS.32	CDS	Ferredoxin reductase	kb|g.236100	none		6223	7459	+	MEint.metabat.1719_2338001060	Ferredoxin reductase
kb|g.236100.CDS.33	CDS		kb|g.236100	;	No annotated function	7468	7912	+	MEint.metabat.1719_2338001060	
kb|g.236100.CDS.34	CDS	3-ketoacyl-CoA thiolase (EC 2.3.1.16) @ Acetyl-CoA acetyltransferase (EC 2.3.1.9)	kb|g.236100	none		7995	9165	+	MEint.metabat.1719_2338001060	3-ketoacyl-CoA thiolase (EC 2.3.1.16);Acetyl-CoA acetyltransferase (EC 2.3.1.9)
kb|g.236100.CDS.35	CDS		kb|g.236100	;	No annotated function	9237	9453	+	MEint.metabat.1719_2338001060	
kb|g.236100.CDS.36	CDS		kb|g.236100	;	No annotated function	9878	9572	-	MEint.metabat.1719_2338001060	
kb|g.236100.CDS.37	CDS	Anthranilate synthase, amidotransferase component (EC 4.1.3.27) @ Para-aminobenzoate synthase, amidotransferase component (EC 2.6.1.85)	kb|g.236100	none		9964	10540	+	MEint.metabat.1719_2338001060	Anthranilate synthase, amidotransferase component (EC 4.1.3.27);Para-aminobenzoate synthase, amidotransferase component (EC 2.6.1.85)
kb|g.236100.CDS.38	CDS		kb|g.236100	;	No annotated function	10620	10854	+	MEint.metabat.1719_2338001060	
kb|g.236100.CDS.39	CDS		kb|g.236100	;	No annotated function	43	292	+	MEint.metabat.1719_906001500	
kb|g.236100.CDS.40	CDS	Putative deoxyribose-specific ABC transporter, permease protein	kb|g.236100	none		288	1227	+	MEint.metabat.1719_906001500	Putative deoxyribose-specific ABC transporter, permease protein
kb|g.236100.CDS.41	CDS	Prephenate dehydratase (EC 4.2.1.51)	kb|g.236100	none		2302	1354	-	MEint.metabat.1719_906001500	Prephenate dehydratase (EC 4.2.1.51)
kb|g.236100.CDS.42	CDS		kb|g.236100	;	No annotated function	3064	2350	-	MEint.metabat.1719_906001500	
kb|g.236100.CDS.43	CDS		kb|g.236100	;	No annotated function	3735	3066	-	MEint.metabat.1719_906001500	
kb|g.236100.CDS.44	CDS		kb|g.236100	;	No annotated function	3788	5354	+	MEint.metabat.1719_906001500	
kb|g.236100.CDS.45	CDS		kb|g.236100	;	No annotated function	5355	6105	+	MEint.metabat.1719_906001500	
kb|g.236100.CDS.46	CDS		kb|g.236100	;	No annotated function	6114	6522	+	MEint.metabat.1719_906001500	
kb|g.236100.CDS.47	CDS	Sensory subunit of low CO2-induced protein complex, putative	kb|g.236100	none		1072	1621	+	MEint.metabat.1719_357001291	Sensory subunit of low CO2-induced protein complex, putative
kb|g.236100.CDS.48	CDS		kb|g.236100	;	No annotated function	1705	2077	+	MEint.metabat.1719_357001291	
kb|g.236100.CDS.49	CDS		kb|g.236100	;	No annotated function	2168	2453	+	MEint.metabat.1719_357001291	
kb|g.236100.CDS.50	CDS		kb|g.236100	;	No annotated function	2513	2777	+	MEint.metabat.1719_357001291	
kb|g.236100.CDS.51	CDS		kb|g.236100	;	No annotated function	3486	2787	-	MEint.metabat.1719_357001291	
kb|g.236100.CDS.52	CDS	Butyryl-CoA dehydrogenase (EC 1.3.99.2)	kb|g.236100	none		4828	3574	-	MEint.metabat.1719_357001291	Butyryl-CoA dehydrogenase (EC 1.3.99.2)
kb|g.236100.CDS.53	CDS	Cyclohexanone monooxygenase (EC 1.14.13.22)	kb|g.236100	none		6687	4884	-	MEint.metabat.1719_357001291	Cyclohexanone monooxygenase (EC 1.14.13.22)
kb|g.236100.CDS.54	CDS		kb|g.236100	;	No annotated function	7919	6731	-	MEint.metabat.1719_357001291	
