bin_29_2_acIII.genome.CDS.3819,group00707
bin_29_2_acIII.genome.CDS.3818,group01662
bin_29_2_acIII.genome.CDS.4668,group06902
bin_29_2_acIII.genome.CDS.3813,group00939
bin_29_2_acIII.genome.CDS.4664,group01377
bin_29_2_acIII.genome.CDS.3811,group02945
bin_29_2_acIII.genome.CDS.3810,group00464
bin_29_2_acIII.genome.CDS.3817,group02070
bin_29_2_acIII.genome.CDS.4660,group01820
bin_29_2_acIII.genome.CDS.3815,group00333
bin_29_2_acIII.genome.CDS.4662,group01584
bin_29_2_acIII.genome.CDS.4069,group03377
bin_29_2_acIII.genome.CDS.4068,group00345
bin_29_2_acIII.genome.CDS.4063,group07253
bin_29_2_acIII.genome.CDS.4062,group01670
bin_29_2_acIII.genome.CDS.4061,group02380
bin_29_2_acIII.genome.CDS.4060,group02034
bin_29_2_acIII.genome.CDS.4067,group00346
bin_29_2_acIII.genome.CDS.4066,group00347
bin_29_2_acIII.genome.CDS.4065,group00658
bin_29_2_acIII.genome.CDS.4064,group00451
bin_29_2_acIII.genome.CDS.4133,group01197
bin_29_2_acIII.genome.CDS.4665,group06904
bin_29_2_acIII.genome.CDS.4278,group05248
bin_29_2_acIII.genome.CDS.3812,group00328
bin_29_2_acIII.genome.CDS.4667,group06903
bin_29_2_acIII.genome.CDS.4666,group02437
bin_29_2_acIII.genome.CDS.4661,group04363
bin_29_2_acIII.genome.CDS.3711,group00184
bin_29_2_acIII.genome.CDS.1169,group07196
bin_29_2_acIII.genome.CDS.3816,group01518
bin_29_2_acIII.genome.CDS.1761,group07233
bin_29_2_acIII.genome.CDS.4663,group01986
bin_29_2_acIII.genome.CDS.3814,group07306
bin_29_2_acIII.genome.CDS.1949,group00099
bin_29_2_acIII.genome.CDS.4344,group00717
bin_29_2_acIII.genome.CDS.3712,group00535
bin_29_2_acIII.genome.CDS.3489,group01530
bin_29_2_acIII.genome.CDS.1898,group07217
bin_29_2_acIII.genome.CDS.4345,group03805
bin_29_2_acIII.genome.CDS.3755,group00136
bin_29_2_acIII.genome.CDS.3547,group01727
bin_29_2_acIII.genome.CDS.1099,group07134
bin_29_2_acIII.genome.CDS.3581,group01458
bin_29_2_acIII.genome.CDS.3580,group01386
bin_29_2_acIII.genome.CDS.2504,group06956
bin_29_2_acIII.genome.CDS.2505,group03572
bin_29_2_acIII.genome.CDS.1782,group00017
bin_29_2_acIII.genome.CDS.2500,group06957
bin_29_2_acIII.genome.CDS.2501,group03656
bin_29_2_acIII.genome.CDS.1432,group07294
bin_29_2_acIII.genome.CDS.4271,group01102
bin_29_2_acIII.genome.CDS.3655,group02829
bin_29_2_acIII.genome.CDS.4276,group01567
bin_29_2_acIII.genome.CDS.3654,group07204
