Attributes {
	id:kb|g.236106
	source:KBase
	gene_subsystem_hash:HASH(0x18767198)
	source_id:kb|g.236106
	geneAliasHash:HASH(0x1b7560f0)
	scientific_name:GFM MEintmetabat2297
	domain:Bacteria
	genetic_code:11
	dna_size:1366177
	num_contigs:60
	taxonomy:
	gc_content:
	complete:
	contigset_ref:2603/106/2
}
features (id	type	function	genomeID	delimiter	comment	start	stop	direction	contig	roleList) {
kb|g.236106.CDS.1	CDS		kb|g.236106	;	No annotated function	1141	454	-	MEint.metabat.2297_38000675	
kb|g.236106.CDS.2	CDS	L-fuco-beta-pyranose dehydrogenase (EC 1.1.1.122)	kb|g.236106	none		1203	2136	+	MEint.metabat.2297_38000675	L-fuco-beta-pyranose dehydrogenase (EC 1.1.1.122)
kb|g.236106.CDS.3	CDS		kb|g.236106	;	No annotated function	3534	2142	-	MEint.metabat.2297_38000675	
kb|g.236106.CDS.4	CDS	Adenine phosphoribosyltransferase (EC 2.4.2.7)	kb|g.236106	none		3689	4217	+	MEint.metabat.2297_38000675	Adenine phosphoribosyltransferase (EC 2.4.2.7)
kb|g.236106.CDS.5	CDS	Thymidine kinase (EC 2.7.1.21)	kb|g.236106	none		4262	4937	+	MEint.metabat.2297_38000675	Thymidine kinase (EC 2.7.1.21)
kb|g.236106.CDS.6	CDS	Alcohol dehydrogenase (EC 1.1.1.1)	kb|g.236106	none		4933	5974	+	MEint.metabat.2297_38000675	Alcohol dehydrogenase (EC 1.1.1.1)
kb|g.236106.CDS.7	CDS	membrane protein, putative	kb|g.236106	none		6717	5982	-	MEint.metabat.2297_38000675	membrane protein, putative
kb|g.236106.CDS.8	CDS		kb|g.236106	;	No annotated function	6769	7450	+	MEint.metabat.2297_38000675	
kb|g.236106.CDS.9	CDS		kb|g.236106	;	No annotated function	7633	7462	-	MEint.metabat.2297_38000675	
kb|g.236106.CDS.10	CDS	Xanthine/uracil/thiamine/ascorbate permease family protein	kb|g.236106	none		7635	9045	+	MEint.metabat.2297_38000675	Xanthine/uracil/thiamine/ascorbate permease family protein
kb|g.236106.CDS.11	CDS	Uracil-DNA glycosylase, family 1	kb|g.236106	none		9747	9102	-	MEint.metabat.2297_38000675	Uracil-DNA glycosylase, family 1
kb|g.236106.CDS.12	CDS		kb|g.236106	;	No annotated function	10541	9743	-	MEint.metabat.2297_38000675	
kb|g.236106.CDS.13	CDS	Phosphoserine phosphatase (EC 3.1.3.3)	kb|g.236106	none		10628	11831	+	MEint.metabat.2297_38000675	Phosphoserine phosphatase (EC 3.1.3.3)
kb|g.236106.CDS.14	CDS	ATP phosphoribosyltransferase (EC 2.4.2.17)	kb|g.236106	none		12670	11824	-	MEint.metabat.2297_38000675	ATP phosphoribosyltransferase (EC 2.4.2.17)
kb|g.236106.CDS.15	CDS	Phosphoribosyl-ATP pyrophosphatase (EC 3.6.1.31)	kb|g.236106	none		12946	12682	-	MEint.metabat.2297_38000675	Phosphoribosyl-ATP pyrophosphatase (EC 3.6.1.31)
kb|g.236106.CDS.16	CDS	Ribulose-phosphate 3-epimerase (EC 5.1.3.1)	kb|g.236106	none		13507	12958	-	MEint.metabat.2297_38000675	Ribulose-phosphate 3-epimerase (EC 5.1.3.1)
kb|g.236106.CDS.17	CDS	Ribosomal RNA small subunit methyltransferase B (EC 2.1.1.-)	kb|g.236106	none		14995	13627	-	MEint.metabat.2297_38000675	Ribosomal RNA small subunit methyltransferase B (EC 2.1.1.-)
kb|g.236106.CDS.18	CDS	Methionyl-tRNA formyltransferase (EC 2.1.2.9)	kb|g.236106	none		15903	14997	-	MEint.metabat.2297_38000675	Methionyl-tRNA formyltransferase (EC 2.1.2.9)
kb|g.236106.CDS.19	CDS	Peptide deformylase (EC 3.5.1.88)	kb|g.236106	none		16463	15902	-	MEint.metabat.2297_38000675	Peptide deformylase (EC 3.5.1.88)
kb|g.236106.CDS.20	CDS		kb|g.236106	;	No annotated function	18370	16492	-	MEint.metabat.2297_38000675	
kb|g.236106.CDS.21	CDS	S-adenosylmethionine synthetase (EC 2.5.1.6)	kb|g.236106	none		19576	18385	-	MEint.metabat.2297_38000675	S-adenosylmethionine synthetase (EC 2.5.1.6)
kb|g.236106.CDS.22	CDS	Phosphopantothenoylcysteine decarboxylase (EC 4.1.1.36) / Phosphopantothenoylcysteine synthetase (EC 6.3.2.5)	kb|g.236106	none		20777	19580	-	MEint.metabat.2297_38000675	Phosphopantothenoylcysteine decarboxylase (EC 4.1.1.36);Phosphopantothenoylcysteine synthetase (EC 6.3.2.5)
kb|g.236106.CDS.23	CDS	DNA-directed RNA polymerase omega subunit (EC 2.7.7.6)	kb|g.236106	none		21050	20801	-	MEint.metabat.2297_38000675	DNA-directed RNA polymerase omega subunit (EC 2.7.7.6)
kb|g.236106.CDS.24	CDS	Guanylate kinase (EC 2.7.4.8)	kb|g.236106	none		21967	21088	-	MEint.metabat.2297_38000675	Guanylate kinase (EC 2.7.4.8)
kb|g.236106.CDS.25	CDS	Orotidine 5'-phosphate decarboxylase (EC 4.1.1.23)	kb|g.236106	none		22687	21976	-	MEint.metabat.2297_38000675	Orotidine 5'-phosphate decarboxylase (EC 4.1.1.23)
kb|g.236106.CDS.26	CDS	Dihydroorotate dehydrogenase, catalytic subunit (EC 1.3.3.1)	kb|g.236106	none		23658	22683	-	MEint.metabat.2297_38000675	Dihydroorotate dehydrogenase, catalytic subunit (EC 1.3.3.1)
kb|g.236106.CDS.27	CDS	Dihydroorotate dehydrogenase electron transfer subunit (EC 1.3.3.1)	kb|g.236106	none		24305	23618	-	MEint.metabat.2297_38000675	Dihydroorotate dehydrogenase electron transfer subunit (EC 1.3.3.1)
kb|g.236106.CDS.28	CDS	Carbamoyl-phosphate synthase large chain (EC 6.3.5.5)	kb|g.236106	none		27733	24466	-	MEint.metabat.2297_38000675	Carbamoyl-phosphate synthase large chain (EC 6.3.5.5)
kb|g.236106.CDS.29	CDS	Carbamoyl-phosphate synthase small chain (EC 6.3.5.5)	kb|g.236106	none		28860	27732	-	MEint.metabat.2297_38000675	Carbamoyl-phosphate synthase small chain (EC 6.3.5.5)
kb|g.236106.CDS.30	CDS	Dihydroorotase (EC 3.5.2.3)	kb|g.236106	none		30170	28859	-	MEint.metabat.2297_38000675	Dihydroorotase (EC 3.5.2.3)
kb|g.236106.CDS.31	CDS	Aspartate carbamoyltransferase (EC 2.1.3.2)	kb|g.236106	none		31114	30166	-	MEint.metabat.2297_38000675	Aspartate carbamoyltransferase (EC 2.1.3.2)
kb|g.236106.CDS.32	CDS	Uracil phosphoribosyltransferase (EC 2.4.2.9) / Pyrimidine operon regulatory protein PyrR	kb|g.236106	none		31644	31110	-	MEint.metabat.2297_38000675	Uracil phosphoribosyltransferase (EC 2.4.2.9);Pyrimidine operon regulatory protein PyrR
kb|g.236106.CDS.33	CDS		kb|g.236106	;	No annotated function	31722	32265	+	MEint.metabat.2297_38000675	
kb|g.236106.CDS.34	CDS	Transcription termination protein NusB	kb|g.236106	none		32689	32266	-	MEint.metabat.2297_38000675	Transcription termination protein NusB
kb|g.236106.CDS.35	CDS	Translation elongation factor P	kb|g.236106	none		33249	32688	-	MEint.metabat.2297_38000675	Translation elongation factor P
kb|g.236106.CDS.36	CDS	3-dehydroquinate dehydratase II (EC 4.2.1.10)	kb|g.236106	none		33795	33363	-	MEint.metabat.2297_38000675	3-dehydroquinate dehydratase II (EC 4.2.1.10)
kb|g.236106.CDS.37	CDS	3-dehydroquinate synthase (EC 4.2.3.4)	kb|g.236106	none		34847	33791	-	MEint.metabat.2297_38000675	3-dehydroquinate synthase (EC 4.2.3.4)
kb|g.236106.CDS.38	CDS		kb|g.236106	;	No annotated function	35350	34843	-	MEint.metabat.2297_38000675	
kb|g.236106.CDS.39	CDS	Chorismate synthase (EC 4.2.3.5)	kb|g.236106	none		36606	35355	-	MEint.metabat.2297_38000675	Chorismate synthase (EC 4.2.3.5)
kb|g.236106.CDS.40	CDS	Shikimate 5-dehydrogenase I alpha (EC 1.1.1.25)	kb|g.236106	none		37830	37008	-	MEint.metabat.2297_38000675	Shikimate 5-dehydrogenase I alpha (EC 1.1.1.25)
kb|g.236106.CDS.41	CDS	FIG004453: protein YceG like	kb|g.236106	none		38861	37826	-	MEint.metabat.2297_38000675	FIG004453: protein YceG like
kb|g.236106.CDS.42	CDS		kb|g.236106	;	No annotated function	39270	38847	-	MEint.metabat.2297_38000675	
kb|g.236106.CDS.43	CDS	Alanyl-tRNA synthetase (EC 6.1.1.7)	kb|g.236106	none		39686	39269	-	MEint.metabat.2297_38000675	Alanyl-tRNA synthetase (EC 6.1.1.7)
kb|g.236106.CDS.44	CDS	FIG005666: putative helicase	kb|g.236106	none		3040	664	-	MEint.metabat.2297_851003043	FIG005666: putative helicase
kb|g.236106.CDS.45	CDS	Diacylglycerol kinase-related protein	kb|g.236106	none		3909	3036	-	MEint.metabat.2297_851003043	Diacylglycerol kinase-related protein
kb|g.236106.CDS.46	CDS	Twin-arginine translocation protein TatC	kb|g.236106	none		4669	3913	-	MEint.metabat.2297_851003043	Twin-arginine translocation protein TatC
kb|g.236106.CDS.47	CDS	Twin-arginine translocation protein TatA	kb|g.236106	none		4914	4698	-	MEint.metabat.2297_851003043	Twin-arginine translocation protein TatA
kb|g.236106.CDS.48	CDS		kb|g.236106	;	No annotated function	5870	4937	-	MEint.metabat.2297_851003043	
kb|g.236106.CDS.49	CDS		kb|g.236106	;	No annotated function	5997	5862	-	MEint.metabat.2297_851003043	
kb|g.236106.CDS.50	CDS	TPR-repeat-containing protein	kb|g.236106	none		265	1183	+	MEint.metabat.2297_83002860	TPR-repeat-containing protein
kb|g.236106.CDS.51	CDS		kb|g.236106	;	No annotated function	1291	1645	+	MEint.metabat.2297_83002860	
kb|g.236106.CDS.52	CDS		kb|g.236106	;	No annotated function	1689	2043	+	MEint.metabat.2297_83002860	
kb|g.236106.CDS.53	CDS		kb|g.236106	;	No annotated function	2039	2216	+	MEint.metabat.2297_83002860	
kb|g.236106.CDS.54	CDS	RNA binding methyltransferase FtsJ like	kb|g.236106	none		2242	3031	+	MEint.metabat.2297_83002860	RNA binding methyltransferase FtsJ like
kb|g.236106.CDS.55	CDS	NAD kinase (EC 2.7.1.23)	kb|g.236106	none		3030	3885	+	MEint.metabat.2297_83002860	NAD kinase (EC 2.7.1.23)
kb|g.236106.CDS.56	CDS	DNA repair protein RecN	kb|g.236106	none		3877	5620	+	MEint.metabat.2297_83002860	DNA repair protein RecN
kb|g.236106.CDS.57	CDS	CTP synthase (EC 6.3.4.2)	kb|g.236106	none		5648	7283	+	MEint.metabat.2297_83002860	CTP synthase (EC 6.3.4.2)
