AAA044O16.genome.CDS.1804,group00809
AAA044O16.genome.CDS.1773,group00955
AAA044O16.genome.CDS.1770,group04155
AAA044O16.genome.CDS.1807,group01020
AAA044O16.genome.CDS.1800,group03877
AAA044O16.genome.CDS.1801,group00069
AAA044O16.genome.CDS.1774,group04959
AAA044O16.genome.CDS.1775,group10903
AAA044O16.genome.CDS.2096,group02257
AAA044O16.genome.CDS.2097,group03484
AAA044O16.genome.CDS.2094,group03087
AAA044O16.genome.CDS.2095,group01092
AAA044O16.genome.CDS.2092,group03498
AAA044O16.genome.CDS.2093,group02622
AAA044O16.genome.CDS.2090,group01746
AAA044O16.genome.CDS.2091,group01024
AAA044O16.genome.CDS.2098,group03497
AAA044O16.genome.CDS.2099,group04038
AAA044O16.genome.CDS.2162,group00397
AAA044O16.genome.CDS.2163,group00486
AAA044O16.genome.CDS.2160,group03018
AAA044O16.genome.CDS.2161,group03017
AAA044O16.genome.CDS.2166,group00263
AAA044O16.genome.CDS.2167,group00773
AAA044O16.genome.CDS.2164,group00390
AAA044O16.genome.CDS.2165,group01051
AAA044O16.genome.CDS.2168,group01242
AAA044O16.genome.CDS.2169,group00756
AAA044O16.genome.CDS.2764,group00514
AAA044O16.genome.CDS.2765,group00197
AAA044O16.genome.CDS.2766,group01462
AAA044O16.genome.CDS.2767,group02443
AAA044O16.genome.CDS.2760,group00213
AAA044O16.genome.CDS.2761,group00330
AAA044O16.genome.CDS.2762,group01068
AAA044O16.genome.CDS.2350,group01014
AAA044O16.genome.CDS.2768,group00885
AAA044O16.genome.CDS.2769,group00861
AAA044O16.genome.CDS.2352,group00952
AAA044O16.genome.CDS.2355,group01019
AAA044O16.genome.CDS.2606,group00000
AAA044O16.genome.CDS.2788,group00701
AAA044O16.genome.CDS.2789,group00324
AAA044O16.genome.CDS.2357,group00003
AAA044O16.genome.CDS.2782,group00391
AAA044O16.genome.CDS.2783,group00798
AAA044O16.genome.CDS.2780,group00651
AAA044O16.genome.CDS.2781,group00589
AAA044O16.genome.CDS.2786,group00760
AAA044O16.genome.CDS.2787,group00685
AAA044O16.genome.CDS.2784,group00851
AAA044O16.genome.CDS.2785,group00711
AAA044O16.genome.CDS.2306,group00280
AAA044O16.genome.CDS.2307,group00214
AAA044O16.genome.CDS.2304,group01392
AAA044O16.genome.CDS.2305,group00409
AAA044O16.genome.CDS.2302,group00864
AAA044O16.genome.CDS.2303,group00216
AAA044O16.genome.CDS.2300,group01964
AAA044O16.genome.CDS.2301,group01007
AAA044O16.genome.CDS.2308,group00281
AAA044O16.genome.CDS.2309,group01018
AAA044O16.genome.CDS.2430,group04001
AAA044O16.genome.CDS.2431,group04000
AAA044O16.genome.CDS.2432,group02914
AAA044O16.genome.CDS.2433,group03232
AAA044O16.genome.CDS.2434,group01228
AAA044O16.genome.CDS.2435,group03474
AAA044O16.genome.CDS.2436,group10953
AAA044O16.genome.CDS.2437,group01549
AAA044O16.genome.CDS.2438,group01706
AAA044O16.genome.CDS.2439,group00902
AAA044O16.genome.CDS.2238,group00690
AAA044O16.genome.CDS.2239,group00641
AAA044O16.genome.CDS.2548,group01211
AAA044O16.genome.CDS.2549,group00318
AAA044O16.genome.CDS.2232,group01062
AAA044O16.genome.CDS.2233,group00797
AAA044O16.genome.CDS.2546,group00655
AAA044O16.genome.CDS.2231,group00310
AAA044O16.genome.CDS.2540,group00699
AAA044O16.genome.CDS.2237,group00614
AAA044O16.genome.CDS.2234,group00850
AAA044O16.genome.CDS.2235,group00007
AAA044O16.genome.CDS.1444,group00719
AAA044O16.genome.CDS.1445,group00599
AAA044O16.genome.CDS.1446,group00031
AAA044O16.genome.CDS.1447,group00405
AAA044O16.genome.CDS.1440,group00413
AAA044O16.genome.CDS.1441,group00414
AAA044O16.genome.CDS.1442,group00235
AAA044O16.genome.CDS.1443,group00200
AAA044O16.genome.CDS.1955,group00039
AAA044O16.genome.CDS.1448,group00990
AAA044O16.genome.CDS.1449,group00499
AAA044O16.genome.CDS.1538,group00893
AAA044O16.genome.CDS.1539,group00444
AAA044O16.genome.CDS.1530,group00800
AAA044O16.genome.CDS.1531,group00376
AAA044O16.genome.CDS.1532,group00252
AAA044O16.genome.CDS.1533,group00366
AAA044O16.genome.CDS.1534,group00296
AAA044O16.genome.CDS.1535,group00412
AAA044O16.genome.CDS.1536,group00297
AAA044O16.genome.CDS.1537,group00227
AAA044O16.genome.CDS.1848,group10894
AAA044O16.genome.CDS.1849,group02331
AAA044O16.genome.CDS.1840,group01523
AAA044O16.genome.CDS.1841,group01328
AAA044O16.genome.CDS.1842,group01038
AAA044O16.genome.CDS.1843,group10896
AAA044O16.genome.CDS.1844,group10895
AAA044O16.genome.CDS.1845,group01438
AAA044O16.genome.CDS.1846,group00791
AAA044O16.genome.CDS.1847,group01044
AAA044O16.genome.CDS.2222,group01365
AAA044O16.genome.CDS.2157,group00311
AAA044O16.genome.CDS.2156,group10941
AAA044O16.genome.CDS.2155,group00671
AAA044O16.genome.CDS.2154,group01286
AAA044O16.genome.CDS.2153,group01253
AAA044O16.genome.CDS.2152,group00892
AAA044O16.genome.CDS.2151,group00728
AAA044O16.genome.CDS.2150,group00770
AAA044O16.genome.CDS.2159,group00871
AAA044O16.genome.CDS.2158,group00691
AAA044O16.genome.CDS.2763,group01096
AAA044O16.genome.CDS.2339,group03544
AAA044O16.genome.CDS.2338,group03394
AAA044O16.genome.CDS.2333,group05337
AAA044O16.genome.CDS.2332,group02720
AAA044O16.genome.CDS.2331,group03956
AAA044O16.genome.CDS.2330,group02587
AAA044O16.genome.CDS.2337,group03395
AAA044O16.genome.CDS.2336,group02909
AAA044O16.genome.CDS.2335,group03227
AAA044O16.genome.CDS.2334,group02474
AAA044O16.genome.CDS.2445,group00144
