Attributes {
	id:kb|g.236179
	source:KBase
	gene_subsystem_hash:HASH(0x35ecc148)
	source_id:kb|g.236179
	geneAliasHash:HASH(0x3b932078)
	scientific_name:SAG AB141P03
	domain:Bacteria
	genetic_code:11
	dna_size:660468
	num_contigs:66
	taxonomy:
	gc_content:
	complete:
	contigset_ref:2603/182/2
}
features (id	type	function	genomeID	delimiter	comment	start	stop	direction	contig	roleList) {
kb|g.236179.CDS.1	CDS	23S rRNA (guanosine-2'-O-) -methyltransferase rlmB (EC 2.1.1.-)	kb|g.236179	none		1106	134	-	AB141P3DRAFT_NODE-unique_1_len_106237.1	23S rRNA (guanosine-2'-O-) -methyltransferase rlmB (EC 2.1.1.-)
kb|g.236179.CDS.2	CDS	Cysteinyl-tRNA synthetase (EC 6.1.1.16)	kb|g.236179	none		2479	1105	-	AB141P3DRAFT_NODE-unique_1_len_106237.1	Cysteinyl-tRNA synthetase (EC 6.1.1.16)
kb|g.236179.CDS.3	CDS		kb|g.236179	;	No annotated function	2538	3324	+	AB141P3DRAFT_NODE-unique_1_len_106237.1	
kb|g.236179.CDS.4	CDS	Polyphosphate kinase (EC 2.7.4.1)	kb|g.236179	none		3375	5460	+	AB141P3DRAFT_NODE-unique_1_len_106237.1	Polyphosphate kinase (EC 2.7.4.1)
kb|g.236179.CDS.5	CDS		kb|g.236179	;	No annotated function	5456	6344	+	AB141P3DRAFT_NODE-unique_1_len_106237.1	
kb|g.236179.CDS.6	CDS	Exopolyphosphatase (EC 3.6.1.11)	kb|g.236179	none		7257	6339	-	AB141P3DRAFT_NODE-unique_1_len_106237.1	Exopolyphosphatase (EC 3.6.1.11)
kb|g.236179.CDS.7	CDS	UDP-N-acetylglucosamine 4,6-dehydratase (EC 4.2.1.-)	kb|g.236179	none		7536	8514	+	AB141P3DRAFT_NODE-unique_1_len_106237.1	UDP-N-acetylglucosamine 4,6-dehydratase (EC 4.2.1.-)
kb|g.236179.CDS.8	CDS	dTDP-4-dehydrorhamnose reductase (EC 1.1.1.133)	kb|g.236179	none		8506	9400	+	AB141P3DRAFT_NODE-unique_1_len_106237.1	dTDP-4-dehydrorhamnose reductase (EC 1.1.1.133)
kb|g.236179.CDS.9	CDS	N-acetylneuraminate synthase (EC 2.5.1.56)	kb|g.236179	none		9386	10451	+	AB141P3DRAFT_NODE-unique_1_len_106237.1	N-acetylneuraminate synthase (EC 2.5.1.56)
kb|g.236179.CDS.10	CDS		kb|g.236179	;	No annotated function	10532	11423	+	AB141P3DRAFT_NODE-unique_1_len_106237.1	
kb|g.236179.CDS.11	CDS		kb|g.236179	;	No annotated function	11419	12247	+	AB141P3DRAFT_NODE-unique_1_len_106237.1	
kb|g.236179.CDS.12	CDS		kb|g.236179	;	No annotated function	12243	12963	+	AB141P3DRAFT_NODE-unique_1_len_106237.1	
kb|g.236179.CDS.13	CDS		kb|g.236179	;	No annotated function	12972	14160	+	AB141P3DRAFT_NODE-unique_1_len_106237.1	
kb|g.236179.CDS.14	CDS		kb|g.236179	;	No annotated function	15202	14209	-	AB141P3DRAFT_NODE-unique_1_len_106237.1	
kb|g.236179.CDS.15	CDS		kb|g.236179	;	No annotated function	15386	16616	+	AB141P3DRAFT_NODE-unique_1_len_106237.1	
kb|g.236179.CDS.16	CDS		kb|g.236179	;	No annotated function	18442	16639	-	AB141P3DRAFT_NODE-unique_1_len_106237.1	
kb|g.236179.CDS.17	CDS		kb|g.236179	;	No annotated function	19451	18464	-	AB141P3DRAFT_NODE-unique_1_len_106237.1	
kb|g.236179.CDS.18	CDS		kb|g.236179	;	No annotated function	19914	20811	+	AB141P3DRAFT_NODE-unique_1_len_106237.1	
kb|g.236179.CDS.19	CDS		kb|g.236179	;	No annotated function	20800	21736	+	AB141P3DRAFT_NODE-unique_1_len_106237.1	
kb|g.236179.CDS.20	CDS	Cholesterol oxidase (EC 1.1.3.6)	kb|g.236179	none		22190	23867	+	AB141P3DRAFT_NODE-unique_1_len_106237.1	Cholesterol oxidase (EC 1.1.3.6)
kb|g.236179.CDS.21	CDS		kb|g.236179	;	No annotated function	24661	23851	-	AB141P3DRAFT_NODE-unique_1_len_106237.1	
kb|g.236179.CDS.22	CDS	NADH dehydrogenase (EC 1.6.99.3)	kb|g.236179	none		25888	24667	-	AB141P3DRAFT_NODE-unique_1_len_106237.1	NADH dehydrogenase (EC 1.6.99.3)
kb|g.236179.CDS.23	CDS	Putative nucleoside-diphosphate-sugar epimerase	kb|g.236179	none		25913	27404	+	AB141P3DRAFT_NODE-unique_1_len_106237.1	Putative nucleoside-diphosphate-sugar epimerase
kb|g.236179.CDS.24	CDS	Aromatic-L-amino-acid decarboxylase (EC 4.1.1.28)	kb|g.236179	none		27396	28749	+	AB141P3DRAFT_NODE-unique_1_len_106237.1	Aromatic-L-amino-acid decarboxylase (EC 4.1.1.28)
kb|g.236179.CDS.25	CDS		kb|g.236179	;	No annotated function	28793	29078	+	AB141P3DRAFT_NODE-unique_1_len_106237.1	
kb|g.236179.CDS.26	CDS	Heat shock protein 60 family chaperone GroEL	kb|g.236179	none		29222	30848	+	AB141P3DRAFT_NODE-unique_1_len_106237.1	Heat shock protein 60 family chaperone GroEL
kb|g.236179.CDS.27	CDS		kb|g.236179	;	No annotated function	30932	31808	+	AB141P3DRAFT_NODE-unique_1_len_106237.1	
kb|g.236179.CDS.28	CDS		kb|g.236179	;	No annotated function	31902	32289	+	AB141P3DRAFT_NODE-unique_1_len_106237.1	
kb|g.236179.CDS.29	CDS		kb|g.236179	;	No annotated function	32461	32284	-	AB141P3DRAFT_NODE-unique_1_len_106237.1	
kb|g.236179.CDS.30	CDS	Phosphoserine aminotransferase (EC 2.6.1.52)	kb|g.236179	none		33678	32556	-	AB141P3DRAFT_NODE-unique_1_len_106237.1	Phosphoserine aminotransferase (EC 2.6.1.52)
kb|g.236179.CDS.31	CDS	Pyridoxamine 5'-phosphate oxidase (EC 1.4.3.5)	kb|g.236179	none		34341	33687	-	AB141P3DRAFT_NODE-unique_1_len_106237.1	Pyridoxamine 5'-phosphate oxidase (EC 1.4.3.5)
kb|g.236179.CDS.32	CDS	Citrate synthase (si) (EC 2.3.3.1)	kb|g.236179	none		34437	35553	+	AB141P3DRAFT_NODE-unique_1_len_106237.1	Citrate synthase (si) (EC 2.3.3.1)
kb|g.236179.CDS.33	CDS	Deoxyribodipyrimidine photolyase (EC 4.1.99.3)	kb|g.236179	none		35590	36955	+	AB141P3DRAFT_NODE-unique_1_len_106237.1	Deoxyribodipyrimidine photolyase (EC 4.1.99.3)
kb|g.236179.CDS.34	CDS	Beta-carotene ketolase (EC 1.14.-.-)	kb|g.236179	none		36956	38489	+	AB141P3DRAFT_NODE-unique_1_len_106237.1	Beta-carotene ketolase (EC 1.14.-.-)
kb|g.236179.CDS.35	CDS	Homospermidine synthase (EC 2.5.1.44)	kb|g.236179	none		39913	38479	-	AB141P3DRAFT_NODE-unique_1_len_106237.1	Homospermidine synthase (EC 2.5.1.44)
kb|g.236179.CDS.36	CDS	diguanylate cyclase/phosphodiesterase (GGDEF & EAL domains) with PAS/PAC sensor(s)	kb|g.236179	none		41424	39957	-	AB141P3DRAFT_NODE-unique_1_len_106237.1	diguanylate cyclase/phosphodiesterase (GGDEF & EAL domains) with PAS/PAC sensor(s)
kb|g.236179.CDS.37	CDS		kb|g.236179	;	No annotated function	41415	41838	+	AB141P3DRAFT_NODE-unique_1_len_106237.1	
kb|g.236179.CDS.38	CDS		kb|g.236179	;	No annotated function	42610	41842	-	AB141P3DRAFT_NODE-unique_1_len_106237.1	
kb|g.236179.CDS.39	CDS	Carboxynorspermidine dehydrogenase	kb|g.236179	none		43851	42609	-	AB141P3DRAFT_NODE-unique_1_len_106237.1	Carboxynorspermidine dehydrogenase
kb|g.236179.CDS.40	CDS		kb|g.236179	;	No annotated function	46162	44062	-	AB141P3DRAFT_NODE-unique_1_len_106237.1	
kb|g.236179.CDS.41	CDS		kb|g.236179	;	No annotated function	46213	46372	+	AB141P3DRAFT_NODE-unique_1_len_106237.1	
kb|g.236179.CDS.42	CDS		kb|g.236179	;	No annotated function	46648	46381	-	AB141P3DRAFT_NODE-unique_1_len_106237.1	
kb|g.236179.CDS.43	CDS		kb|g.236179	;	No annotated function	46707	47277	+	AB141P3DRAFT_NODE-unique_1_len_106237.1	
kb|g.236179.CDS.44	CDS	Copper resistance protein D	kb|g.236179	none		47290	49111	+	AB141P3DRAFT_NODE-unique_1_len_106237.1	Copper resistance protein D
kb|g.236179.CDS.45	CDS	Butyryl-CoA dehydrogenase (EC 1.3.99.2)	kb|g.236179	none		49120	50284	+	AB141P3DRAFT_NODE-unique_1_len_106237.1	Butyryl-CoA dehydrogenase (EC 1.3.99.2)
kb|g.236179.CDS.46	CDS	5-formyltetrahydrofolate cyclo-ligase (EC 6.3.3.2)	kb|g.236179	none		50822	50279	-	AB141P3DRAFT_NODE-unique_1_len_106237.1	5-formyltetrahydrofolate cyclo-ligase (EC 6.3.3.2)
kb|g.236179.CDS.47	CDS	Molybdopterin biosynthesis protein MoeA	kb|g.236179	none		50867	51773	+	AB141P3DRAFT_NODE-unique_1_len_106237.1	Molybdopterin biosynthesis protein MoeA
kb|g.236179.CDS.48	CDS		kb|g.236179	;	No annotated function	51775	52336	+	AB141P3DRAFT_NODE-unique_1_len_106237.1	
kb|g.236179.CDS.49	CDS		kb|g.236179	;	No annotated function	52403	53126	+	AB141P3DRAFT_NODE-unique_1_len_106237.1	
kb|g.236179.CDS.50	CDS	CONSERVED MEMBRANE PROTEIN	kb|g.236179	none		54373	53125	-	AB141P3DRAFT_NODE-unique_1_len_106237.1	CONSERVED MEMBRANE PROTEIN
kb|g.236179.CDS.51	CDS	rRNA small subunit methyltransferase I	kb|g.236179	none		54433	55276	+	AB141P3DRAFT_NODE-unique_1_len_106237.1	rRNA small subunit methyltransferase I
kb|g.236179.CDS.52	CDS	Methionyl-tRNA synthetase (EC 6.1.1.10)	kb|g.236179	none		55278	56835	+	AB141P3DRAFT_NODE-unique_1_len_106237.1	Methionyl-tRNA synthetase (EC 6.1.1.10)
kb|g.236179.CDS.53	CDS	Putative deoxyribonuclease YcfH	kb|g.236179	none		56838	57693	+	AB141P3DRAFT_NODE-unique_1_len_106237.1	Putative deoxyribonuclease YcfH
