Attributes {
	id:kb|g.236114
	source:KBase
	gene_subsystem_hash:HASH(0x4a92e7c0)
	source_id:kb|g.236114
	geneAliasHash:HASH(0x38ddbfa8)
	scientific_name:GFM MEintmetabat3119
	domain:Bacteria
	genetic_code:11
	dna_size:1072527
	num_contigs:109
	taxonomy:
	gc_content:
	complete:
	contigset_ref:2603/115/2
}
features (id	type	function	genomeID	delimiter	comment	start	stop	direction	contig	roleList) {
kb|g.236114.CDS.1	CDS	Putative preQ0 transporter	kb|g.236114	none		193	856	+	MEint.metabat.3119_134002755	Putative preQ0 transporter
kb|g.236114.CDS.2	CDS	tRNA-guanine transglycosylase (EC 2.4.2.29)	kb|g.236114	none		2060	851	-	MEint.metabat.3119_134002755	tRNA-guanine transglycosylase (EC 2.4.2.29)
kb|g.236114.CDS.3	CDS		kb|g.236114	;	No annotated function	2314	3184	+	MEint.metabat.3119_134002755	
kb|g.236114.CDS.4	CDS	Oligopeptide ABC transporter, periplasmic oligopeptide-binding protein OppA (TC 3.A.1.5.1)	kb|g.236114	none		3295	5056	+	MEint.metabat.3119_134002755	Oligopeptide ABC transporter, periplasmic oligopeptide-binding protein OppA (TC 3.A.1.5.1)
kb|g.236114.CDS.5	CDS	Dipeptide transport system permease protein DppB (TC 3.A.1.5.2)	kb|g.236114	none		5138	6140	+	MEint.metabat.3119_134002755	Dipeptide transport system permease protein DppB (TC 3.A.1.5.2)
kb|g.236114.CDS.6	CDS	Oligopeptide transport system permease protein OppB (TC 3.A.1.5.1)	kb|g.236114	none		6136	7135	+	MEint.metabat.3119_134002755	Oligopeptide transport system permease protein OppB (TC 3.A.1.5.1)
kb|g.236114.CDS.7	CDS	Oligopeptide transport ATP-binding protein OppF (TC 3.A.1.5.1)	kb|g.236114	none		7104	8115	+	MEint.metabat.3119_134002755	Oligopeptide transport ATP-binding protein OppF (TC 3.A.1.5.1)
kb|g.236114.CDS.8	CDS	Methionine aminopeptidase (EC 3.4.11.18)	kb|g.236114	none		8231	8114	-	MEint.metabat.3119_134002755	Methionine aminopeptidase (EC 3.4.11.18)
kb|g.236114.CDS.9	CDS		kb|g.236114	;	No annotated function	7	256	+	MEint.metabat.3119_18002272	
kb|g.236114.CDS.10	CDS	L-fuco-beta-pyranose dehydrogenase (EC 1.1.1.122)	kb|g.236114	none		382	1795	+	MEint.metabat.3119_18002272	L-fuco-beta-pyranose dehydrogenase (EC 1.1.1.122)
kb|g.236114.CDS.11	CDS	Agmatinase (EC 3.5.3.11)	kb|g.236114	none		1817	2834	+	MEint.metabat.3119_18002272	Agmatinase (EC 3.5.3.11)
kb|g.236114.CDS.12	CDS		kb|g.236114	;	No annotated function	2931	3588	+	MEint.metabat.3119_18002272	
kb|g.236114.CDS.13	CDS	Gamma-aminobutyrate:alpha-ketoglutarate aminotransferase (EC 2.6.1.19)	kb|g.236114	none		4955	3590	-	MEint.metabat.3119_18002272	Gamma-aminobutyrate:alpha-ketoglutarate aminotransferase (EC 2.6.1.19)
kb|g.236114.CDS.14	CDS	1-deoxy-D-xylulose 5-phosphate reductoisomerase (EC 1.1.1.267)	kb|g.236114	none		5022	6168	+	MEint.metabat.3119_18002272	1-deoxy-D-xylulose 5-phosphate reductoisomerase (EC 1.1.1.267)
kb|g.236114.CDS.15	CDS	Membrane-associated zinc metalloprotease	kb|g.236114	none		6172	7390	+	MEint.metabat.3119_18002272	Membrane-associated zinc metalloprotease
kb|g.236114.CDS.16	CDS	1-hydroxy-2-methyl-2-(E)-butenyl 4-diphosphate synthase (EC 1.17.7.1)	kb|g.236114	none		7437	8577	+	MEint.metabat.3119_18002272	1-hydroxy-2-methyl-2-(E)-butenyl 4-diphosphate synthase (EC 1.17.7.1)
kb|g.236114.CDS.17	CDS		kb|g.236114	;	No annotated function	8589	9417	+	MEint.metabat.3119_18002272	
kb|g.236114.CDS.18	CDS	Prolyl-tRNA synthetase (EC 6.1.1.15), bacterial type	kb|g.236114	none		9436	11161	+	MEint.metabat.3119_18002272	Prolyl-tRNA synthetase (EC 6.1.1.15), bacterial type
kb|g.236114.CDS.19	CDS		kb|g.236114	;	No annotated function	11245	11692	+	MEint.metabat.3119_18002272	
kb|g.236114.CDS.20	CDS	Transcription termination protein NusA	kb|g.236114	none		11688	12642	+	MEint.metabat.3119_18002272	Transcription termination protein NusA
kb|g.236114.CDS.21	CDS		kb|g.236114	;	No annotated function	45	759	+	MEint.metabat.3119_353002087	
kb|g.236114.CDS.22	CDS		kb|g.236114	;	No annotated function	816	1272	+	MEint.metabat.3119_353002087	
kb|g.236114.CDS.23	CDS	TsaB protein, required for threonylcarbamoyladenosine (t(6)A) formation in tRNA	kb|g.236114	none		1268	2330	+	MEint.metabat.3119_353002087	TsaB protein, required for threonylcarbamoyladenosine (t(6)A) formation in tRNA
kb|g.236114.CDS.24	CDS	TsaD/Kae1/Qri7 protein, required for threonylcarbamoyladenosine t(6)A37 formation in tRNA	kb|g.236114	none		2322	3396	+	MEint.metabat.3119_353002087	TsaD/Kae1/Qri7 protein, required for threonylcarbamoyladenosine t(6)A37 formation in tRNA
kb|g.236114.CDS.25	CDS	Heat shock protein 60 family co-chaperone GroES	kb|g.236114	none		3545	3839	+	MEint.metabat.3119_353002087	Heat shock protein 60 family co-chaperone GroES
kb|g.236114.CDS.26	CDS		kb|g.236114	;	No annotated function	40	820	+	MEint.metabat.3119_1751001577	
kb|g.236114.CDS.27	CDS		kb|g.236114	;	No annotated function	829	2575	+	MEint.metabat.3119_1751001577	
kb|g.236114.CDS.28	CDS		kb|g.236114	;	No annotated function	2583	3285	+	MEint.metabat.3119_1751001577	
kb|g.236114.CDS.29	CDS		kb|g.236114	;	No annotated function	4532	3296	-	MEint.metabat.3119_1751001577	
kb|g.236114.CDS.30	CDS		kb|g.236114	;	No annotated function	4570	5632	+	MEint.metabat.3119_1751001577	
kb|g.236114.CDS.31	CDS	3-oxoacyl-[acyl-carrier protein] reductase (EC 1.1.1.100)	kb|g.236114	none		5635	6397	+	MEint.metabat.3119_1751001577	3-oxoacyl-[acyl-carrier protein] reductase (EC 1.1.1.100)
kb|g.236114.CDS.32	CDS		kb|g.236114	;	No annotated function	7921	6400	-	MEint.metabat.3119_1751001577	
kb|g.236114.CDS.33	CDS	N-acetylglutamate synthase (EC 2.3.1.1)	kb|g.236114	none		1914	1416	-	MEint.metabat.3119_942002070	N-acetylglutamate synthase (EC 2.3.1.1)
kb|g.236114.CDS.34	CDS	Lysyl-tRNA synthetase (class II) (EC 6.1.1.6)	kb|g.236114	none		3428	1910	-	MEint.metabat.3119_942002070	Lysyl-tRNA synthetase (class II) (EC 6.1.1.6)
kb|g.236114.CDS.35	CDS	Pantothenate kinase type III, CoaX-like (EC 2.7.1.33)	kb|g.236114	none		4209	3447	-	MEint.metabat.3119_942002070	Pantothenate kinase type III, CoaX-like (EC 2.7.1.33)
kb|g.236114.CDS.36	CDS	Quinolinate phosphoribosyltransferase [decarboxylating] (EC 2.4.2.19)	kb|g.236114	none		5104	4213	-	MEint.metabat.3119_942002070	Quinolinate phosphoribosyltransferase [decarboxylating] (EC 2.4.2.19)
kb|g.236114.CDS.37	CDS	Integral membrane protein TerC	kb|g.236114	none		1395	486	-	MEint.metabat.3119_60001193	Integral membrane protein TerC
kb|g.236114.CDS.38	CDS	DNA-3-methyladenine glycosylase II (EC 3.2.2.21)	kb|g.236114	none		1439	2060	+	MEint.metabat.3119_60001193	DNA-3-methyladenine glycosylase II (EC 3.2.2.21)
kb|g.236114.CDS.39	CDS	Peptide methionine sulfoxide reductase MsrB (EC 1.8.4.12)	kb|g.236114	none		2478	2055	-	MEint.metabat.3119_60001193	Peptide methionine sulfoxide reductase MsrB (EC 1.8.4.12)
kb|g.236114.CDS.40	CDS	Peptide methionine sulfoxide reductase MsrA (EC 1.8.4.11)	kb|g.236114	none		3016	2464	-	MEint.metabat.3119_60001193	Peptide methionine sulfoxide reductase MsrA (EC 1.8.4.11)
kb|g.236114.CDS.41	CDS		kb|g.236114	;	No annotated function	3333	3624	+	MEint.metabat.3119_60001193	
kb|g.236114.CDS.42	CDS	Serine phosphatase RsbU, regulator of sigma subunit	kb|g.236114	none		5081	3608	-	MEint.metabat.3119_60001193	Serine phosphatase RsbU, regulator of sigma subunit
kb|g.236114.CDS.43	CDS		kb|g.236114	;	No annotated function	5458	5083	-	MEint.metabat.3119_60001193	
kb|g.236114.CDS.44	CDS		kb|g.236114	;	No annotated function	6515	5462	-	MEint.metabat.3119_60001193	
kb|g.236114.CDS.45	CDS		kb|g.236114	;	No annotated function	7068	6531	-	MEint.metabat.3119_60001193	
kb|g.236114.CDS.46	CDS		kb|g.236114	;	No annotated function	7242	7764	+	MEint.metabat.3119_60001193	
kb|g.236114.CDS.47	CDS	Protein export cytoplasm protein SecA ATPase RNA helicase (TC 3.A.5.1.1)	kb|g.236114	none		10456	7765	-	MEint.metabat.3119_60001193	Protein export cytoplasm protein SecA ATPase RNA helicase (TC 3.A.5.1.1)
kb|g.236114.CDS.48	CDS		kb|g.236114	;	No annotated function	11205	10548	-	MEint.metabat.3119_60001193	
kb|g.236114.CDS.49	CDS	Sensor histidine kinase MtrB (EC 2.7.3.-)	kb|g.236114	none		12816	11262	-	MEint.metabat.3119_60001193	Sensor histidine kinase MtrB (EC 2.7.3.-)
kb|g.236114.CDS.50	CDS	Phosphate regulon transcriptional regulatory protein PhoB (SphR)	kb|g.236114	none		13510	12826	-	MEint.metabat.3119_60001193	Phosphate regulon transcriptional regulatory protein PhoB (SphR)
