Attributes {
	id:kb|g.236131
	source:KBase
	gene_subsystem_hash:HASH(0x40ca49e0)
	source_id:kb|g.236131
	geneAliasHash:HASH(0x46faa1f8)
	scientific_name:GFM MEintmetabat14260
	domain:Bacteria
	genetic_code:11
	dna_size:1499080
	num_contigs:150
	taxonomy:
	gc_content:
	complete:
	contigset_ref:2603/136/2
}
features (id	type	function	genomeID	delimiter	comment	start	stop	direction	contig	roleList) {
kb|g.236131.CDS.1	CDS	Butyryl-CoA dehydrogenase (EC 1.3.99.2)	kb|g.236131	none		4	451	+	MEint.metabat.14260_1991002002	Butyryl-CoA dehydrogenase (EC 1.3.99.2)
kb|g.236131.CDS.2	CDS		kb|g.236131	;	No annotated function	1960	484	-	MEint.metabat.14260_1991002002	
kb|g.236131.CDS.3	CDS	Methylated-DNA--protein-cysteine methyltransferase (EC 2.1.1.63)	kb|g.236131	none		2039	2615	+	MEint.metabat.14260_1991002002	Methylated-DNA--protein-cysteine methyltransferase (EC 2.1.1.63)
kb|g.236131.CDS.4	CDS		kb|g.236131	;	No annotated function	2605	2956	+	MEint.metabat.14260_1991002002	
kb|g.236131.CDS.5	CDS		kb|g.236131	;	No annotated function	3667	2956	-	MEint.metabat.14260_1991002002	
kb|g.236131.CDS.6	CDS	Transamidase GatB domain protein	kb|g.236131	none		3688	4153	+	MEint.metabat.14260_1991002002	Transamidase GatB domain protein
kb|g.236131.CDS.7	CDS		kb|g.236131	;	No annotated function	4149	4773	+	MEint.metabat.14260_1991002002	
kb|g.236131.CDS.8	CDS		kb|g.236131	;	No annotated function	4817	5387	+	MEint.metabat.14260_1991002002	
kb|g.236131.CDS.9	CDS	Arginyl-tRNA synthetase (EC 6.1.1.19)	kb|g.236131	none		5584	7318	+	MEint.metabat.14260_1991002002	Arginyl-tRNA synthetase (EC 6.1.1.19)
kb|g.236131.CDS.10	CDS	Vitamin B12 ABC transporter, permease component BtuC	kb|g.236131	none		37	685	+	MEint.metabat.14260_2316000586	Vitamin B12 ABC transporter, permease component BtuC
kb|g.236131.CDS.11	CDS		kb|g.236131	;	No annotated function	681	1464	+	MEint.metabat.14260_2316000586	
kb|g.236131.CDS.12	CDS		kb|g.236131	;	No annotated function	1528	2194	+	MEint.metabat.14260_2316000586	
kb|g.236131.CDS.13	CDS		kb|g.236131	;	No annotated function	2211	3801	+	MEint.metabat.14260_2316000586	
kb|g.236131.CDS.14	CDS		kb|g.236131	;	No annotated function	4240	3796	-	MEint.metabat.14260_2316000586	
kb|g.236131.CDS.15	CDS		kb|g.236131	;	No annotated function	5289	4236	-	MEint.metabat.14260_2316000586	
kb|g.236131.CDS.16	CDS		kb|g.236131	;	No annotated function	5857	5392	-	MEint.metabat.14260_2316000586	
kb|g.236131.CDS.17	CDS		kb|g.236131	;	No annotated function	6598	5959	-	MEint.metabat.14260_2316000586	
