Attributes {
	id:kb|g.236129
	source:KBase
	gene_subsystem_hash:HASH(0x4be66870)
	source_id:kb|g.236129
	geneAliasHash:HASH(0x4daf22e8)
	scientific_name:GFM MEintmetabat11576
	domain:Bacteria
	genetic_code:11
	dna_size:1204682
	num_contigs:149
	taxonomy:
	gc_content:
	complete:
	contigset_ref:2603/133/2
}
features (id	type	function	genomeID	delimiter	comment	start	stop	direction	contig	roleList) {
kb|g.236129.CDS.1	CDS		kb|g.236129	;	No annotated function	2016	933	-	MEint.metabat.11576_1164000090	
kb|g.236129.CDS.2	CDS		kb|g.236129	;	No annotated function	2807	2012	-	MEint.metabat.11576_1164000090	
kb|g.236129.CDS.3	CDS		kb|g.236129	;	No annotated function	3172	2935	-	MEint.metabat.11576_1164000090	
kb|g.236129.CDS.4	CDS	Mrp protein homolog	kb|g.236129	none		4333	3190	-	MEint.metabat.11576_1164000090	Mrp protein homolog
kb|g.236129.CDS.5	CDS		kb|g.236129	;	No annotated function	4357	5107	+	MEint.metabat.11576_1164000090	
kb|g.236129.CDS.6	CDS		kb|g.236129	;	No annotated function	5725	5113	-	MEint.metabat.11576_1164000090	
kb|g.236129.CDS.7	CDS	Molybdopterin biosynthesis protein MoeA	kb|g.236129	none		6729	5805	-	MEint.metabat.11576_1164000090	Molybdopterin biosynthesis protein MoeA
kb|g.236129.CDS.8	CDS	Cell division protein FtsI [Peptidoglycan synthetase] (EC 2.4.1.129)	kb|g.236129	none		67	577	+	MEint.metabat.11576_1161002923	Cell division protein FtsI [Peptidoglycan synthetase] (EC 2.4.1.129)
kb|g.236129.CDS.9	CDS	UDP-N-acetylmuramoylalanyl-D-glutamate--2,6-diaminopimelate ligase (EC 6.3.2.13)	kb|g.236129	none		587	2036	+	MEint.metabat.11576_1161002923	UDP-N-acetylmuramoylalanyl-D-glutamate--2,6-diaminopimelate ligase (EC 6.3.2.13)
kb|g.236129.CDS.10	CDS	Phospho-N-acetylmuramoyl-pentapeptide-transferase (EC 2.7.8.13)	kb|g.236129	none		2032	3100	+	MEint.metabat.11576_1161002923	Phospho-N-acetylmuramoyl-pentapeptide-transferase (EC 2.7.8.13)
kb|g.236129.CDS.11	CDS	UDP-N-acetylmuramoylalanine--D-glutamate ligase (EC 6.3.2.9)	kb|g.236129	none		3083	4460	+	MEint.metabat.11576_1161002923	UDP-N-acetylmuramoylalanine--D-glutamate ligase (EC 6.3.2.9)
kb|g.236129.CDS.12	CDS	Enoyl-CoA hydratase [valine degradation] (EC 4.2.1.17)	kb|g.236129	none		94	958	+	MEint.metabat.11576_1883000524	Enoyl-CoA hydratase [valine degradation] (EC 4.2.1.17)
kb|g.236129.CDS.13	CDS	Hemoglobin-like protein HbO	kb|g.236129	none		954	1386	+	MEint.metabat.11576_1883000524	Hemoglobin-like protein HbO
kb|g.236129.CDS.14	CDS		kb|g.236129	;	No annotated function	2167	1366	-	MEint.metabat.11576_1883000524	
kb|g.236129.CDS.15	CDS	Naphthoate synthase (EC 4.1.3.36)	kb|g.236129	none		3123	2199	-	MEint.metabat.11576_1883000524	Naphthoate synthase (EC 4.1.3.36)
kb|g.236129.CDS.16	CDS		kb|g.236129	;	No annotated function	208	754	+	MEint.metabat.11576_1034000855	
kb|g.236129.CDS.17	CDS		kb|g.236129	;	No annotated function	762	1002	+	MEint.metabat.11576_1034000855	
kb|g.236129.CDS.18	CDS		kb|g.236129	;	No annotated function	998	1439	+	MEint.metabat.11576_1034000855	
kb|g.236129.CDS.19	CDS	Enoyl-CoA hydratase (EC 4.2.1.17)	kb|g.236129	none		2318	1526	-	MEint.metabat.11576_1034000855	Enoyl-CoA hydratase (EC 4.2.1.17)
kb|g.236129.CDS.20	CDS		kb|g.236129	;	No annotated function	3750	2328	-	MEint.metabat.11576_1034000855	
kb|g.236129.CDS.21	CDS		kb|g.236129	;	No annotated function	3779	4298	+	MEint.metabat.11576_1034000855	
kb|g.236129.CDS.22	CDS		kb|g.236129	;	No annotated function	5404	4324	-	MEint.metabat.11576_1034000855	
kb|g.236129.CDS.23	CDS		kb|g.236129	;	No annotated function	5741	5450	-	MEint.metabat.11576_1034000855	
kb|g.236129.CDS.24	CDS	Low-specificity L-threonine aldolase (EC 4.1.2.48)	kb|g.236129	none		6832	5962	-	MEint.metabat.11576_1034000855	Low-specificity L-threonine aldolase (EC 4.1.2.48)
kb|g.236129.CDS.25	CDS	Nucleoside 5-triphosphatase RdgB (dHAPTP, dITP, XTP-specific) (EC 3.6.1.15)	kb|g.236129	none		13	205	+	MEint.metabat.11576_653001489	Nucleoside 5-triphosphatase RdgB (dHAPTP, dITP, XTP-specific) (EC 3.6.1.15)
kb|g.236129.CDS.26	CDS	low-specificity D-threonine aldolase	kb|g.236129	none		1364	248	-	MEint.metabat.11576_653001489	low-specificity D-threonine aldolase
kb|g.236129.CDS.27	CDS	Cysteine synthase (EC 2.5.1.47)	kb|g.236129	none		1492	3034	+	MEint.metabat.11576_653001489	Cysteine synthase (EC 2.5.1.47)
kb|g.236129.CDS.28	CDS	Threonine synthase (EC 4.2.3.1)	kb|g.236129	none		3059	4442	+	MEint.metabat.11576_653001489	Threonine synthase (EC 4.2.3.1)
kb|g.236129.CDS.29	CDS	ATP-dependent Clp protease proteolytic subunit (EC 3.4.21.92)	kb|g.236129	none		4499	5147	+	MEint.metabat.11576_653001489	ATP-dependent Clp protease proteolytic subunit (EC 3.4.21.92)
kb|g.236129.CDS.30	CDS		kb|g.236129	;	No annotated function	13	586	+	MEint.metabat.11576_1211001780	
kb|g.236129.CDS.31	CDS	diguanylate cyclase/phosphodiesterase (GGDEF & EAL domains) with PAS/PAC sensor(s)	kb|g.236129	none		811	2761	+	MEint.metabat.11576_1211001780	diguanylate cyclase/phosphodiesterase (GGDEF & EAL domains) with PAS/PAC sensor(s)
kb|g.236129.CDS.32	CDS		kb|g.236129	;	No annotated function	3716	2720	-	MEint.metabat.11576_1211001780	
kb|g.236129.CDS.33	CDS		kb|g.236129	;	No annotated function	3924	3756	-	MEint.metabat.11576_1211001780	
kb|g.236129.CDS.34	CDS		kb|g.236129	;	No annotated function	10	1534	+	MEint.metabat.11576_1441002001	
kb|g.236129.CDS.35	CDS		kb|g.236129	;	No annotated function	1747	2710	+	MEint.metabat.11576_1441002001	
kb|g.236129.CDS.36	CDS		kb|g.236129	;	No annotated function	2702	3560	+	MEint.metabat.11576_1441002001	
kb|g.236129.CDS.37	CDS		kb|g.236129	;	No annotated function	3556	4546	+	MEint.metabat.11576_1441002001	
kb|g.236129.CDS.38	CDS	Oligopeptide transport ATP-binding protein OppF (TC 3.A.1.5.1)	kb|g.236129	none		4545	5535	+	MEint.metabat.11576_1441002001	Oligopeptide transport ATP-binding protein OppF (TC 3.A.1.5.1)
kb|g.236129.CDS.39	CDS	2-isopropylmalate synthase (EC 2.3.3.13)	kb|g.236129	none		1	1378	+	MEint.metabat.11576_154002078	2-isopropylmalate synthase (EC 2.3.3.13)
kb|g.236129.CDS.40	CDS	FIG01105047: hypothetical protein	kb|g.236129	none		3688	1381	-	MEint.metabat.11576_154002078	FIG01105047: hypothetical protein
kb|g.236129.CDS.41	CDS		kb|g.236129	;	No annotated function	3750	3942	+	MEint.metabat.11576_154002078	
kb|g.236129.CDS.42	CDS		kb|g.236129	;	No annotated function	55	442	+	MEint.metabat.11576_2087002815	
kb|g.236129.CDS.43	CDS	3-oxoacyl-[acyl-carrier protein] reductase (EC 1.1.1.100)	kb|g.236129	none		462	1287	+	MEint.metabat.11576_2087002815	3-oxoacyl-[acyl-carrier protein] reductase (EC 1.1.1.100)
kb|g.236129.CDS.44	CDS	2-hydroxy-3-oxopropionate reductase (EC 1.1.1.60)	kb|g.236129	none		1353	2241	+	MEint.metabat.11576_2087002815	2-hydroxy-3-oxopropionate reductase (EC 1.1.1.60)
kb|g.236129.CDS.45	CDS	putative cytochrome P450 hydroxylase	kb|g.236129	none		3312	2196	-	MEint.metabat.11576_2087002815	putative cytochrome P450 hydroxylase
