TBhypo3180.genome.CDS.1428,group01989
TBhypo3180.genome.CDS.1380,group00206
TBhypo3180.genome.CDS.2272,group00042
TBhypo3180.genome.CDS.2273,group01874
TBhypo3180.genome.CDS.2274,group01461
TBhypo3180.genome.CDS.2275,group00577
TBhypo3180.genome.CDS.1387,group01185
TBhypo3180.genome.CDS.1386,group01467
TBhypo3180.genome.CDS.1420,group00027
TBhypo3180.genome.CDS.1388,group00269
TBhypo3180.genome.CDS.1422,group02669
TBhypo3180.genome.CDS.1423,group01878
TBhypo3180.genome.CDS.1424,group01695
TBhypo3180.genome.CDS.1383,group00069
TBhypo3180.genome.CDS.1426,group00529
TBhypo3180.genome.CDS.1427,group00038
TBhypo3180.genome.CDS.1976,group00662
TBhypo3180.genome.CDS.1977,group01089
TBhypo3180.genome.CDS.1974,group00615
TBhypo3180.genome.CDS.1975,group00763
TBhypo3180.genome.CDS.1972,group00698
TBhypo3180.genome.CDS.1973,group00723
TBhypo3180.genome.CDS.1970,group00005
TBhypo3180.genome.CDS.1971,group00823
TBhypo3180.genome.CDS.1385,group05061
TBhypo3180.genome.CDS.1978,group00487
TBhypo3180.genome.CDS.1979,group13254
TBhypo3180.genome.CDS.1323,group01217
TBhypo3180.genome.CDS.1676,group00604
TBhypo3180.genome.CDS.2276,group02712
TBhypo3180.genome.CDS.2213,group01456
TBhypo3180.genome.CDS.2277,group00478
TBhypo3180.genome.CDS.2210,group00265
TBhypo3180.genome.CDS.1543,group01686
TBhypo3180.genome.CDS.2278,group00572
TBhypo3180.genome.CDS.1989,group00146
TBhypo3180.genome.CDS.1988,group00126
TBhypo3180.genome.CDS.1547,group00706
TBhypo3180.genome.CDS.1546,group03309
TBhypo3180.genome.CDS.1545,group01726
TBhypo3180.genome.CDS.1544,group01084
TBhypo3180.genome.CDS.1983,group00241
TBhypo3180.genome.CDS.1982,group00266
TBhypo3180.genome.CDS.1549,group00403
TBhypo3180.genome.CDS.1980,group00319
TBhypo3180.genome.CDS.1987,group00197
TBhypo3180.genome.CDS.1986,group00472
TBhypo3180.genome.CDS.1985,group00223
TBhypo3180.genome.CDS.1984,group02971
TBhypo3180.genome.CDS.1359,group02113
TBhypo3180.genome.CDS.1773,group04721
TBhypo3180.genome.CDS.2214,group02303
TBhypo3180.genome.CDS.2351,group00950
TBhypo3180.genome.CDS.2215,group01136
TBhypo3180.genome.CDS.1425,group04744
TBhypo3180.genome.CDS.1528,group02714
TBhypo3180.genome.CDS.1808,group02986
TBhypo3180.genome.CDS.1809,group04747
TBhypo3180.genome.CDS.2258,group00368
TBhypo3180.genome.CDS.1802,group00727
TBhypo3180.genome.CDS.1803,group00538
TBhypo3180.genome.CDS.1800,group02282
TBhypo3180.genome.CDS.1801,group01390
TBhypo3180.genome.CDS.1806,group00254
TBhypo3180.genome.CDS.1440,group01511
TBhypo3180.genome.CDS.1804,group13234
TBhypo3180.genome.CDS.1805,group00081
TBhypo3180.genome.CDS.1441,group00576
TBhypo3180.genome.CDS.1879,group13245
TBhypo3180.genome.CDS.1878,group02134
TBhypo3180.genome.CDS.1877,group02115
TBhypo3180.genome.CDS.1876,group13246
TBhypo3180.genome.CDS.1875,group13243
TBhypo3180.genome.CDS.1874,group01362
TBhypo3180.genome.CDS.1873,group00132
TBhypo3180.genome.CDS.1872,group00155
TBhypo3180.genome.CDS.1871,group00567
TBhypo3180.genome.CDS.1870,group00934
TBhypo3180.genome.CDS.1358,group00327
TBhypo3180.genome.CDS.1338,group02721
TBhypo3180.genome.CDS.1339,group00337
TBhypo3180.genome.CDS.1334,group01294
TBhypo3180.genome.CDS.1335,group00458
TBhypo3180.genome.CDS.1336,group00312
TBhypo3180.genome.CDS.1337,group00244
TBhypo3180.genome.CDS.1330,group00243
TBhypo3180.genome.CDS.1332,group03831
TBhypo3180.genome.CDS.1333,group03332
TBhypo3180.genome.CDS.1259,group13223
TBhypo3180.genome.CDS.1258,group00508
TBhypo3180.genome.CDS.1253,group00141
TBhypo3180.genome.CDS.1252,group00099
TBhypo3180.genome.CDS.1251,group00100
TBhypo3180.genome.CDS.1250,group02289
TBhypo3180.genome.CDS.1257,group04739
TBhypo3180.genome.CDS.1256,group02623
TBhypo3180.genome.CDS.1255,group04740
TBhypo3180.genome.CDS.1254,group00379
TBhypo3180.genome.CDS.1727,group00308
TBhypo3180.genome.CDS.1726,group00889
TBhypo3180.genome.CDS.1725,group00277
TBhypo3180.genome.CDS.1724,group00865
TBhypo3180.genome.CDS.1723,group03334
TBhypo3180.genome.CDS.2027,group03886
TBhypo3180.genome.CDS.1721,group03335
TBhypo3180.genome.CDS.1720,group00253
TBhypo3180.genome.CDS.2026,group13255
TBhypo3180.genome.CDS.1729,group03081
TBhypo3180.genome.CDS.1728,group01885
TBhypo3180.genome.CDS.2353,group13267
TBhypo3180.genome.CDS.2352,group01950
TBhypo3180.genome.CDS.2298,group05068
TBhypo3180.genome.CDS.2350,group00212
TBhypo3180.genome.CDS.2357,group00251
TBhypo3180.genome.CDS.2356,group02713
TBhypo3180.genome.CDS.2355,group00287
TBhypo3180.genome.CDS.2354,group00220
TBhypo3180.genome.CDS.2292,group01470
TBhypo3180.genome.CDS.2293,group01802
TBhypo3180.genome.CDS.2359,group00442
TBhypo3180.genome.CDS.2358,group00372
TBhypo3180.genome.CDS.2296,group01742
TBhypo3180.genome.CDS.1471,group00207
TBhypo3180.genome.CDS.2294,group01985
TBhypo3180.genome.CDS.2295,group00598
TBhypo3180.genome.CDS.2191,group00138
TBhypo3180.genome.CDS.2059,group02295
TBhypo3180.genome.CDS.2193,group01471
TBhypo3180.genome.CDS.1470,group01984
TBhypo3180.genome.CDS.2195,group13262
TBhypo3180.genome.CDS.2194,group05066
TBhypo3180.genome.CDS.2197,group04030
TBhypo3180.genome.CDS.2196,group00759
TBhypo3180.genome.CDS.2199,group00981
TBhypo3180.genome.CDS.2198,group13261
TBhypo3180.genome.CDS.2052,group01569
TBhypo3180.genome.CDS.2053,group00964
TBhypo3180.genome.CDS.1512,group01368
TBhypo3180.genome.CDS.2192,group00323
TBhypo3180.genome.CDS.2057,group00352
TBhypo3180.genome.CDS.1752,group00162
TBhypo3180.genome.CDS.1753,group00313
TBhypo3180.genome.CDS.1750,group03314
TBhypo3180.genome.CDS.1751,group01650
TBhypo3180.genome.CDS.1756,group01441
TBhypo3180.genome.CDS.1757,group01690
TBhypo3180.genome.CDS.1754,group03313
TBhypo3180.genome.CDS.1755,group00213
TBhypo3180.genome.CDS.1758,group01613
TBhypo3180.genome.CDS.1759,group01410
TBhypo3180.genome.CDS.1223,group02963
TBhypo3180.genome.CDS.1590,group02050
TBhypo3180.genome.CDS.1591,group13227
TBhypo3180.genome.CDS.514,group13230
TBhypo3180.genome.CDS.1618,group05064
TBhypo3180.genome.CDS.1594,group01382
TBhypo3180.genome.CDS.513,group13231
TBhypo3180.genome.CDS.1596,group00485
TBhypo3180.genome.CDS.1597,group00710
TBhypo3180.genome.CDS.1598,group01549
TBhypo3180.genome.CDS.1612,group01160
TBhypo3180.genome.CDS.1611,group01319
TBhypo3180.genome.CDS.1610,group00568
TBhypo3180.genome.CDS.1617,group00463
TBhypo3180.genome.CDS.1570,group01760
TBhypo3180.genome.CDS.1615,group13229
TBhypo3180.genome.CDS.1614,group00003
TBhypo3180.genome.CDS.1571,group01725
TBhypo3180.genome.CDS.2128,group00294
TBhypo3180.genome.CDS.2129,group00041
TBhypo3180.genome.CDS.2288,group00094
TBhypo3180.genome.CDS.2124,group00125
TBhypo3180.genome.CDS.2126,group00424
TBhypo3180.genome.CDS.2127,group00166
TBhypo3180.genome.CDS.2120,group00040
TBhypo3180.genome.CDS.2121,group00110
TBhypo3180.genome.CDS.2122,group00120
