AAA044N04.genome.CDS.2453,group01019
AAA044N04.genome.CDS.2580,group00570
AAA044N04.genome.CDS.2581,group00050
AAA044N04.genome.CDS.1362,group04798
AAA044N04.genome.CDS.214,group02328
AAA044N04.genome.CDS.2582,group01088
AAA044N04.genome.CDS.1310,group01644
AAA044N04.genome.CDS.1311,group04410
AAA044N04.genome.CDS.1709,group00416
AAA044N04.genome.CDS.1313,group12857
AAA044N04.genome.CDS.1314,group12857
AAA044N04.genome.CDS.1315,group00325
AAA044N04.genome.CDS.1316,group00495
AAA044N04.genome.CDS.1317,group00007
AAA044N04.genome.CDS.1318,group00316
AAA044N04.genome.CDS.1319,group12591
AAA044N04.genome.CDS.1701,group00973
AAA044N04.genome.CDS.1700,group00451
AAA044N04.genome.CDS.1707,group08214
AAA044N04.genome.CDS.1706,group00803
AAA044N04.genome.CDS.1705,group00034
AAA044N04.genome.CDS.1704,group00421
AAA044N04.genome.CDS.1387,group00198
AAA044N04.genome.CDS.2243,group00636
AAA044N04.genome.CDS.1958,group08563
AAA044N04.genome.CDS.1959,group08680
AAA044N04.genome.CDS.1383,group00434
AAA044N04.genome.CDS.1382,group01231
AAA044N04.genome.CDS.1381,group03088
AAA044N04.genome.CDS.1380,group10962
AAA044N04.genome.CDS.1952,group00528
AAA044N04.genome.CDS.1953,group00418
AAA044N04.genome.CDS.1950,group00738
AAA044N04.genome.CDS.1951,group00417
AAA044N04.genome.CDS.1956,group05078
AAA044N04.genome.CDS.1957,group01591
AAA044N04.genome.CDS.1389,group00148
AAA044N04.genome.CDS.1955,group13878
AAA044N04.genome.CDS.1864,group01342
AAA044N04.genome.CDS.1327,group00234
AAA044N04.genome.CDS.2553,group09227
AAA044N04.genome.CDS.1454,group00012
AAA044N04.genome.CDS.1556,group00286
AAA044N04.genome.CDS.1557,group00250
AAA044N04.genome.CDS.1554,group00437
AAA044N04.genome.CDS.1555,group00243
AAA044N04.genome.CDS.1552,group00240
AAA044N04.genome.CDS.1553,group00225
AAA044N04.genome.CDS.1419,group13626
AAA044N04.genome.CDS.1418,group00804
AAA044N04.genome.CDS.1417,group12543
AAA044N04.genome.CDS.1416,group12593
AAA044N04.genome.CDS.1415,group07309
AAA044N04.genome.CDS.1414,group00810
AAA044N04.genome.CDS.1413,group00694
AAA044N04.genome.CDS.1412,group00604
AAA044N04.genome.CDS.1558,group04779
AAA044N04.genome.CDS.1559,group00160
AAA044N04.genome.CDS.2289,group00656
AAA044N04.genome.CDS.1643,group00485
AAA044N04.genome.CDS.2249,group00340
AAA044N04.genome.CDS.1359,group12521
AAA044N04.genome.CDS.2377,group00070
AAA044N04.genome.CDS.2376,group00054
