acMicro-1.genome.CDS.1003,group03127
acMicro-1.genome.CDS.1523,group04703
acMicro-1.genome.CDS.1007,group00522
acMicro-1.genome.CDS.1528,group00300
acMicro-1.genome.CDS.1529,group02889
acMicro-1.genome.CDS.911,group00290
acMicro-1.genome.CDS.910,group00227
acMicro-1.genome.CDS.913,group00296
acMicro-1.genome.CDS.912,group00412
acMicro-1.genome.CDS.915,group00376
acMicro-1.genome.CDS.914,group00367
acMicro-1.genome.CDS.917,group00526
acMicro-1.genome.CDS.916,group00800
acMicro-1.genome.CDS.919,group00553
acMicro-1.genome.CDS.918,group02261
acMicro-1.genome.CDS.1168,group00496
acMicro-1.genome.CDS.1169,group00001
acMicro-1.genome.CDS.1164,group00148
acMicro-1.genome.CDS.1165,group00630
acMicro-1.genome.CDS.1166,group00591
acMicro-1.genome.CDS.1167,group00794
acMicro-1.genome.CDS.1160,group00068
acMicro-1.genome.CDS.1161,group00047
acMicro-1.genome.CDS.1162,group00570
acMicro-1.genome.CDS.1163,group01643
acMicro-1.genome.CDS.1321,group00401
acMicro-1.genome.CDS.1605,group00486
acMicro-1.genome.CDS.1604,group00548
acMicro-1.genome.CDS.1607,group00831
acMicro-1.genome.CDS.1606,group10443
acMicro-1.genome.CDS.1601,group00224
acMicro-1.genome.CDS.1600,group05283
acMicro-1.genome.CDS.1603,group00720
acMicro-1.genome.CDS.1602,group12705
acMicro-1.genome.CDS.1609,group01008
acMicro-1.genome.CDS.1608,group05873
acMicro-1.genome.CDS.418,group04712
acMicro-1.genome.CDS.948,group10680
acMicro-1.genome.CDS.1659,group00010
acMicro-1.genome.CDS.949,group00111
acMicro-1.genome.CDS.928,group00410
acMicro-1.genome.CDS.179,group13745
acMicro-1.genome.CDS.1727,group11743
acMicro-1.genome.CDS.177,group09105
acMicro-1.genome.CDS.1119,group03789
acMicro-1.genome.CDS.1118,group12543
acMicro-1.genome.CDS.1428,group02750
acMicro-1.genome.CDS.1111,group00809
acMicro-1.genome.CDS.1110,group00242
acMicro-1.genome.CDS.1113,group00485
acMicro-1.genome.CDS.1112,group00963
acMicro-1.genome.CDS.1115,group00968
acMicro-1.genome.CDS.1117,group08321
acMicro-1.genome.CDS.1116,group03988
acMicro-1.genome.CDS.1274,group08339
acMicro-1.genome.CDS.1275,group00140
acMicro-1.genome.CDS.1277,group04691
acMicro-1.genome.CDS.1379,group08350
acMicro-1.genome.CDS.1271,group00211
acMicro-1.genome.CDS.1272,group01648
acMicro-1.genome.CDS.1273,group00918
acMicro-1.genome.CDS.1375,group02473
acMicro-1.genome.CDS.1374,group02472
acMicro-1.genome.CDS.254,group13603
acMicro-1.genome.CDS.1721,group03302
acMicro-1.genome.CDS.1278,group01930
acMicro-1.genome.CDS.1370,group00050
acMicro-1.genome.CDS.1373,group00891
acMicro-1.genome.CDS.1372,group13210
acMicro-1.genome.CDS.1487,group02281
acMicro-1.genome.CDS.493,group08480
acMicro-1.genome.CDS.1508,group00038
acMicro-1.genome.CDS.1509,group00705
acMicro-1.genome.CDS.1506,group02692
acMicro-1.genome.CDS.1507,group01347
acMicro-1.genome.CDS.1504,group00383
acMicro-1.genome.CDS.1505,group00007
acMicro-1.genome.CDS.1502,group03801
acMicro-1.genome.CDS.1503,group00559
acMicro-1.genome.CDS.1500,group03968
acMicro-1.genome.CDS.1501,group00948
acMicro-1.genome.CDS.923,group04713
acMicro-1.genome.CDS.1483,group00612
acMicro-1.genome.CDS.925,group00321
acMicro-1.genome.CDS.1072,group03660
acMicro-1.genome.CDS.1073,group00515
acMicro-1.genome.CDS.1070,group00476
acMicro-1.genome.CDS.1071,group12690
acMicro-1.genome.CDS.1076,group00166
acMicro-1.genome.CDS.926,group00206
acMicro-1.genome.CDS.1074,group00891
acMicro-1.genome.CDS.1075,group00294
acMicro-1.genome.CDS.1078,group00122
acMicro-1.genome.CDS.1079,group01298
acMicro-1.genome.CDS.1432,group08655
acMicro-1.genome.CDS.1433,group03308
acMicro-1.genome.CDS.1430,group00928
acMicro-1.genome.CDS.1431,group00920
acMicro-1.genome.CDS.959,group02486
acMicro-1.genome.CDS.958,group01981
acMicro-1.genome.CDS.1434,group07818
acMicro-1.genome.CDS.1435,group07759
acMicro-1.genome.CDS.955,group10778
acMicro-1.genome.CDS.954,group08386
acMicro-1.genome.CDS.957,group08385
acMicro-1.genome.CDS.1439,group00826
acMicro-1.genome.CDS.951,group00067
acMicro-1.genome.CDS.950,group08382
acMicro-1.genome.CDS.953,group00163
acMicro-1.genome.CDS.952,group00996
acMicro-1.genome.CDS.858,group08124
acMicro-1.genome.CDS.1557,group01244
acMicro-1.genome.CDS.859,group00114
acMicro-1.genome.CDS.1556,group01013
acMicro-1.genome.CDS.1429,group00922
acMicro-1.genome.CDS.1201,group00419
acMicro-1.genome.CDS.1200,group00124
acMicro-1.genome.CDS.1203,group00000
acMicro-1.genome.CDS.1202,group01948
acMicro-1.genome.CDS.1205,group08328
acMicro-1.genome.CDS.1204,group01037
acMicro-1.genome.CDS.1207,group00510
acMicro-1.genome.CDS.1206,group00256
acMicro-1.genome.CDS.1209,group00087
acMicro-1.genome.CDS.1208,group00103
acMicro-1.genome.CDS.1298,group01608
acMicro-1.genome.CDS.1299,group00643
acMicro-1.genome.CDS.1292,group00081
acMicro-1.genome.CDS.1293,group00426
acMicro-1.genome.CDS.1291,group00472
acMicro-1.genome.CDS.1296,group06624
acMicro-1.genome.CDS.1297,group00935
acMicro-1.genome.CDS.1294,group04592
acMicro-1.genome.CDS.1295,group04408
acMicro-1.genome.CDS.1726,group02699
acMicro-1.genome.CDS.929,group00050
acMicro-1.genome.CDS.1724,group00030
acMicro-1.genome.CDS.1725,group06533
acMicro-1.genome.CDS.1722,group04711
acMicro-1.genome.CDS.1723,group00941
acMicro-1.genome.CDS.1720,group08381
acMicro-1.genome.CDS.1488,group01077
acMicro-1.genome.CDS.920,group01376
acMicro-1.genome.CDS.921,group00535
acMicro-1.genome.CDS.922,group00184
acMicro-1.genome.CDS.1484,group05917
acMicro-1.genome.CDS.924,group02701
acMicro-1.genome.CDS.1482,group00014
acMicro-1.genome.CDS.1481,group08355
acMicro-1.genome.CDS.1480,group00650
acMicro-1.genome.CDS.1450,group02678
acMicro-1.genome.CDS.1593,group02954
acMicro-1.genome.CDS.1586,group00686
acMicro-1.genome.CDS.1081,group00110
acMicro-1.genome.CDS.860,group00710
acMicro-1.genome.CDS.863,group12997
acMicro-1.genome.CDS.1155,group00719
acMicro-1.genome.CDS.1154,group00207
acMicro-1.genome.CDS.1658,group08374
acMicro-1.genome.CDS.1585,group00263
acMicro-1.genome.CDS.1151,group00413
acMicro-1.genome.CDS.1150,group02121
acMicro-1.genome.CDS.1153,group04034
acMicro-1.genome.CDS.1152,group00414
acMicro-1.genome.CDS.1652,group03297
acMicro-1.genome.CDS.865,group01921
acMicro-1.genome.CDS.1650,group08376
acMicro-1.genome.CDS.1651,group03806
acMicro-1.genome.CDS.1656,group09737
acMicro-1.genome.CDS.1657,group00832
acMicro-1.genome.CDS.1654,group08375
acMicro-1.genome.CDS.1583,group00044
acMicro-1.genome.CDS.191,group02667
acMicro-1.genome.CDS.1255,group06539
acMicro-1.genome.CDS.1580,group04705
acMicro-1.genome.CDS.1039,group10533
acMicro-1.genome.CDS.1036,group05180
acMicro-1.genome.CDS.1037,group02031
acMicro-1.genome.CDS.1034,group07564
acMicro-1.genome.CDS.1035,group04914
acMicro-1.genome.CDS.1033,group00243
acMicro-1.genome.CDS.1030,group00251
acMicro-1.genome.CDS.1031,group03275
acMicro-1.genome.CDS.1250,group10919
acMicro-1.genome.CDS.1485,group12725
acMicro-1.genome.CDS.1581,group00545
acMicro-1.genome.CDS.1568,group07323
acMicro-1.genome.CDS.1442,group00914
acMicro-1.genome.CDS.34,group00002
acMicro-1.genome.CDS.38,group00001
acMicro-1.genome.CDS.1577,group13099
acMicro-1.genome.CDS.1576,group02693
acMicro-1.genome.CDS.1575,group00887
acMicro-1.genome.CDS.1574,group00129
acMicro-1.genome.CDS.1573,group00274
acMicro-1.genome.CDS.1248,group07038
acMicro-1.genome.CDS.1571,group01264
acMicro-1.genome.CDS.1570,group04694
acMicro-1.genome.CDS.1245,group01604
acMicro-1.genome.CDS.1244,group08337
acMicro-1.genome.CDS.1247,group04695
acMicro-1.genome.CDS.1246,group00555
acMicro-1.genome.CDS.1241,group00266
acMicro-1.genome.CDS.1240,group03284
acMicro-1.genome.CDS.1243,group00822
acMicro-1.genome.CDS.1578,group00372
acMicro-1.genome.CDS.999,group00592
acMicro-1.genome.CDS.998,group02485
acMicro-1.genome.CDS.1478,group02283
acMicro-1.genome.CDS.1479,group00492
acMicro-1.genome.CDS.991,group00902
acMicro-1.genome.CDS.990,group08388
acMicro-1.genome.CDS.1474,group12857
acMicro-1.genome.CDS.992,group00198
acMicro-1.genome.CDS.995,group08396
acMicro-1.genome.CDS.1473,group12857
acMicro-1.genome.CDS.997,group00901
acMicro-1.genome.CDS.1471,group00342
acMicro-1.genome.CDS.1563,group02474
acMicro-1.genome.CDS.1157,group03283
acMicro-1.genome.CDS.1518,group00285
