AAA041L13.genome.CDS.4,group05827
AAA041L13.genome.CDS.1614,group00825
AAA041L13.genome.CDS.1615,group00045
AAA041L13.genome.CDS.1616,group00637
AAA041L13.genome.CDS.1617,group01031
AAA041L13.genome.CDS.1610,group00575
AAA041L13.genome.CDS.1611,group10936
AAA041L13.genome.CDS.1612,group00681
AAA041L13.genome.CDS.1613,group09904
AAA041L13.genome.CDS.1939,group00442
AAA041L13.genome.CDS.1618,group12005
AAA041L13.genome.CDS.1619,group00581
AAA041L13.genome.CDS.2373,group00650
AAA041L13.genome.CDS.1832,group08128
AAA041L13.genome.CDS.2278,group00269
AAA041L13.genome.CDS.1934,group12056
AAA041L13.genome.CDS.1838,group08132
AAA041L13.genome.CDS.2272,group12591
AAA041L13.genome.CDS.1508,group03645
AAA041L13.genome.CDS.1509,group01628
AAA041L13.genome.CDS.2378,group06029
AAA041L13.genome.CDS.1500,group07896
AAA041L13.genome.CDS.1501,group11729
AAA041L13.genome.CDS.1502,group10207
AAA041L13.genome.CDS.1503,group10223
AAA041L13.genome.CDS.1504,group00942
AAA041L13.genome.CDS.1505,group01142
AAA041L13.genome.CDS.1506,group01434
AAA041L13.genome.CDS.1507,group12412
AAA041L13.genome.CDS.1184,group10797
AAA041L13.genome.CDS.1160,group13072
AAA041L13.genome.CDS.1768,group00869
AAA041L13.genome.CDS.1769,group00477
AAA041L13.genome.CDS.1764,group00436
AAA041L13.genome.CDS.1765,group00431
AAA041L13.genome.CDS.744,group04552
AAA041L13.genome.CDS.1767,group00426
AAA041L13.genome.CDS.1760,group09639
AAA041L13.genome.CDS.1761,group00239
AAA041L13.genome.CDS.1762,group00716
AAA041L13.genome.CDS.1763,group00089
AAA041L13.genome.CDS.2483,group04454
AAA041L13.genome.CDS.2062,group02025
AAA041L13.genome.CDS.2063,group03564
AAA041L13.genome.CDS.2060,group05416
AAA041L13.genome.CDS.2061,group00530
AAA041L13.genome.CDS.2064,group08495
AAA041L13.genome.CDS.2065,group08655
AAA041L13.genome.CDS.2068,group00584
AAA041L13.genome.CDS.2069,group00519
AAA041L13.genome.CDS.2664,group09703
AAA041L13.genome.CDS.2665,group09702
AAA041L13.genome.CDS.2666,group05825
AAA041L13.genome.CDS.2667,group02772
AAA041L13.genome.CDS.2844,group13153
AAA041L13.genome.CDS.2661,group13076
AAA041L13.genome.CDS.2662,group13075
AAA041L13.genome.CDS.2663,group11618
AAA041L13.genome.CDS.2848,group04546
AAA041L13.genome.CDS.2849,group01809
AAA041L13.genome.CDS.2668,group01455
AAA041L13.genome.CDS.2669,group10207
AAA041L13.genome.CDS.724,group04068
AAA041L13.genome.CDS.725,group04470
AAA041L13.genome.CDS.2206,group04551
AAA041L13.genome.CDS.2207,group04282
AAA041L13.genome.CDS.2204,group08340
AAA041L13.genome.CDS.2205,group05293
AAA041L13.genome.CDS.2202,group12974
AAA041L13.genome.CDS.2203,group04422
AAA041L13.genome.CDS.2200,group03946
AAA041L13.genome.CDS.1785,group00741
AAA041L13.genome.CDS.2208,group12971
AAA041L13.genome.CDS.2209,group12970
AAA041L13.genome.CDS.2196,group01366
AAA041L13.genome.CDS.2197,group01366
AAA041L13.genome.CDS.2194,group04552
AAA041L13.genome.CDS.2195,group01366
AAA041L13.genome.CDS.2192,group12977
AAA041L13.genome.CDS.2193,group12976
AAA041L13.genome.CDS.2190,group13650
AAA041L13.genome.CDS.2191,group04546
AAA041L13.genome.CDS.2198,group05689
AAA041L13.genome.CDS.2199,group03946
AAA041L13.genome.CDS.2338,group00661
AAA041L13.genome.CDS.2339,group00713
AAA041L13.genome.CDS.2448,group00927
AAA041L13.genome.CDS.2449,group05294
AAA041L13.genome.CDS.2444,group03988
AAA041L13.genome.CDS.2445,group00968
AAA041L13.genome.CDS.2330,group01467
AAA041L13.genome.CDS.2447,group00972
AAA041L13.genome.CDS.2440,group01679
AAA041L13.genome.CDS.2337,group00112
AAA041L13.genome.CDS.2442,group01208
AAA041L13.genome.CDS.2335,group00987
AAA041L13.genome.CDS.1971,group07711
AAA041L13.genome.CDS.1970,group05690
AAA041L13.genome.CDS.2688,group00690
AAA041L13.genome.CDS.2689,group13089
AAA041L13.genome.CDS.1975,group01427
AAA041L13.genome.CDS.1974,group12774
AAA041L13.genome.CDS.1977,group00678
AAA041L13.genome.CDS.1976,group03484
AAA041L13.genome.CDS.2682,group13756
AAA041L13.genome.CDS.2683,group00791
AAA041L13.genome.CDS.2680,group13087
AAA041L13.genome.CDS.2681,group00310
AAA041L13.genome.CDS.2686,group00946
AAA041L13.genome.CDS.2687,group00614
AAA041L13.genome.CDS.2684,group00850
AAA041L13.genome.CDS.2685,group12857
AAA041L13.genome.CDS.14,group02357
AAA041L13.genome.CDS.1885,group00412
AAA041L13.genome.CDS.1884,group00296
AAA041L13.genome.CDS.1887,group00227
AAA041L13.genome.CDS.1886,group00290
AAA041L13.genome.CDS.1881,group00376
AAA041L13.genome.CDS.1883,group00366
AAA041L13.genome.CDS.1882,group00252
AAA041L13.genome.CDS.1889,group00444
AAA041L13.genome.CDS.1888,group00893
AAA041L13.genome.CDS.2530,group00236
AAA041L13.genome.CDS.2531,group00762
AAA041L13.genome.CDS.2532,group00934
AAA041L13.genome.CDS.2534,group00207
