Attributes {
	id:kb|g.236069
	source:KBase
	gene_subsystem_hash:HASH(0x22dc1228)
	source_id:kb|g.236069
	geneAliasHash:HASH(0x1eb9bd28)
	scientific_name:GFM TBepimetabat4208
	domain:Bacteria
	genetic_code:11
	dna_size:992234
	num_contigs:99
	taxonomy:
	gc_content:
	complete:
	contigset_ref:2603/85/2
}
features (id	type	function	genomeID	delimiter	comment	start	stop	direction	contig	roleList) {
kb|g.236069.CDS.1	CDS	Dolichol-phosphate mannosyltransferase (EC 2.4.1.83) in lipid-linked oligosaccharide synthesis cluster	kb|g.236069	none		11	980	+	TBepi.metabat.4208_1000322	Dolichol-phosphate mannosyltransferase (EC 2.4.1.83) in lipid-linked oligosaccharide synthesis cluster
kb|g.236069.CDS.2	CDS		kb|g.236069	;	No annotated function	976	2227	+	TBepi.metabat.4208_1000322	
kb|g.236069.CDS.3	CDS	2,3,4,5-tetrahydropyridine-2,6-dicarboxylate N-succinyltransferase (EC 2.3.1.117)	kb|g.236069	none		3140	2222	-	TBepi.metabat.4208_1000322	2,3,4,5-tetrahydropyridine-2,6-dicarboxylate N-succinyltransferase (EC 2.3.1.117)
kb|g.236069.CDS.4	CDS	Lysine decarboxylase family	kb|g.236069	none		3197	3740	+	TBepi.metabat.4208_1000322	Lysine decarboxylase family
kb|g.236069.CDS.5	CDS		kb|g.236069	;	No annotated function	3718	3925	+	TBepi.metabat.4208_1000322	
kb|g.236069.CDS.6	CDS		kb|g.236069	;	No annotated function	4034	4214	+	TBepi.metabat.4208_1000322	
kb|g.236069.CDS.7	CDS	Cytosol aminopeptidase PepA (EC 3.4.11.1)	kb|g.236069	none		4224	5751	+	TBepi.metabat.4208_1000322	Cytosol aminopeptidase PepA (EC 3.4.11.1)
kb|g.236069.CDS.8	CDS		kb|g.236069	;	No annotated function	5776	6418	+	TBepi.metabat.4208_1000322	
kb|g.236069.CDS.9	CDS	HtrA protease/chaperone protein	kb|g.236069	none		6442	7588	+	TBepi.metabat.4208_1000322	HtrA protease/chaperone protein
kb|g.236069.CDS.10	CDS	Twin-arginine translocation protein TatB	kb|g.236069	none		7624	7930	+	TBepi.metabat.4208_1000322	Twin-arginine translocation protein TatB
