AAA028K15.genome.CDS.737,group01878
AAA028K15.genome.CDS.736,group01695
AAA028K15.genome.CDS.735,group06605
AAA028K15.genome.CDS.734,group04793
AAA028K15.genome.CDS.733,group00051
AAA028K15.genome.CDS.732,group02673
AAA028K15.genome.CDS.731,group01548
AAA028K15.genome.CDS.730,group00247
AAA028K15.genome.CDS.739,group00117
AAA028K15.genome.CDS.738,group00022
AAA028K15.genome.CDS.589,group02128
AAA028K15.genome.CDS.544,group00995
AAA028K15.genome.CDS.545,group00626
AAA028K15.genome.CDS.429,group00218
AAA028K15.genome.CDS.547,group01720
AAA028K15.genome.CDS.540,group00083
AAA028K15.genome.CDS.541,group00265
AAA028K15.genome.CDS.542,group00061
AAA028K15.genome.CDS.543,group01075
AAA028K15.genome.CDS.423,group06588
AAA028K15.genome.CDS.422,group03537
AAA028K15.genome.CDS.421,group06589
AAA028K15.genome.CDS.420,group01248
AAA028K15.genome.CDS.427,group00249
AAA028K15.genome.CDS.549,group01718
AAA028K15.genome.CDS.425,group01677
AAA028K15.genome.CDS.424,group06587
AAA028K15.genome.CDS.740,group00096
AAA028K15.genome.CDS.798,group01571
AAA028K15.genome.CDS.260,group06604
AAA028K15.genome.CDS.262,group06603
AAA028K15.genome.CDS.477,group02072
AAA028K15.genome.CDS.649,group01450
AAA028K15.genome.CDS.648,group00781
AAA028K15.genome.CDS.863,group00154
AAA028K15.genome.CDS.646,group02364
AAA028K15.genome.CDS.645,group01162
AAA028K15.genome.CDS.860,group00161
AAA028K15.genome.CDS.643,group02189
AAA028K15.genome.CDS.642,group02157
AAA028K15.genome.CDS.865,group01499
AAA028K15.genome.CDS.864,group02309
AAA028K15.genome.CDS.467,group01985
AAA028K15.genome.CDS.466,group02809
AAA028K15.genome.CDS.465,group00192
AAA028K15.genome.CDS.464,group00246
AAA028K15.genome.CDS.463,group02747
AAA028K15.genome.CDS.462,group02345
AAA028K15.genome.CDS.748,group00532
AAA028K15.genome.CDS.749,group00470
AAA028K15.genome.CDS.746,group00307
AAA028K15.genome.CDS.747,group00533
AAA028K15.genome.CDS.744,group00648
AAA028K15.genome.CDS.745,group00534
AAA028K15.genome.CDS.742,group00184
AAA028K15.genome.CDS.743,group00535
AAA028K15.genome.CDS.469,group06591
AAA028K15.genome.CDS.468,group00703
AAA028K15.genome.CDS.580,group02180
AAA028K15.genome.CDS.581,group03347
AAA028K15.genome.CDS.582,group02418
AAA028K15.genome.CDS.583,group01273
AAA028K15.genome.CDS.584,group02950
AAA028K15.genome.CDS.585,group03002
AAA028K15.genome.CDS.586,group02754
AAA028K15.genome.CDS.587,group01265
AAA028K15.genome.CDS.588,group02169
AAA028K15.genome.CDS.791,group00197
AAA028K15.genome.CDS.790,group00472
AAA028K15.genome.CDS.519,group00073
AAA028K15.genome.CDS.518,group01206
AAA028K15.genome.CDS.513,group01778
AAA028K15.genome.CDS.512,group00025
AAA028K15.genome.CDS.511,group01508
AAA028K15.genome.CDS.510,group00169
AAA028K15.genome.CDS.517,group01960
AAA028K15.genome.CDS.516,group01170
AAA028K15.genome.CDS.515,group01191
AAA028K15.genome.CDS.514,group01181
AAA028K15.genome.CDS.428,group00407
AAA028K15.genome.CDS.778,group01699
AAA028K15.genome.CDS.841,group06635
AAA028K15.genome.CDS.840,group01437
AAA028K15.genome.CDS.548,group01432
AAA028K15.genome.CDS.843,group06633
AAA028K15.genome.CDS.426,group00134
AAA028K15.genome.CDS.842,group06634
AAA028K15.genome.CDS.845,group06631
AAA028K15.genome.CDS.844,group06632
AAA028K15.genome.CDS.847,group06629
AAA028K15.genome.CDS.846,group06630
AAA028K15.genome.CDS.476,group00546
AAA028K15.genome.CDS.636,group00037
AAA028K15.genome.CDS.637,group01880
AAA028K15.genome.CDS.634,group02365
AAA028K15.genome.CDS.635,group00223
AAA028K15.genome.CDS.632,group00319
