Attributes {
	id:kb|g.236056
	source:KBase
	gene_subsystem_hash:HASH(0x4e2f3f70)
	source_id:kb|g.236056
	geneAliasHash:HASH(0x3c86f448)
	scientific_name:GFM TBepimetabat3207
	domain:Bacteria
	genetic_code:11
	dna_size:1245908
	num_contigs:119
	taxonomy:
	gc_content:
	complete:
	contigset_ref:2603/73/2
}
features (id	type	function	genomeID	delimiter	comment	start	stop	direction	contig	roleList) {
kb|g.236056.CDS.1	CDS		kb|g.236056	;	No annotated function	1708	106	-	TBepi.metabat.3207_1000539	
kb|g.236056.CDS.2	CDS	possible chromosome condensation protein	kb|g.236056	none		2131	3181	+	TBepi.metabat.3207_1000539	possible chromosome condensation protein
kb|g.236056.CDS.3	CDS		kb|g.236056	;	No annotated function	3408	4476	+	TBepi.metabat.3207_1000539	
kb|g.236056.CDS.4	CDS	NAD(P) transhydrogenase subunit beta (EC 1.6.1.2)	kb|g.236056	none		5877	4497	-	TBepi.metabat.3207_1000539	NAD(P) transhydrogenase subunit beta (EC 1.6.1.2)
kb|g.236056.CDS.5	CDS	NAD(P) transhydrogenase alpha subunit (EC 1.6.1.2)	kb|g.236056	none		6191	5873	-	TBepi.metabat.3207_1000539	NAD(P) transhydrogenase alpha subunit (EC 1.6.1.2)
kb|g.236056.CDS.6	CDS	NAD(P) transhydrogenase alpha subunit (EC 1.6.1.2)	kb|g.236056	none		7297	6190	-	TBepi.metabat.3207_1000539	NAD(P) transhydrogenase alpha subunit (EC 1.6.1.2)
kb|g.236056.CDS.7	CDS		kb|g.236056	;	No annotated function	7446	7287	-	TBepi.metabat.3207_1000539	
kb|g.236056.CDS.8	CDS	Ornithine carbamoyltransferase (EC 2.1.3.3)	kb|g.236056	none		8362	7423	-	TBepi.metabat.3207_1000539	Ornithine carbamoyltransferase (EC 2.1.3.3)
kb|g.236056.CDS.9	CDS		kb|g.236056	;	No annotated function	8393	8678	+	TBepi.metabat.3207_1000539	
kb|g.236056.CDS.10	CDS		kb|g.236056	;	No annotated function	8674	10540	+	TBepi.metabat.3207_1000539	
kb|g.236056.CDS.11	CDS	ATP-dependent Clp protease adaptor protein ClpS	kb|g.236056	none		10574	10865	+	TBepi.metabat.3207_1000539	ATP-dependent Clp protease adaptor protein ClpS
kb|g.236056.CDS.12	CDS		kb|g.236056	;	No annotated function	10874	11441	+	TBepi.metabat.3207_1000539	
kb|g.236056.CDS.13	CDS	Glutamate racemase (EC 5.1.1.3)	kb|g.236056	none		11450	12263	+	TBepi.metabat.3207_1000539	Glutamate racemase (EC 5.1.1.3)
kb|g.236056.CDS.14	CDS	Ribonuclease PH (EC 2.7.7.56)	kb|g.236056	none		12262	12991	+	TBepi.metabat.3207_1000539	Ribonuclease PH (EC 2.7.7.56)
kb|g.236056.CDS.15	CDS	Nucleoside 5-triphosphatase RdgB (dHAPTP, dITP, XTP-specific) (EC 3.6.1.15)	kb|g.236056	none		13038	13653	+	TBepi.metabat.3207_1000539	Nucleoside 5-triphosphatase RdgB (dHAPTP, dITP, XTP-specific) (EC 3.6.1.15)
kb|g.236056.CDS.16	CDS		kb|g.236056	;	No annotated function	14287	13705	-	TBepi.metabat.3207_1000539	
kb|g.236056.CDS.17	CDS		kb|g.236056	;	No annotated function	14256	14595	+	TBepi.metabat.3207_1000539	
